test,approach,answer,time
30-0.02-1c,1c-baseline,1,0.05
30-0.02-1c,1c-baseline,2,0.06
30-0.02-1c,1c-baseline,3,0.07
30-0.02-1c,1c-baseline,4,0.09
30-0.02-1c,1c-baseline,5,0.22
30-0.02-1c,1c-baseline,6,0.25
30-0.02-1c,1c-baseline,7,0.30
30-0.02-1c,1c-baseline,8,0.32
30-0.02-1c,1c-baseline,9,0.38
30-0.02-1c,1c-baseline,10,0.46
30-0.02-1c,1c-baseline,11,0.49
30-0.02-1c,1c-baseline,12,0.59
30-0.02-1c,1c-baseline,13,0.62
30-0.02-1c,1c-baseline,14,0.65
30-0.02-1c,1c-baseline,15,0.72
30-0.02-1c,1c-baseline,16,0.81
30-0.02-1c,1c-baseline,17,0.86
30-0.02-1c,1c-baseline,18,0.88
30-0.02-1c,1c-baseline,19,0.90
30-0.02-1c,1c-baseline,20,1.10
30-0.02-1c,1c-baseline,21,1.17
30-0.02-1c,1c-baseline,22,1.22
30-0.02-1c,1c-baseline,23,1.24
30-0.02-1c,1c-baseline,24,1.25
30-0.02-1c,1c-baseline,25,1.26
30-0.02-1c,1c-baseline,26,1.33
30-0.02-1c,1c-baseline,27,1.35
30-0.02-1c,1c-baseline,28,1.37
30-0.02-1c,1c-baseline,29,1.41
30-0.02-1c,1c-baseline,30,1.43
30-0.02-1c,1c-baseline,31,1.50
30-0.02-1c,1c-baseline,32,1.65
30-0.02-1c,1c-baseline,33,1.65
30-0.02-1c,1c-baseline,34,1.72
30-0.02-1c,1c-baseline,35,1.73
30-0.02-1c,1c-baseline,36,1.74
30-0.02-1c,1c-baseline,37,1.77
30-0.02-1c,1c-baseline,38,1.79
30-0.02-1c,1c-baseline,39,1.80
30-0.02-1c,1c-baseline,40,1.81
30-0.02-1c,1c-baseline,41,1.91
30-0.02-1c,1c-baseline,42,1.98
30-0.02-1c,1c-baseline,43,2.04
30-0.02-1c,1c-baseline,44,2.13
30-0.02-1c,1c-baseline,45,2.14
30-0.02-1c,1c-baseline,46,2.21
30-0.02-1c,1c-baseline,47,2.25
30-0.02-1c,1c-baseline,48,2.28
30-0.02-1c,1c-baseline,49,2.41
30-0.02-1c,1c-baseline,50,2.43
30-0.02-1c,1c-baseline,51,2.44
30-0.02-1c,1c-baseline,52,2.45
30-0.02-1c,1c-baseline,53,2.47
30-0.02-1c,1c-baseline,54,2.50
30-0.02-1c,1c-baseline,55,2.60
30-0.02-1c,1c-baseline,56,2.60
30-0.02-1c,1c-baseline,57,2.65
30-0.02-1c,1c-baseline,58,2.82
30-0.02-1c,1c-baseline,59,2.82
30-0.02-1c,1c-baseline,60,2.84
30-0.02-1c,1c-baseline,61,2.85
30-0.02-1c,1c-baseline,62,2.86
30-0.02-1c,1c-baseline,63,2.86
30-0.02-1c,1c-baseline,64,2.87
30-0.02-1c,1c-baseline,65,2.93
30-0.02-1c,1c-baseline,66,2.95
30-0.02-1c,1c-baseline,67,2.95
30-0.02-1c,1c-baseline,68,3.00
30-0.02-1c,1c-baseline,69,3.02
30-0.02-1c,1c-baseline,70,3.07
30-0.02-1c,1c-baseline,71,3.09
30-0.02-1c,1c-baseline,72,3.17
30-0.02-1c,1c-baseline,73,3.21
30-0.02-1c,1c-baseline,74,3.24
30-0.02-1c,1c-baseline,75,3.28
30-0.02-1c,1c-baseline,76,3.29
30-0.02-1c,1c-baseline,77,3.32
30-0.02-1c,1c-baseline,78,3.33
30-0.02-1c,1c-baseline,79,3.39
30-0.02-1c,1c-baseline,80,3.51
30-0.02-1c,1c-baseline,81,3.77
30-0.02-1c,1c-baseline,82,3.80
30-0.02-1c,1c-baseline,83,3.88
30-0.02-1c,1c-baseline,84,3.98
30-0.02-1c,1c-baseline,85,3.98
30-0.02-1c,1c-baseline,86,4.07
30-0.02-1c,1c-baseline,87,4.11
30-0.02-1c,1c-baseline,88,4.33
30-0.02-1c,1c-baseline,89,4.37
30-0.02-1c,1c-baseline,90,4.54
30-0.02-1c,1c-baseline,91,4.56
30-0.02-1c,1c-baseline,92,4.58
30-0.02-1c,1c-baseline,93,4.63
30-0.02-1c,1c-baseline,94,4.65
30-0.02-1c,1c-baseline,95,4.75
30-0.02-1c,1c-baseline,96,4.83
30-0.02-1c,1c-baseline,97,4.91
30-0.02-1c,1c-baseline,98,4.92
30-0.02-1c,1c-baseline,99,4.93
30-0.02-1c,1c-baseline,100,4.93
30-0.02-1c,1c-baseline,101,4.97
30-0.02-1c,1c-baseline,102,4.98
30-0.02-1c,1c-baseline,103,5.02
30-0.02-1c,1c-baseline,104,5.09
30-0.02-1c,1c-baseline,105,5.15
30-0.02-1c,1c-baseline,106,5.23
30-0.02-1c,1c-baseline,107,5.27
30-0.02-1c,1c-baseline,108,5.47
30-0.02-1c,1c-baseline,109,5.54
30-0.02-1c,1c-baseline,110,5.57
30-0.02-1c,1c-baseline,111,5.59
30-0.02-1c,1c-baseline,112,5.72
30-0.02-1c,1c-baseline,113,5.78
30-0.02-1c,1c-baseline,114,5.78
30-0.02-1c,1c-baseline,115,5.85
30-0.02-1c,1c-baseline,116,5.90
30-0.02-1c,1c-baseline,117,5.91
30-0.02-1c,1c-baseline,118,6.06
30-0.02-1c,1c-baseline,119,6.07
30-0.02-1c,1c-baseline,120,6.18
30-0.02-1c,1c-baseline,121,6.21
30-0.02-1c,1c-baseline,122,6.23
30-0.02-1c,1c-baseline,123,6.23
30-0.02-1c,1c-baseline,124,6.27
30-0.02-1c,1c-baseline,125,6.32
30-0.02-1c,1c-baseline,126,6.32
30-0.02-1c,1c-baseline,127,6.35
30-0.02-1c,1c-baseline,128,6.42
30-0.02-1c,1c-baseline,129,6.44
30-0.02-1c,1c-baseline,130,6.51
30-0.02-1c,1c-baseline,131,6.53
30-0.02-1c,1c-baseline,132,6.58
30-0.02-1c,1c-baseline,133,6.68
30-0.02-1c,1c-baseline,134,6.81
30-0.02-1c,1c-baseline,135,6.81
30-0.02-1c,1c-baseline,136,6.82
30-0.02-1c,1c-baseline,137,6.86
30-0.02-1c,1c-baseline,138,6.87
30-0.02-1c,1c-baseline,139,6.97
30-0.02-1c,1c-baseline,140,7.07
30-0.02-1c,1c-baseline,141,7.09
30-0.02-1c,1c-baseline,142,7.13
30-0.02-1c,1c-baseline,143,7.14
30-0.02-1c,1c-baseline,144,7.15
30-0.02-1c,1c-baseline,145,7.23
30-0.02-1c,1c-baseline,146,7.28
30-0.02-1c,1c-baseline,147,7.38
30-0.02-1c,1c-baseline,148,7.38
30-0.02-1c,1c-baseline,149,7.39
30-0.02-1c,1c-baseline,150,7.41
30-0.02-1c,1c-baseline,151,7.43
30-0.02-1c,1c-baseline,152,7.46
30-0.02-1c,1c-baseline,153,7.48
30-0.02-1c,1c-baseline,154,7.49
30-0.02-1c,1c-baseline,155,7.62
30-0.02-1c,1c-baseline,156,7.69
30-0.02-1c,1c-baseline,157,7.73
30-0.02-1c,1c-baseline,158,7.74
30-0.02-1c,1c-baseline,159,7.75
30-0.02-1c,1c-baseline,160,7.84
30-0.02-1c,1c-baseline,161,7.90
30-0.02-1c,1c-baseline,162,7.95
30-0.02-1c,1c-baseline,163,7.96
30-0.02-1c,1c-baseline,164,8.00
30-0.02-1c,1c-baseline,165,8.03
30-0.02-1c,1c-baseline,166,8.04
30-0.02-1c,1c-baseline,167,8.05
30-0.02-1c,1c-baseline,168,8.08
30-0.02-1c,1c-baseline,169,8.08
30-0.02-1c,1c-baseline,170,8.10
30-0.02-1c,1c-baseline,171,8.10
30-0.02-1c,1c-baseline,172,8.14
30-0.02-1c,1c-baseline,173,8.16
30-0.02-1c,1c-baseline,174,8.17
30-0.02-1c,1c-baseline,175,8.22
30-0.02-1c,1c-baseline,176,8.23
30-0.02-1c,1c-baseline,177,8.25
30-0.02-1c,1c-baseline,178,8.32
30-0.02-1c,1c-baseline,179,8.38
30-0.02-1c,1c-baseline,180,8.43
30-0.02-1c,1c-baseline,181,8.49
