ATM_id,loc_latitude,loc_longitude,city,country
ABYA-0,12.327769,7.854066,Kano,Nigeria
ABYA-1,6.594919,3.374706,Lagos,Nigeria
ABYA-2,5.102824,6.672856,Ahoada,Nigeria
ABYA-3,8.907261,7.353807,Abuja,Nigeria
ABYA-4,6.812086,7.537312,Nsukka,Nigeria
ABYA-5,4.794487,7.416568,Oyigbo,Nigeria
ABYA-6,11.515475,8.940595,Kano,Nigeria
ABYA-7,6.468109,3.33947,Lagos,Nigeria
ABYA-8,6.515081,3.455002,Lagos,Nigeria
ABYA-9,11.350554,7.999519,Kano,Nigeria
ABYA-10,9.117802,7.37932,Abuja,Nigeria
ABYA-11,6.464999,3.292705,Lagos,Nigeria
ABYA-12,6.376269,3.408165,Lagos,Nigeria
ABYA-13,6.363403,3.25864,Lagos,Nigeria
ABYA-14,6.456408,3.538944,Lagos,Nigeria
ABYA-15,6.559609,7.057602,Enugu,Nigeria
ABYA-16,6.849111,7.500114,Enugu,Nigeria
ABYA-17,8.147381,6.796739,Oji,Nigeria
ABYA-18,4.85684,7.111452,Obio-Akpor,Nigeria
ABYA-19,6.602949,3.442584,Lagos,Nigeria
ABYA-20,11.412092,7.896379,Kano,Nigeria
ABYA-21,6.374526,3.431056,Lagos,Nigeria
ABYA-22,8.955689,7.512587,Abuja,Nigeria
ABYA-23,12.2571,8.13057,Kano,Nigeria
ABYA-24,6.370762,3.444929,Lagos,Nigeria
ABYA-25,6.534618,3.443424,Lagos,Nigeria
ABYA-26,12.137779,7.823582,Kano,Nigeria
ABYA-27,10.857594,9.311875,Kano,Nigeria
ABYA-28,4.771944,7.001719,Port Harcourt,Nigeria
ABYA-29,6.325819,7.360085,Udi,Nigeria
ABYA-30,8.90801,7.446951,Abuja,Nigeria
ABYA-31,8.16553,6.779809,Oji,Nigeria
ABYA-32,8.907455,7.440289,Abuja,Nigeria
ABYA-33,5.106827,6.608899,Ahoada,Nigeria
ABYA-34,4.397369,7.257339,Bonny,Nigeria
ABYA-35,6.584723,3.355154,Lagos,Nigeria
ABYA-36,8.133886,6.777933,Oji,Nigeria
ABYA-37,5.237315,6.852502,Emuoha,Nigeria
ABYA-38,6.39198,3.456297,Lagos,Nigeria
ABYA-39,5.107987,6.630624,Ahoada,Nigeria
ABYA-40,12.258584,7.765459,Kano,Nigeria
ABYA-41,7.076237,7.285186,Enugu,Nigeria
ABYA-42,6.78912,7.181871,Enugu,Nigeria
ABYA-43,12.547545,7.863452,Kano,Nigeria
ABYA-44,4.639594,7.320436,Gokana,Nigeria
ABYA-45,9.161625,7.594988,Abuja,Nigeria
ABYA-46,4.822187,6.965009,Port Harcourt,Nigeria
ABYA-47,6.061251,7.50948,Awgu,Nigeria
ABYA-48,5.114365,6.679656,Ahoada,Nigeria
ABYA-49,6.473315,3.442749,Lagos,Nigeria
ABYA-50,6.586311,7.78047,Enugu,Nigeria
ABYA-51,4.810507,7.091767,Eleme,Nigeria
ABYA-52,5.101934,6.682484,Ahoada,Nigeria
