ATM_id,loc_latitude,loc_longitude,city,country
KANO-0,4.910833,7.098343,Obio-Akpor,Nigeria
KANO-1,4.836091,7.492913,Oyigbo,Nigeria
KANO-2,6.544932,7.431538,Enugu,Nigeria
KANO-3,4.587768,7.132095,Bonny,Nigeria
KANO-4,9.105433,7.609722,Abuja,Nigeria
KANO-5,12.089632,8.667512,Kano,Nigeria
KANO-6,6.609161,3.298271,Lagos,Nigeria
KANO-7,6.39183,3.323119,Lagos,Nigeria
KANO-8,6.429639,3.395554,Lagos,Nigeria
KANO-9,12.386537,8.075808,Kano,Nigeria
KANO-10,6.249296,7.261009,Enugu,Nigeria
KANO-11,11.216287,8.67073,Kano,Nigeria
KANO-12,6.971777,7.243668,Nsukka,Nigeria
KANO-13,6.503959,3.353093,Lagos,Nigeria
KANO-14,11.946516,8.677072,Kano,Nigeria
KANO-15,12.27373,7.842834,Kano,Nigeria
KANO-16,4.739135,7.114327,Eleme,Nigeria
KANO-17,6.542472,3.371272,Lagos,Nigeria
KANO-18,6.349249,3.487825,Lagos,Nigeria
KANO-19,12.195163,8.941003,Kano,Nigeria
KANO-20,6.388047,7.207896,Enugu,Nigeria
KANO-21,6.746483,7.480838,Nsukka,Nigeria
KANO-22,6.157393,7.171701,Enugu,Nigeria
KANO-23,6.377159,3.472725,Lagos,Nigeria
KANO-24,6.315535,3.405993,Lagos,Nigeria
KANO-25,11.585974,9.318777,Kano,Nigeria
KANO-26,11.716241,8.593294,Kano,Nigeria
KANO-27,6.566254,3.292743,Lagos,Nigeria
KANO-28,4.821137,7.077264,Obio-Akpor,Nigeria
KANO-29,6.330861,3.368206,Lagos,Nigeria
KANO-30,6.071633,7.453683,Awgu,Nigeria
KANO-31,6.613898,3.463892,Lagos,Nigeria
KANO-32,12.177318,8.497798,Kano,Nigeria
KANO-33,6.587471,3.48187,Lagos,Nigeria
KANO-34,6.055858,7.447106,Enugu,Nigeria
KANO-35,6.382457,7.041543,Enugu,Nigeria
KANO-36,6.527883,3.329735,Lagos,Nigeria
KANO-37,5.241015,6.683637,Emuoha,Nigeria
KANO-38,9.143214,7.435014,Abuja,Nigeria
KANO-39,6.43532,3.453978,Lagos,Nigeria
KANO-40,10.930755,9.337479,Kano,Nigeria
KANO-41,9.032788,7.349882,Abuja,Nigeria
KANO-42,9.132913,7.421651,Abuja,Nigeria
KANO-43,6.45913,7.109063,Enugu,Nigeria
KANO-44,6.346085,3.445609,Lagos,Nigeria
KANO-45,6.446854,3.306536,Lagos,Nigeria
KANO-46,9.017392,7.380639,Abuja,Nigeria
KANO-47,6.304664,3.400809,Lagos,Nigeria
KANO-48,6.35519,3.333195,Lagos,Nigeria
KANO-49,9.137604,7.469682,Abuja,Nigeria
KANO-50,6.364893,3.532697,Lagos,Nigeria
KANO-51,4.652879,7.057035,Okrika,Nigeria
KANO-52,6.334258,3.287973,Lagos,Nigeria
KANO-53,11.616929,8.754458,Kano,Nigeria
KANO-54,6.53238,3.272779,Lagos,Nigeria
KANO-55,9.008837,7.447854,Abuja,Nigeria
KANO-56,4.787446,7.1517,Eleme,Nigeria
KANO-57,12.167615,8.632303,Kano,Nigeria
KANO-58,12.511538,8.243556,Kano,Nigeria
KANO-59,5.103441,6.680616,Emuoha,Nigeria
KANO-60,8.134722,6.803003,Oji,Nigeria
KANO-61,6.415894,3.279435,Lagos,Nigeria
KANO-62,6.339023,3.381736,Lagos,Nigeria
KANO-63,6.34586,3.550671,Lagos,Nigeria
KANO-64,6.422969,3.464889,Lagos,Nigeria
KANO-65,6.897827,7.347331,Nsukka,Nigeria
KANO-66,6.369451,3.385104,Lagos,Nigeria
KANO-67,4.846567,7.105305,Eleme,Nigeria
KANO-68,6.580489,3.414365,Lagos,Nigeria
KANO-69,6.394441,3.262181,Lagos,Nigeria
KANO-70,6.379613,3.482938,Lagos,Nigeria
