ATM_id,loc_latitude,loc_longitude,city,country
LAGO-0,12.19799,8.992512,Kano,Nigeria
LAGO-1,6.612645,3.456043,Lagos,Nigeria
LAGO-2,6.447935,3.426891,Lagos,Nigeria
LAGO-3,4.546688,7.126683,Bonny,Nigeria
LAGO-4,8.975084,7.615646,Abuja,Nigeria
KANO-0,6.600742,3.483999,Lagos,Nigeria
KANO-1,11.813173,8.588961,Kano,Nigeria
KANO-2,4.770099,7.081471,Okrika,Nigeria
KANO-3,6.361736,7.404706,Udi,Nigeria
KANO-4,9.055487,7.466841,Abuja,Nigeria
ABYA-0,6.765255,7.583096,Nsukka,Nigeria
ABYA-1,6.461194,3.269284,Lagos,Nigeria
ABYA-2,11.161631,8.726791,Kano,Nigeria
ABYA-3,6.362426,7.421216,Udi,Nigeria
ABYA-4,6.49299,3.358765,Lagos,Nigeria
