transaction_id,number_id,ATM_id,transaction_type,transaction_start,transaction_end,transaction_amount
26204,c-NIGER-1300,NIGER-11,3,2018-04-01 03:55:11,,
26204,c-NIGER-1300,NIGER-11,3,2018-04-01 03:55:11,2018-04-01 03:55:16,174849.02
8764,c-NIGER-446,NIGER-26,0,2018-04-01 03:57:14,,
8764,c-NIGER-446,NIGER-26,0,2018-04-01 03:57:14,2018-04-01 03:57:19,9648.84
21615,c-NIGER-1075,NIGER-9,3,2018-04-01 04:09:12,,
21615,c-NIGER-1075,NIGER-9,3,2018-04-01 04:09:12,2018-04-01 04:09:17,149448.18
33053,c-NIGER-1643,NIGER-31,3,2018-04-01 04:52:38,,
33053,c-NIGER-1643,NIGER-31,3,2018-04-01 04:52:38,2018-04-01 04:52:43,24889.6
31797,c-NIGER-1576,NIGER-33,0,2018-04-01 09:45:44,,
31797,c-NIGER-1576,NIGER-33,0,2018-04-01 09:45:44,2018-04-01 09:45:49,43004.5
6098,c-NIGER-311,EXT-0,3,2018-04-01 10:40:14,,
6098,c-NIGER-311,EXT-0,3,2018-04-01 10:40:14,2018-04-01 10:40:19,68583.62
10431,c-NIGER-523,NIGER-27,1,2018-04-01 13:17:54,,
10431,c-NIGER-523,NIGER-27,1,2018-04-01 13:17:54,2018-04-01 13:17:59,29345.06
17619,c-NIGER-866,EXT-0,1,2018-04-01 13:47:24,,
17619,c-NIGER-866,EXT-0,1,2018-04-01 13:47:24,2018-04-01 13:47:29,96657.04
18775,c-NIGER-926,EXT-4,0,2018-04-01 16:21:31,,
18775,c-NIGER-926,EXT-4,0,2018-04-01 16:21:31,2018-04-01 16:21:36,67195.46
2283,c-NIGER-117,NIGER-2,3,2018-04-01 19:22:02,,
2283,c-NIGER-117,NIGER-2,3,2018-04-01 19:22:02,2018-04-01 19:22:07,32443.36
38323,c-NIGER-1908,NIGER-43,1,2018-04-01 20:31:44,,
38323,c-NIGER-1908,NIGER-43,1,2018-04-01 20:31:44,2018-04-01 20:31:49,20811.84
10128,c-NIGER-506,NIGER-23,2,2018-04-01 23:24:21,,
10128,c-NIGER-506,NIGER-23,2,2018-04-01 23:24:21,2018-04-01 23:24:26,25953.04
12142,c-NIGER-610,NIGER-42,1,2018-04-02 00:22:40,,
12142,c-NIGER-610,NIGER-42,1,2018-04-02 00:22:40,2018-04-02 00:22:45,66835.98
35539,c-NIGER-1763,NIGER-11,2,2018-04-02 01:18:43,,
35539,c-NIGER-1763,NIGER-11,2,2018-04-02 01:18:43,2018-04-02 01:18:48,86734.42
31227,c-NIGER-1552,NIGER-37,2,2018-04-02 03:20:12,,
31227,c-NIGER-1552,NIGER-37,2,2018-04-02 03:20:12,2018-04-02 03:20:17,72525.74
8578,c-NIGER-439,NIGER-30,2,2018-04-02 05:38:39,,
8578,c-NIGER-439,NIGER-30,2,2018-04-02 05:38:39,2018-04-02 05:38:44,92722.18
32375,c-NIGER-1610,NIGER-36,3,2018-04-02 06:37:15,,
32375,c-NIGER-1610,NIGER-36,3,2018-04-02 06:37:15,2018-04-02 06:37:20,74574.58
15538,c-NIGER-773,NIGER-18,2,2018-04-02 06:51:44,,
15538,c-NIGER-773,NIGER-18,2,2018-04-02 06:51:44,2018-04-02 06:51:49,51483.12
12369,c-NIGER-621,EXT-2,1,2018-04-02 07:08:46,,
