transaction_id,number_id,ATM_id,transaction_type,transaction_start,transaction_end,transaction_amount
42,c-NIGER-11,EXT-2,2,2018-04-01 03:57:05,,
42,c-NIGER-11,EXT-2,2,2018-04-01 03:57:05,2018-04-01 03:57:05,0.0
10,c-NIGER-2,NIGER-5,2,2018-04-01 03:57:07,,
10,c-NIGER-2,NIGER-5,2,2018-04-01 03:57:07,2018-04-01 03:57:07,0.0
29,c-NIGER-7,NIGER-3,0,2018-04-01 03:57:09,,
29,c-NIGER-7,NIGER-3,0,2018-04-01 03:57:09,2018-04-01 03:57:09,46953.33
24,c-NIGER-6,NIGER-4,1,2018-04-01 03:57:10,,
24,c-NIGER-6,NIGER-4,1,2018-04-01 03:57:10,2018-04-01 03:57:11,19275.44
43,c-NIGER-11,EXT-0,1,2018-04-01 03:57:22,,
43,c-NIGER-11,EXT-0,1,2018-04-01 03:57:22,2018-04-01 03:57:23,7654.3
7,c-NIGER-1,EXT-2,3,2018-04-01 03:57:27,,
7,c-NIGER-1,EXT-2,3,2018-04-01 03:57:27,2018-04-01 03:57:27,40028.33
15,c-NIGER-3,NIGER-5,0,2018-04-01 03:57:28,,
15,c-NIGER-3,NIGER-5,0,2018-04-01 03:57:28,2018-04-01 03:57:28,41987.59
25,c-NIGER-6,NIGER-6,0,2018-04-01 03:57:39,,
25,c-NIGER-6,NIGER-6,0,2018-04-01 03:57:39,2018-04-01 03:57:39,28546.6
18,c-NIGER-4,NIGER-9,3,2018-04-01 03:57:48,,
18,c-NIGER-4,NIGER-9,3,2018-04-01 03:57:48,2018-04-01 03:57:48,24793.64
0,c-NIGER-0,NIGER-7,0,2018-04-01 03:57:55,,
0,c-NIGER-0,NIGER-7,0,2018-04-01 03:57:55,2018-04-01 03:57:55,7826.58
44,c-NIGER-11,EXT-0,0,2018-04-01 03:58:37,,
44,c-NIGER-11,EXT-0,0,2018-04-01 03:58:37,2018-04-01 03:58:38,31158.52
11,c-NIGER-2,NIGER-3,0,2018-04-01 03:58:38,,
11,c-NIGER-2,NIGER-3,0,2018-04-01 03:58:38,2018-04-01 03:58:38,50789.21
16,c-NIGER-3,NIGER-1,0,2018-04-01 03:58:44,,
16,c-NIGER-3,NIGER-1,0,2018-04-01 03:58:44,2018-04-01 03:58:44,69755.93
33,c-NIGER-8,NIGER-1,3,2018-04-01 03:58:45,,
33,c-NIGER-8,NIGER-1,3,2018-04-01 03:58:45,2018-04-01 03:58:45,38921.18
34,c-NIGER-8,NIGER-3,1,2018-04-01 03:58:53,,
34,c-NIGER-8,NIGER-3,1,2018-04-01 03:58:53,2018-04-01 03:58:53,1998.01
45,c-NIGER-11,NIGER-8,0,2018-04-01 03:58:55,,
45,c-NIGER-11,NIGER-8,0,2018-04-01 03:58:55,2018-04-01 03:58:55,35441.71
30,c-NIGER-7,NIGER-1,3,2018-04-01 03:59:01,,
30,c-NIGER-7,NIGER-1,3,2018-04-01 03:59:01,2018-04-01 03:59:01,15293.52
39,c-NIGER-10,EXT-1,0,2018-04-01 03:59:06,,
39,c-NIGER-10,EXT-1,0,2018-04-01 03:59:06,2018-04-01 03:59:06,53015.58
17,c-NIGER-3,NIGER-5,0,2018-04-01 03:59:25,,
17,c-NIGER-3,NIGER-5,0,2018-04-01 03:59:25,2018-04-01 03:59:25,71686.34
40,c-NIGER-10,NIGER-1,0,2018-04-01 03:59:34,,
40,c-NIGER-10,NIGER-1,0,2018-04-01 03:59:34,2018-04-01 03:59:34,4905.32
8,c-NIGER-1,NIGER-8,0,2018-04-01 03:59:46,,
8,c-NIGER-1,NIGER-8,0,2018-04-01 03:59:46,2018-04-01 03:59:46,33963.87
12,c-NIGER-2,NIGER-5,0,2018-04-01 03:59:59,,
12,c-NIGER-2,NIGER-5,0,2018-04-01 03:59:59,2018-04-01 03:59:59,33252.26
31,c-NIGER-7,EXT-3,0,2018-04-01 04:00:05,,
31,c-NIGER-7,EXT-3,0,2018-04-01 04:00:05,2018-04-01 04:00:05,15784.28
1,c-NIGER-0,NIGER-4,3,2018-04-01 04:00:08,,
1,c-NIGER-0,NIGER-4,3,2018-04-01 04:00:08,2018-04-01 04:00:08,31720.04
26,c-NIGER-6,NIGER-4,2,2018-04-01 04:00:26,,
26,c-NIGER-6,NIGER-4,2,2018-04-01 04:00:26,2018-04-01 04:00:26,0.0
19,c-NIGER-4,NIGER-9,0,2018-04-01 04:00:27,,
13,c-NIGER-2,NIGER-1,1,2018-04-01 04:00:28,,
19,c-NIGER-4,NIGER-9,0,2018-04-01 04:00:27,2018-04-01 04:00:28,32525.77
