transaction_id,number_id,ATM_id,transaction_type,transaction_start,transaction_end,transaction_amount
79441,c-NIGER-1965,EXT-0,3,2018-04-01 00:57:10,,
79441,c-NIGER-1965,EXT-0,3,2018-04-01 00:57:10,2018-04-01 00:57:15,60952.72
14931,c-NIGER-384,NIGER-32,1,2018-04-01 01:57:35,,
14931,c-NIGER-384,NIGER-32,1,2018-04-01 01:57:35,2018-04-01 01:57:40,5472.68
42345,c-NIGER-1050,NIGER-26,0,2018-04-01 02:28:17,,
42345,c-NIGER-1050,NIGER-26,0,2018-04-01 02:28:17,2018-04-01 02:28:22,141376.6
39137,c-NIGER-965,EXT-4,0,2018-04-01 03:32:15,,
39137,c-NIGER-965,EXT-4,0,2018-04-01 03:32:15,2018-04-01 03:32:20,0.0
50713,c-NIGER-1261,NIGER-28,3,2018-04-01 03:54:32,,
50713,c-NIGER-1261,NIGER-28,3,2018-04-01 03:54:32,2018-04-01 03:54:37,31589.22
76890,c-NIGER-1899,NIGER-26,0,2018-04-01 04:42:27,,
76890,c-NIGER-1899,NIGER-26,0,2018-04-01 04:42:27,2018-04-01 04:42:32,29235.82
42565,c-NIGER-1056,NIGER-23,2,2018-04-01 05:07:27,,
42565,c-NIGER-1056,NIGER-23,2,2018-04-01 05:07:27,2018-04-01 05:07:32,3798.64
31905,c-NIGER-796,NIGER-31,1,2018-04-01 05:17:43,,
31905,c-NIGER-796,NIGER-31,1,2018-04-01 05:17:43,2018-04-01 05:17:48,80714.08
49782,c-NIGER-1236,NIGER-0,0,2018-04-01 06:14:46,,
49782,c-NIGER-1236,NIGER-0,0,2018-04-01 06:14:46,2018-04-01 06:14:51,42082.42
68080,c-NIGER-1682,NIGER-9,0,2018-04-01 07:27:51,,
68080,c-NIGER-1682,NIGER-9,0,2018-04-01 07:27:51,2018-04-01 07:27:56,105244.22
64173,c-NIGER-1583,NIGER-12,2,2018-04-01 07:54:05,,
64173,c-NIGER-1583,NIGER-12,2,2018-04-01 07:54:05,2018-04-01 07:54:10,30457.54
28194,c-NIGER-709,NIGER-6,2,2018-04-01 08:16:12,,
28194,c-NIGER-709,NIGER-6,2,2018-04-01 08:16:12,2018-04-01 08:16:17,141415.72
75714,c-NIGER-1873,NIGER-15,0,2018-04-01 10:13:01,,
75714,c-NIGER-1873,NIGER-15,0,2018-04-01 10:13:01,2018-04-01 10:13:06,93570.8
56020,c-NIGER-1384,NIGER-4,1,2018-04-01 11:01:55,,
56020,c-NIGER-1384,NIGER-4,1,2018-04-01 11:01:55,2018-04-01 11:02:00,15108.84
25153,c-NIGER-633,NIGER-28,3,2018-04-01 11:43:05,,
25153,c-NIGER-633,NIGER-28,3,2018-04-01 11:43:05,2018-04-01 11:43:10,24616.5
68678,c-NIGER-1697,NIGER-32,3,2018-04-01 12:18:34,,
68678,c-NIGER-1697,NIGER-32,3,2018-04-01 12:18:34,2018-04-01 12:18:39,17029.02
32246,c-NIGER-805,NIGER-6,1,2018-04-01 12:57:13,,
32246,c-NIGER-805,NIGER-6,1,2018-04-01 12:57:13,2018-04-01 12:57:18,0.0
80713,c-NIGER-1998,NIGER-19,3,2018-04-01 13:19:08,,
80713,c-NIGER-1998,NIGER-19,3,2018-04-01 13:19:08,2018-04-01 13:19:13,6.72
80743,c-NIGER-1999,NIGER-29,0,2018-04-01 13:43:58,,
80743,c-NIGER-1999,NIGER-29,0,2018-04-01 13:43:58,2018-04-01 13:44:03,9349.22
40984,c-NIGER-1014,NIGER-7,3,2018-04-01 15:09:38,,
40984,c-NIGER-1014,NIGER-7,3,2018-04-01 15:09:38,2018-04-01 15:09:43,25937.08
69736,c-NIGER-1720,NIGER-15,1,2018-04-01 15:31:05,,
69736,c-NIGER-1720,NIGER-15,1,2018-04-01 15:31:05,2018-04-01 15:31:10,39733.34
53726,c-NIGER-1333,EXT-2,3,2018-04-01 15:41:22,,
53726,c-NIGER-1333,EXT-2,3,2018-04-01 15:41:22,2018-04-01 15:41:27,17354.2
17646,c-NIGER-453,NIGER-18,1,2018-04-01 17:50:19,,
17646,c-NIGER-453,NIGER-18,1,2018-04-01 17:50:19,2018-04-01 17:50:24,40559.66
5222,c-NIGER-130,NIGER-33,1,2018-04-01 18:35:20,,
5222,c-NIGER-130,NIGER-33,1,2018-04-01 18:35:20,2018-04-01 18:35:25,25661.88
61224,c-NIGER-1512,NIGER-7,1,2018-04-01 23:12:29,,
61224,c-NIGER-1512,NIGER-7,1,2018-04-01 23:12:29,2018-04-01 23:12:34,98643.54
31874,c-NIGER-795,EXT-3,0,2018-04-01 23:16:49,,
31874,c-NIGER-795,EXT-3,0,2018-04-01 23:16:49,2018-04-01 23:16:54,0.0
41816,c-NIGER-1037,NIGER-3,3,2018-04-02 02:15:45,,
41816,c-NIGER-1037,NIGER-3,3,2018-04-02 02:15:45,2018-04-02 02:15:50,7818.38
19470,c-NIGER-494,NIGER-23,3,2018-04-02 04:35:43,,
19470,c-NIGER-494,NIGER-23,3,2018-04-02 04:35:43,2018-04-02 04:35:48,51391.7
17257,c-NIGER-444,NIGER-12,3,2018-04-02 04:47:13,,
17257,c-NIGER-444,NIGER-12,3,2018-04-02 04:47:13,2018-04-02 04:47:18,93359.44
29978,c-NIGER-756,NIGER-34,0,2018-04-02 06:50:17,,
29978,c-NIGER-756,NIGER-34,0,2018-04-02 06:50:17,2018-04-02 06:50:22,0.0
74128,c-NIGER-1834,NIGER-44,0,2018-04-02 07:04:06,,
74128,c-NIGER-1834,NIGER-44,0,2018-04-02 07:04:06,2018-04-02 07:04:11,33477.5
28193,c-NIGER-709,NIGER-9,1,2018-04-02 08:48:30,,
28193,c-NIGER-709,NIGER-9,1,2018-04-02 08:48:30,2018-04-02 08:48:35,23136.46
12535,c-NIGER-316,NIGER-21,0,2018-04-02 08:52:25,,
12535,c-NIGER-316,NIGER-21,0,2018-04-02 08:52:25,2018-04-02 08:52:30,86469.52
20104,c-NIGER-507,NIGER-27,1,2018-04-02 12:10:53,,
20104,c-NIGER-507,NIGER-27,1,2018-04-02 12:10:53,2018-04-02 12:10:58,25558.86
22616,c-NIGER-570,NIGER-41,3,2018-04-02 12:17:56,,
22616,c-NIGER-570,NIGER-41,3,2018-04-02 12:17:56,2018-04-02 12:18:01,15527.56
