test,approach,answer,time,responseTime
30-0.02-8c,8c-1f,1,0.06,59871409.00
30-0.02-8c,8c-1f,2,0.07,64200304.00
30-0.02-8c,8c-1f,3,0.08,75893948.00
30-0.02-8c,8c-1f,4,0.10,97706196.00
30-0.02-8c,8c-1f,5,0.21,203239119.00
30-0.02-8c,8c-1f,6,0.24,231182001.00
30-0.02-8c,8c-1f,7,0.31,298737432.00
30-0.02-8c,8c-1f,8,0.33,318828848.00
30-0.02-8c,8c-1f,9,0.39,378662583.00
30-0.02-8c,8c-1f,10,0.50,486477314.00
30-0.02-8c,8c-1f,11,0.54,525106497.00
30-0.02-8c,8c-1f,12,0.66,643651849.00
30-0.02-8c,8c-1f,13,0.73,714874297.00
30-0.02-8c,8c-1f,14,0.76,748791562.00
30-0.02-8c,8c-1f,15,0.85,834262608.00
30-0.02-8c,8c-1f,16,0.93,916608929.00
30-0.02-8c,8c-1f,17,0.96,937034398.00
30-0.02-8c,8c-1f,18,0.96,945297009.00
30-0.02-8c,8c-1f,19,0.97,949204222.00
30-0.02-8c,8c-1f,20,1.05,1023111275.00
30-0.02-8c,8c-1f,21,1.07,1047618205.00
30-0.02-8c,8c-1f,22,1.11,1079275194.00
30-0.02-8c,8c-1f,23,1.12,1091406054.00
30-0.02-8c,8c-1f,24,1.13,1103944814.00
30-0.02-8c,8c-1f,25,1.14,1111057654.00
30-0.02-8c,8c-1f,26,1.20,1173353118.00
30-0.02-8c,8c-1f,27,1.22,1189167688.00
30-0.02-8c,8c-1f,28,1.23,1199969382.00
30-0.02-8c,8c-1f,29,1.26,1232768049.00
30-0.02-8c,8c-1f,30,1.27,1240148193.00
30-0.02-8c,8c-1f,31,1.33,1295149570.00
30-0.02-8c,8c-1f,32,1.47,1430900213.00
30-0.02-8c,8c-1f,33,1.47,1432762312.00
30-0.02-8c,8c-1f,34,1.54,1502831787.00
30-0.02-8c,8c-1f,35,1.55,1515685874.00
30-0.02-8c,8c-1f,36,1.58,1539769352.00
30-0.02-8c,8c-1f,37,1.59,1556618461.00
30-0.02-8c,8c-1f,38,1.61,1574193944.00
30-0.02-8c,8c-1f,39,1.62,1583495926.00
30-0.02-8c,8c-1f,40,1.63,1595358297.00
30-0.02-8c,8c-1f,41,1.72,1684807707.00
30-0.02-8c,8c-1f,42,1.81,1767974354.00
30-0.02-8c,8c-1f,43,1.88,1833310357.00
30-0.02-8c,8c-1f,44,1.98,1929183125.00
30-0.02-8c,8c-1f,45,1.99,1945574152.00
30-0.02-8c,8c-1f,46,2.05,2001062440.00
30-0.02-8c,8c-1f,47,2.09,2041401859.00
30-0.02-8c,8c-1f,48,2.12,2066365207.00
30-0.02-8c,8c-1f,49,2.25,2194596763.00
30-0.02-8c,8c-1f,50,2.26,2210138473.00
30-0.02-8c,8c-1f,51,2.27,2219751463.00
30-0.02-8c,8c-1f,52,2.28,2227639870.00
30-0.02-8c,8c-1f,53,2.30,2242749398.00
30-0.02-8c,8c-1f,54,2.33,2277323489.00
30-0.02-8c,8c-1f,55,2.43,2374132415.00
30-0.02-8c,8c-1f,56,2.43,2377738927.00
30-0.02-8c,8c-1f,57,2.47,2415337414.00
30-0.02-8c,8c-1f,58,2.64,2453277985.00
30-0.02-8c,8c-1f,59,2.64,2455604912.00
30-0.02-8c,8c-1f,60,2.66,2454935398.00
30-0.02-8c,8c-1f,61,2.67,2451623537.00
30-0.02-8c,8c-1f,62,2.68,2446096229.00
30-0.02-8c,8c-1f,63,2.69,2442596383.00
30-0.02-8c,8c-1f,64,2.70,2449966580.00
30-0.02-8c,8c-1f,65,2.78,2453938008.00
30-0.02-8c,8c-1f,66,2.80,2449877761.00
30-0.02-8c,8c-1f,67,2.80,2449652460.00
30-0.02-8c,8c-1f,68,2.84,2436930389.00
30-0.02-8c,8c-1f,69,2.86,2421218233.00
30-0.02-8c,8c-1f,70,2.89,2396720137.00
30-0.02-8c,8c-1f,71,2.91,2381027946.00
30-0.02-8c,8c-1f,72,2.99,2316919215.00
30-0.02-8c,8c-1f,73,3.03,2271223133.00
30-0.02-8c,8c-1f,74,3.07,2252159370.00
30-0.02-8c,8c-1f,75,3.11,2224945421.00
30-0.02-8c,8c-1f,76,3.12,2223038311.00
30-0.02-8c,8c-1f,77,3.14,2211103334.00
30-0.02-8c,8c-1f,78,3.15,2202968392.00
30-0.02-8c,8c-1f,79,3.18,2210042882.00
30-0.02-8c,8c-1f,80,3.25,2211097987.00
30-0.02-8c,8c-1f,81,3.42,2132760411.00
30-0.02-8c,8c-1f,82,3.44,2131221475.00
30-0.02-8c,8c-1f,83,3.51,2129735110.00
30-0.02-8c,8c-1f,84,3.57,2127232849.00
30-0.02-8c,8c-1f,85,3.57,2126011739.00
30-0.02-8c,8c-1f,86,3.61,2131170116.00
30-0.02-8c,8c-1f,87,3.64,2125888794.00
30-0.02-8c,8c-1f,88,3.72,2107545384.00
30-0.02-8c,8c-1f,89,3.75,2089317319.00
30-0.02-8c,8c-1f,90,3.89,2059017792.00
30-0.02-8c,8c-1f,91,3.90,2055830772.00
30-0.02-8c,8c-1f,92,3.92,2056885662.00
30-0.02-8c,8c-1f,93,3.96,2054157170.00
30-0.02-8c,8c-1f,94,3.99,2051304338.00
30-0.02-8c,8c-1f,95,4.06,2061402635.00
30-0.02-8c,8c-1f,96,4.17,2095543020.00
30-0.02-8c,8c-1f,97,4.27,2109793163.00
30-0.02-8c,8c-1f,98,4.29,2112433587.00
30-0.02-8c,8c-1f,99,4.29,2114496547.00
30-0.02-8c,8c-1f,100,4.30,2114747354.00
30-0.02-8c,8c-1f,101,4.34,2117189044.00
30-0.02-8c,8c-1f,102,4.34,2117749620.00
30-0.02-8c,8c-1f,103,4.37,2117548399.00
30-0.02-8c,8c-1f,104,4.46,2152316390.00
30-0.02-8c,8c-1f,105,4.53,2150220973.00
30-0.02-8c,8c-1f,106,4.58,2149691997.00
30-0.02-8c,8c-1f,107,4.61,2152823237.00
30-0.02-8c,8c-1f,108,4.78,2138536010.00
30-0.02-8c,8c-1f,109,4.84,2126267512.00
30-0.02-8c,8c-1f,110,4.87,2115673958.00
30-0.02-8c,8c-1f,111,4.89,2116233432.00
30-0.02-8c,8c-1f,112,5.02,2138290375.00
30-0.02-8c,8c-1f,113,5.07,2140924896.00
30-0.02-8c,8c-1f,114,5.07,2141474219.00
30-0.02-8c,8c-1f,115,5.11,2138769151.00
30-0.02-8c,8c-1f,116,5.14,2137946834.00
30-0.02-8c,8c-1f,117,5.15,2137351504.00
30-0.02-8c,8c-1f,118,5.28,2126542993.00
30-0.02-8c,8c-1f,119,5.29,2127931377.00
30-0.02-8c,8c-1f,120,5.37,2140241043.00
30-0.02-8c,8c-1f,121,5.40,2140671889.00
30-0.02-8c,8c-1f,122,5.41,2142141198.00
30-0.02-8c,8c-1f,123,5.42,2143139750.00
30-0.02-8c,8c-1f,124,5.45,2140297977.00
30-0.02-8c,8c-1f,125,5.48,2137440841.00
30-0.02-8c,8c-1f,126,5.49,2138626841.00
30-0.02-8c,8c-1f,127,5.51,2142094893.00
30-0.02-8c,8c-1f,128,5.56,2151675721.00
30-0.02-8c,8c-1f,129,5.57,2151492832.00
30-0.02-8c,8c-1f,130,5.62,2135988518.00
30-0.02-8c,8c-1f,131,5.63,2138319287.00
30-0.02-8c,8c-1f,132,5.66,2139086369.00
30-0.02-8c,8c-1f,133,5.77,2168453535.00
30-0.02-8c,8c-1f,134,5.86,2173745873.00
30-0.02-8c,8c-1f,135,5.86,2173968010.00
30-0.02-8c,8c-1f,136,5.87,2174902460.00
30-0.02-8c,8c-1f,137,5.91,2175801162.00
30-0.02-8c,8c-1f,138,5.92,2176279519.00
30-0.02-8c,8c-1f,139,5.99,2176208082.00
30-0.02-8c,8c-1f,140,6.08,2172277085.00
30-0.02-8c,8c-1f,141,6.09,2172300915.00
30-0.02-8c,8c-1f,142,6.13,2174397719.00
30-0.02-8c,8c-1f,143,6.14,2173056497.00
30-0.02-8c,8c-1f,144,6.15,2171561227.00
30-0.02-8c,8c-1f,145,6.22,2165412575.00
30-0.02-8c,8c-1f,146,6.27,2159793083.00
30-0.02-8c,8c-1f,147,6.36,2103477806.00
30-0.02-8c,8c-1f,148,6.36,2103881745.00
30-0.02-8c,8c-1f,149,6.37,2105095000.00
30-0.02-8c,8c-1f,150,6.39,2103324120.00
30-0.02-8c,8c-1f,151,6.42,2116252666.00
30-0.02-8c,8c-1f,152,6.45,2126911183.00
30-0.02-8c,8c-1f,153,6.46,2126549204.00
30-0.02-8c,8c-1f,154,6.47,2127302781.00
30-0.02-8c,8c-1f,155,6.56,2089102365.00
30-0.02-8c,8c-1f,156,6.64,2095506551.00
30-0.02-8c,8c-1f,157,6.67,2096560178.00
30-0.02-8c,8c-1f,158,6.68,2095764056.00
30-0.02-8c,8c-1f,159,6.69,2095599751.00
30-0.02-8c,8c-1f,160,6.78,2101425203.00
30-0.02-8c,8c-1f,161,6.84,2089828404.00
30-0.02-8c,8c-1f,162,6.86,2090361581.00
30-0.02-8c,8c-1f,163,6.88,2088487689.00
30-0.02-8c,8c-1f,164,6.91,2084748270.00
30-0.02-8c,8c-1f,165,6.94,2084767303.00
30-0.02-8c,8c-1f,166,6.95,2083419399.00
30-0.02-8c,8c-1f,167,6.95,2085177203.00
30-0.02-8c,8c-1f,168,6.99,2087655288.00
30-0.02-8c,8c-1f,169,6.99,2087702090.00
30-0.02-8c,8c-1f,170,7.00,2088756348.00
30-0.02-8c,8c-1f,171,7.00,2088429540.00
30-0.02-8c,8c-1f,172,7.03,2089827956.00
30-0.02-8c,8c-1f,173,7.06,2070347613.00
30-0.02-8c,8c-1f,174,7.07,2064251759.00
30-0.02-8c,8c-1f,175,7.12,2065249689.00
30-0.02-8c,8c-1f,176,7.14,2074177162.00
30-0.02-8c,8c-1f,177,7.17,2084337103.00
30-0.02-8c,8c-1f,178,7.23,2089583112.00
30-0.02-8c,8c-1f,179,7.28,2094311998.00
30-0.02-8c,8c-1f,180,7.32,2094670158.00
30-0.02-8c,8c-1f,181,7.38,2094586026.00
30-0.02-8c,8c-1f,182,7.39,2089247888.00
30-0.02-8c,8c-1f,183,7.46,2091134568.00
30-0.02-8c,8c-1f,184,7.48,2090344038.00
30-0.02-8c,8c-1f,185,7.51,2092381130.00
30-0.02-8c,8c-1f,186,7.53,2091830019.00
30-0.02-8c,8c-1f,187,7.55,2094822474.00
30-0.02-8c,8c-1f,188,7.57,2094646084.00
30-0.02-8c,8c-1f,189,7.58,2096206121.00
30-0.02-8c,8c-1f,190,7.60,2094185694.00
30-0.02-8c,8c-1f,191,7.62,2091551245.00
30-0.02-8c,8c-1f,192,7.63,2091657427.00
30-0.02-8c,8c-1f,193,7.66,2089837211.00
30-0.02-8c,8c-1f,194,7.71,2085045134.00
30-0.02-8c,8c-1f,195,7.73,2085072446.00
30-0.02-8c,8c-1f,196,7.78,2076386607.00
30-0.02-8c,8c-1f,197,7.80,2064259621.00
30-0.02-8c,8c-1f,198,7.80,2067239654.00
30-0.02-8c,8c-1f,199,7.80,2064406158.00
30-0.02-8c,8c-1f,200,7.82,2060520802.00
30-0.02-8c,8c-1f,201,7.84,2059664474.00
30-0.02-8c,8c-1f,202,7.86,2071663556.00
30-0.02-8c,8c-1f,203,7.87,2076970004.00
30-0.02-8c,8c-1f,204,7.89,2080694111.00
30-0.02-8c,8c-1f,205,7.91,2081113937.00
30-0.02-8c,8c-1f,206,7.91,2081574776.00
30-0.02-8c,8c-1f,207,7.95,2085526701.00
30-0.02-8c,8c-1f,208,8.21,2082747830.00
30-0.02-8c,8c-1f,209,8.23,2083711000.00
30-0.02-8c,8c-1f,210,8.30,2088167861.00
30-0.02-8c,8c-1f,211,8.31,2088464429.00
30-0.02-8c,8c-1f,212,8.33,2088100325.00
30-0.02-8c,8c-1f,213,8.38,2097746405.00
30-0.02-8c,8c-1f,214,8.52,2089998220.00
30-0.02-8c,8c-1f,215,8.52,2087337534.00
30-0.02-8c,8c-1f,216,8.59,2094168562.00
30-0.02-8c,8c-1f,217,8.64,2106875860.00
30-0.02-8c,8c-1f,218,8.65,2107990668.00
30-0.02-8c,8c-1f,219,8.66,2109129959.00
30-0.02-8c,8c-1f,220,8.68,2108456861.00
30-0.02-8c,8c-1f,221,8.78,2100336864.00
30-0.02-8c,8c-1f,222,8.80,2100761690.00
30-0.02-8c,8c-1f,223,8.80,2098743067.00
30-0.02-8c,8c-1f,224,8.82,2098858362.00
30-0.02-8c,8c-1f,225,8.82,2099351743.00
30-0.02-8c,8c-1f,226,8.82,2099299297.00
30-0.02-8c,8c-1f,227,8.83,2098692045.00
30-0.02-8c,8c-1f,228,8.89,2092909945.00
30-0.02-8c,8c-1f,229,8.91,2099144553.00
30-0.02-8c,8c-1f,230,8.97,2104954982.00
30-0.02-8c,8c-1f,231,8.98,2104290211.00
30-0.02-8c,8c-1f,232,8.99,2103938482.00
30-0.02-8c,8c-1f,233,9.03,2108156816.00
30-0.02-8c,8c-1f,234,9.05,2106796056.00
30-0.02-8c,8c-1f,235,9.11,2109527629.00
30-0.02-8c,8c-1f,236,9.12,2109991517.00
30-0.02-8c,8c-1f,237,9.15,2107780430.00
30-0.02-8c,8c-1f,238,9.19,2115805229.00
30-0.02-8c,8c-1f,239,9.21,2115269642.00
30-0.02-8c,8c-1f,240,9.22,2116394150.00
30-0.02-8c,8c-1f,241,9.23,2112497462.00
30-0.02-8c,8c-1f,242,9.23,2112546701.00
30-0.02-8c,8c-1f,243,9.24,2107368782.00
30-0.02-8c,8c-1f,244,9.25,2095075204.00
30-0.02-8c,8c-1f,245,9.26,2091385331.00
30-0.02-8c,8c-1f,246,9.27,2089386960.00
30-0.02-8c,8c-1f,247,9.36,2104334135.00
30-0.02-8c,8c-1f,248,9.36,2105324620.00
30-0.02-8c,8c-1f,249,9.37,2104868799.00
30-0.02-8c,8c-1f,250,9.41,2107109201.00
30-0.02-8c,8c-1f,251,9.42,2108058078.00
30-0.02-8c,8c-1f,252,9.43,2107784174.00
30-0.02-8c,8c-1f,253,9.44,2110254541.00
30-0.02-8c,8c-1f,254,9.49,2112073000.00
30-0.02-8c,8c-1f,255,9.56,2109459876.00
30-0.02-8c,8c-1f,256,9.58,2113514331.00
30-0.02-8c,8c-1f,257,9.58,2114693550.00
30-0.02-8c,8c-1f,258,9.59,2115568583.00
30-0.02-8c,8c-1f,259,9.59,2115234379.00
30-0.02-8c,8c-1f,260,9.61,2110108605.00
30-0.02-8c,8c-1f,261,9.61,2110496197.00
30-0.02-8c,8c-1f,262,9.62,2113077843.00
30-0.02-8c,8c-1f,263,9.68,2118158607.00
30-0.02-8c,8c-1f,264,9.70,2118987894.00
30-0.02-8c,8c-1f,265,9.78,2119845594.00
30-0.02-8c,8c-1f,266,9.83,2120032104.00
30-0.02-8c,8c-1f,267,9.84,2117406180.00
30-0.02-8c,8c-1f,268,9.85,2117826494.00
30-0.02-8c,8c-1f,269,9.88,2116341088.00
30-0.02-8c,8c-1f,270,9.91,2113522736.00
30-0.02-8c,8c-1f,271,9.95,2111273905.00
30-0.02-8c,8c-1f,272,9.99,2084785351.00
