transaction_id,number_id,ATM_id,transaction_type,transaction_start,transaction_end,transaction_amount
42,c-NIGER-11,EXT-2,2,2018-04-01 03:57:05,,
42,c-NIGER-11,EXT-2,2,2018-04-01 03:57:05,2018-04-01 03:57:13,0.0
10,c-NIGER-2,NIGER-5,2,2018-04-01 04:02:03,,
10,c-NIGER-2,NIGER-5,2,2018-04-01 04:02:03,2018-04-01 04:02:29,0.0
29,c-NIGER-7,NIGER-3,0,2018-04-01 04:07:36,,
29,c-NIGER-7,NIGER-3,0,2018-04-01 04:07:36,2018-04-01 04:08:21,46953.33
24,c-NIGER-6,NIGER-4,1,2018-04-01 04:10:48,,
24,c-NIGER-6,NIGER-4,1,2018-04-01 04:10:48,2018-04-01 04:11:35,19275.44
43,c-NIGER-11,EXT-0,1,2018-04-01 04:40:03,,
43,c-NIGER-11,EXT-0,1,2018-04-01 04:40:03,2018-04-01 04:40:56,7654.3
7,c-NIGER-1,EXT-2,3,2018-04-01 04:50:42,,
7,c-NIGER-1,EXT-2,3,2018-04-01 04:50:42,2018-04-01 04:51:16,40028.33
15,c-NIGER-3,NIGER-5,0,2018-04-01 04:52:38,,
15,c-NIGER-3,NIGER-5,0,2018-04-01 04:52:38,2018-04-01 04:53:02,41987.59
25,c-NIGER-6,NIGER-6,0,2018-04-01 05:19:06,,
25,c-NIGER-6,NIGER-6,0,2018-04-01 05:19:06,2018-04-01 05:19:44,28546.6
18,c-NIGER-4,NIGER-9,3,2018-04-01 05:40:49,,
18,c-NIGER-4,NIGER-9,3,2018-04-01 05:40:49,2018-04-01 05:41:31,24793.64
0,c-NIGER-0,NIGER-7,0,2018-04-01 05:58:30,,
0,c-NIGER-0,NIGER-7,0,2018-04-01 05:58:30,2018-04-01 05:59:19,7826.58
44,c-NIGER-11,EXT-0,0,2018-04-01 07:39:55,,
44,c-NIGER-11,EXT-0,0,2018-04-01 07:39:55,2018-04-01 07:40:23,31158.52
11,c-NIGER-2,NIGER-3,0,2018-04-01 07:41:40,,
11,c-NIGER-2,NIGER-3,0,2018-04-01 07:41:40,2018-04-01 07:42:15,50789.21
16,c-NIGER-3,NIGER-1,0,2018-04-01 07:55:35,,
16,c-NIGER-3,NIGER-1,0,2018-04-01 07:55:35,2018-04-01 07:56:21,69755.93
33,c-NIGER-8,NIGER-1,3,2018-04-01 07:58:09,,
33,c-NIGER-8,NIGER-1,3,2018-04-01 07:58:09,2018-04-01 07:58:30,38921.18
34,c-NIGER-8,NIGER-3,1,2018-04-01 08:17:39,,
34,c-NIGER-8,NIGER-3,1,2018-04-01 08:17:39,2018-04-01 08:18:01,1998.01
45,c-NIGER-11,NIGER-8,0,2018-04-01 08:22:40,,
45,c-NIGER-11,NIGER-8,0,2018-04-01 08:22:40,2018-04-01 08:22:49,35441.71
30,c-NIGER-7,NIGER-1,3,2018-04-01 08:35:53,,
30,c-NIGER-7,NIGER-1,3,2018-04-01 08:35:53,2018-04-01 08:36:45,15293.52
39,c-NIGER-10,EXT-1,0,2018-04-01 08:47:38,,
39,c-NIGER-10,EXT-1,0,2018-04-01 08:47:38,2018-04-01 08:47:51,53015.58
17,c-NIGER-3,NIGER-5,0,2018-04-01 09:34:02,,
17,c-NIGER-3,NIGER-5,0,2018-04-01 09:34:02,2018-04-01 09:34:32,71686.34
40,c-NIGER-10,NIGER-1,0,2018-04-01 09:56:04,,
40,c-NIGER-10,NIGER-1,0,2018-04-01 09:56:04,2018-04-01 09:56:18,4905.32
8,c-NIGER-1,NIGER-8,0,2018-04-01 10:24:19,,
8,c-NIGER-1,NIGER-8,0,2018-04-01 10:24:19,2018-04-01 10:24:38,33963.87
12,c-NIGER-2,NIGER-5,0,2018-04-01 10:55:26,,
