test,approach,answer,time,responseTime,isPositive
30-0.02-8c,8c-2000f,1,0.01,273549.00,0
30-0.02-8c,8c-2000f,2,0.01,2929.00,0
30-0.02-8c,8c-2000f,3,0.02,5929.00,0
30-0.02-8c,8c-2000f,4,0.02,22813.00,0
30-0.02-8c,8c-2000f,5,0.03,11670.00,0
30-0.02-8c,8c-2000f,6,0.03,3341.00,0
30-0.02-8c,8c-2000f,7,0.03,1708.00,0
30-0.02-8c,8c-2000f,8,0.03,2858.00,0
30-0.02-8c,8c-2000f,9,0.03,5754.00,0
30-0.02-8c,8c-2000f,10,0.03,543114.00,0
30-0.02-8c,8c-2000f,11,0.03,2369.00,0
30-0.02-8c,8c-2000f,12,0.03,100852.00,0
30-0.02-8c,8c-2000f,13,0.03,1659.00,0
30-0.02-8c,8c-2000f,14,0.03,2532.00,0
30-0.02-8c,8c-2000f,15,0.03,2419.00,0
30-0.02-8c,8c-2000f,16,0.04,3866.00,0
30-0.02-8c,8c-2000f,17,0.04,18202.00,0
30-0.02-8c,8c-2000f,18,0.05,392457.00,0
30-0.02-8c,8c-2000f,19,0.05,175011.00,0
30-0.02-8c,8c-2000f,20,0.05,6259.00,0
30-0.02-8c,8c-2000f,21,0.05,50936.00,0
30-0.02-8c,8c-2000f,22,0.05,3986.00,0
30-0.02-8c,8c-2000f,23,0.06,2304672.00,0
30-0.02-8c,8c-2000f,24,0.06,2244672.00,0
30-0.02-8c,8c-2000f,25,0.06,611565.00,0
30-0.02-8c,8c-2000f,26,0.06,558676.00,0
30-0.02-8c,8c-2000f,27,0.06,114909.00,0
30-0.02-8c,8c-2000f,28,0.06,3715.00,0
30-0.02-8c,8c-2000f,29,0.06,3118.00,0
30-0.02-8c,8c-2000f,30,0.06,62339.00,0
30-0.02-8c,8c-2000f,31,0.06,3301.00,0
30-0.02-8c,8c-2000f,32,0.07,445456.00,0
30-0.02-8c,8c-2000f,33,0.07,343997.00,0
30-0.02-8c,8c-2000f,34,0.07,26917.00,0
30-0.02-8c,8c-2000f,35,0.07,1863190.00,0
30-0.02-8c,8c-2000f,36,0.07,1056091.00,0
30-0.02-8c,8c-2000f,37,0.07,325274.00,0
30-0.02-8c,8c-2000f,38,0.07,41245.00,0
30-0.02-8c,8c-2000f,39,0.07,21855.00,0
30-0.02-8c,8c-2000f,40,0.07,2128353.00,0
30-0.02-8c,8c-2000f,41,0.07,2054001.00,0
30-0.02-8c,8c-2000f,42,0.07,1641776.00,0
30-0.02-8c,8c-2000f,43,0.07,225537.00,0
30-0.02-8c,8c-2000f,44,0.07,2882.00,0
30-0.02-8c,8c-2000f,45,0.07,1987.00,0
30-0.02-8c,8c-2000f,46,0.07,2325.00,0
30-0.02-8c,8c-2000f,47,0.08,10661205.00,0
30-0.02-8c,8c-2000f,48,0.08,7867973.00,0
30-0.02-8c,8c-2000f,49,0.08,5323.00,0
30-0.02-8c,8c-2000f,50,0.08,8268.00,0
30-0.02-8c,8c-2000f,51,0.08,3141.00,0
30-0.02-8c,8c-2000f,52,0.08,2780.00,0
30-0.02-8c,8c-2000f,53,0.08,2240.00,0
