test,approach,answer,time,responseTime,isPositive
30-0.02-8c,8c-2000f,1,0.01,614010.00,0
30-0.02-8c,8c-2000f,2,0.01,7352507.00,0
30-0.02-8c,8c-2000f,3,0.01,9615763.00,0
30-0.02-8c,8c-2000f,4,0.02,12972312.00,0
30-0.02-8c,8c-2000f,5,0.02,11816658.00,0
30-0.02-8c,8c-2000f,6,0.02,10631739.00,0
30-0.02-8c,8c-2000f,7,0.02,11049919.00,0
30-0.02-8c,8c-2000f,8,0.02,14722247.00,0
30-0.02-8c,8c-2000f,9,0.02,9572548.00,0
30-0.02-8c,8c-2000f,10,0.02,6478984.00,0
30-0.02-8c,8c-2000f,11,0.03,555384.00,0
30-0.02-8c,8c-2000f,12,0.03,25832168.00,0
30-0.02-8c,8c-2000f,13,0.03,10822487.00,0
30-0.02-8c,8c-2000f,14,0.03,11917820.00,0
30-0.02-8c,8c-2000f,15,0.03,19569422.00,0
30-0.02-8c,8c-2000f,16,0.03,6314174.00,0
30-0.02-8c,8c-2000f,17,0.03,6160117.00,0
30-0.02-8c,8c-2000f,18,0.03,12827792.00,0
30-0.02-8c,8c-2000f,19,0.03,7540845.00,0
30-0.02-8c,8c-2000f,20,0.03,22397786.00,0
30-0.02-8c,8c-2000f,21,0.03,4195105.00,0
30-0.02-8c,8c-2000f,22,0.03,26250927.00,0
30-0.02-8c,8c-2000f,23,0.03,8457294.00,0
30-0.02-8c,8c-2000f,24,0.03,4957178.00,0
30-0.02-8c,8c-2000f,25,0.03,7751961.00,0
30-0.02-8c,8c-2000f,26,0.03,15961045.00,0
30-0.02-8c,8c-2000f,27,0.03,9781832.00,0
30-0.02-8c,8c-2000f,28,0.03,6797078.00,0
30-0.02-8c,8c-2000f,29,0.03,26903213.00,0
30-0.02-8c,8c-2000f,30,0.04,5414667.00,0
30-0.02-8c,8c-2000f,31,0.04,25461296.00,0
30-0.02-8c,8c-2000f,32,0.04,5269834.00,0
30-0.02-8c,8c-2000f,33,0.04,4335625.00,0
30-0.02-8c,8c-2000f,34,0.04,27725717.00,0
30-0.02-8c,8c-2000f,35,0.04,10243696.00,0
30-0.02-8c,8c-2000f,36,0.04,7737844.00,0
30-0.02-8c,8c-2000f,37,0.04,4711728.00,0
30-0.02-8c,8c-2000f,38,0.04,5781993.00,0
30-0.02-8c,8c-2000f,39,0.04,5061538.00,0
30-0.02-8c,8c-2000f,40,0.04,12138868.00,0
30-0.02-8c,8c-2000f,41,0.04,6535452.00,0
30-0.02-8c,8c-2000f,42,0.04,36843704.00,0
30-0.02-8c,8c-2000f,43,0.04,22060835.00,0
30-0.02-8c,8c-2000f,44,0.04,6262426.00,0
30-0.02-8c,8c-2000f,45,0.04,31334270.00,0
30-0.02-8c,8c-2000f,46,0.04,8649971.00,0
30-0.02-8c,8c-2000f,47,0.04,7816324.00,0
30-0.02-8c,8c-2000f,48,0.04,8683082.00,0
30-0.02-8c,8c-2000f,49,0.05,40276459.00,0
30-0.02-8c,8c-2000f,50,0.05,37979447.00,0
30-0.02-8c,8c-2000f,51,0.05,43938772.00,0
30-0.02-8c,8c-2000f,52,0.05,9837145.00,0
30-0.02-8c,8c-2000f,53,0.05,11358012.00,0
30-0.02-8c,8c-2000f,54,0.05,13797980.00,0
30-0.02-8c,8c-2000f,55,0.05,12642438.00,0
30-0.02-8c,8c-2000f,56,0.06,49096703.00,0
30-0.02-8c,8c-2000f,57,0.06,38823116.00,0
30-0.02-8c,8c-2000f,58,0.06,21888840.00,0
30-0.02-8c,8c-2000f,59,0.06,14340344.00,0
30-0.02-8c,8c-2000f,60,0.06,23748220.00,0
30-0.02-8c,8c-2000f,61,0.06,24586712.00,0
30-0.02-8c,8c-2000f,62,0.06,54457651.00,0
30-0.02-8c,8c-2000f,63,0.06,24195401.00,0
30-0.02-8c,8c-2000f,64,0.06,28347065.00,0
30-0.02-8c,8c-2000f,65,0.06,59522882.00,0
30-0.02-8c,8c-2000f,66,0.06,54951798.00,0
30-0.02-8c,8c-2000f,67,0.07,43543935.00,0
30-0.02-8c,8c-2000f,68,0.07,60576536.00,0
30-0.02-8c,8c-2000f,69,0.07,13095162.00,0
30-0.02-8c,8c-2000f,70,0.07,22297799.00,0
30-0.02-8c,8c-2000f,71,0.07,63667457.00,0
30-0.02-8c,8c-2000f,72,0.07,13176157.00,0
30-0.02-8c,8c-2000f,73,0.07,36202239.00,0
30-0.02-8c,8c-2000f,74,0.07,64432929.00,0
30-0.02-8c,8c-2000f,75,0.07,26061027.00,0
30-0.02-8c,8c-2000f,76,0.07,24969194.00,0
30-0.02-8c,8c-2000f,77,0.07,38876752.00,0
30-0.02-8c,8c-2000f,78,0.07,36021540.00,0
