test,approach,answer,time,responseTime,isPositive
30-0.02-8c,8c-1f,1,0.01,7689532.00,0
30-0.02-8c,8c-1f,2,0.01,12200132.00,0
30-0.02-8c,8c-1f,3,0.02,16720640.00,0
30-0.02-8c,8c-1f,4,0.02,19188464.00,0
30-0.02-8c,8c-1f,5,0.03,23284391.00,0
30-0.02-8c,8c-1f,6,0.03,29785944.00,0
30-0.02-8c,8c-1f,7,0.03,29789594.00,0
30-0.02-8c,8c-1f,8,0.04,33648191.00,1
30-0.02-8c,8c-1f,9,0.04,39479188.00,1
30-0.02-8c,8c-1f,10,0.05,44385870.00,0
30-0.02-8c,8c-1f,11,0.05,46556960.00,1
30-0.02-8c,8c-1f,12,0.05,48149469.00,0
30-0.02-8c,8c-1f,13,0.05,49858337.00,0
30-0.02-8c,8c-1f,14,0.06,51579039.00,0
30-0.02-8c,8c-1f,15,0.06,53258337.00,0
30-0.02-8c,8c-1f,16,0.06,56202837.00,1
30-0.02-8c,8c-1f,17,0.06,58891118.00,0
30-0.02-8c,8c-1f,18,0.06,60566837.00,0
30-0.02-8c,8c-1f,19,0.07,61995224.00,0
30-0.02-8c,8c-1f,20,0.07,63455554.00,0
30-0.02-8c,8c-1f,21,0.07,63467411.00,0
30-0.02-8c,8c-1f,22,0.07,64832161.00,0
30-0.02-8c,8c-1f,23,0.07,66632677.00,0
30-0.02-8c,8c-1f,24,0.07,68567137.00,0
30-0.02-8c,8c-1f,25,0.07,69993431.00,0
30-0.02-8c,8c-1f,26,0.08,71551001.00,0
30-0.02-8c,8c-1f,27,0.08,72866200.00,0
30-0.02-8c,8c-1f,28,0.08,74576905.00,0
30-0.02-8c,8c-1f,29,0.08,76832218.00,0
30-0.02-8c,8c-1f,30,0.08,78258144.00,0
30-0.02-8c,8c-1f,31,0.08,79593242.00,0
30-0.02-8c,8c-1f,32,0.09,81093169.00,0
30-0.02-8c,8c-1f,33,0.09,82404157.00,0
30-0.02-8c,8c-1f,34,0.09,84081245.00,0
30-0.02-8c,8c-1f,35,0.09,85673657.00,0
30-0.02-8c,8c-1f,36,0.09,86814285.00,0
30-0.02-8c,8c-1f,37,0.09,87935415.00,0
30-0.02-8c,8c-1f,38,0.09,89028302.00,0
30-0.02-8c,8c-1f,39,0.10,90467340.00,0
30-0.02-8c,8c-1f,40,0.10,91596279.00,0
30-0.02-8c,8c-1f,41,0.10,92351346.00,0
30-0.02-8c,8c-1f,42,0.10,93024165.00,0
30-0.02-8c,8c-1f,43,0.10,93735825.00,0
30-0.02-8c,8c-1f,44,0.10,94385265.00,0
30-0.02-8c,8c-1f,45,0.10,95096824.00,0
30-0.02-8c,8c-1f,46,0.10,95811024.00,0
30-0.02-8c,8c-1f,47,0.10,96745144.00,0
30-0.02-8c,8c-1f,48,0.10,96632054.00,0
30-0.02-8c,8c-1f,49,0.10,97516442.00,0
30-0.02-8c,8c-1f,50,0.11,98777159.00,0
30-0.02-8c,8c-1f,51,0.11,99394079.00,0
30-0.02-8c,8c-1f,52,0.11,100405828.00,0
30-0.02-8c,8c-1f,53,0.11,101216703.00,0
30-0.02-8c,8c-1f,54,0.11,102123731.00,0
30-0.02-8c,8c-1f,55,0.11,103392130.00,0
30-0.02-8c,8c-1f,56,0.11,104683248.00,0
30-0.02-8c,8c-1f,57,0.11,105769434.00,0
30-0.02-8c,8c-1f,58,0.11,106681461.00,0
30-0.02-8c,8c-1f,59,0.11,107768859.00,1
30-0.02-8c,8c-1f,60,0.12,108647143.00,0
30-0.02-8c,8c-1f,61,0.12,111847723.00,0
30-0.02-8c,8c-1f,62,0.12,113200743.00,0
30-0.02-8c,8c-1f,63,0.12,114548294.00,0
30-0.02-8c,8c-1f,64,0.12,115510367.00,0
30-0.02-8c,8c-1f,65,0.12,116528558.00,0
30-0.02-8c,8c-1f,66,0.13,118079154.00,0
30-0.02-8c,8c-1f,67,0.13,120192771.00,0
