test,approach,answer,time
30-0.02-4c,4c-16f,1,0.01
30-0.02-4c,4c-16f,2,0.01
30-0.02-4c,4c-16f,3,0.02
30-0.02-4c,4c-16f,4,0.02
30-0.02-4c,4c-16f,5,0.03
30-0.02-4c,4c-16f,6,0.03
30-0.02-4c,4c-16f,7,0.04
30-0.02-4c,4c-16f,8,0.04
30-0.02-4c,4c-16f,9,0.05
30-0.02-4c,4c-16f,10,0.06
30-0.02-4c,4c-16f,11,0.07
30-0.02-4c,4c-16f,12,0.08
30-0.02-4c,4c-16f,13,0.08
30-0.02-4c,4c-16f,14,0.08
30-0.02-4c,4c-16f,15,0.09
30-0.02-4c,4c-16f,16,0.14
30-0.02-4c,4c-16f,17,0.23
30-0.02-4c,4c-16f,18,0.27
30-0.02-4c,4c-16f,19,0.30
30-0.02-4c,4c-16f,20,0.31
30-0.02-4c,4c-16f,21,0.32
30-0.02-4c,4c-16f,22,0.32
30-0.02-4c,4c-16f,23,0.33
30-0.02-4c,4c-16f,24,0.36
30-0.02-4c,4c-16f,25,0.38
30-0.02-4c,4c-16f,26,0.39
30-0.02-4c,4c-16f,27,0.39
30-0.02-4c,4c-16f,28,0.39
30-0.02-4c,4c-16f,29,0.40
30-0.02-4c,4c-16f,30,0.40
30-0.02-4c,4c-16f,31,0.41
30-0.02-4c,4c-16f,32,0.43
30-0.02-4c,4c-16f,33,0.44
30-0.02-4c,4c-16f,34,0.44
30-0.02-4c,4c-16f,35,0.45
30-0.02-4c,4c-16f,36,0.45
30-0.02-4c,4c-16f,37,0.46
30-0.02-4c,4c-16f,38,0.46
30-0.02-4c,4c-16f,39,0.47
30-0.02-4c,4c-16f,40,0.47
30-0.02-4c,4c-16f,41,0.49
30-0.02-4c,4c-16f,42,0.50
30-0.02-4c,4c-16f,43,0.53
30-0.02-4c,4c-16f,44,0.55
30-0.02-4c,4c-16f,45,0.55
30-0.02-4c,4c-16f,46,0.56
30-0.02-4c,4c-16f,47,0.57
30-0.02-4c,4c-16f,48,0.59
30-0.02-4c,4c-16f,49,0.61
30-0.02-4c,4c-16f,50,0.63
30-0.02-4c,4c-16f,51,0.67
30-0.02-4c,4c-16f,52,0.69
30-0.02-4c,4c-16f,53,0.72
30-0.02-4c,4c-16f,54,0.75
30-0.02-4c,4c-16f,55,0.77
30-0.02-4c,4c-16f,56,0.82
30-0.02-4c,4c-16f,57,0.83
30-0.02-4c,4c-16f,58,0.86
30-0.02-4c,4c-16f,59,0.87
30-0.02-4c,4c-16f,60,0.87
30-0.02-4c,4c-16f,61,0.87
30-0.02-4c,4c-16f,62,0.87
30-0.02-4c,4c-16f,63,0.88
30-0.02-4c,4c-16f,64,0.88
30-0.02-4c,4c-16f,65,0.90
30-0.02-4c,4c-16f,66,0.90
30-0.02-4c,4c-16f,67,0.90
30-0.02-4c,4c-16f,68,0.92
30-0.02-4c,4c-16f,69,0.92
30-0.02-4c,4c-16f,70,0.92
30-0.02-4c,4c-16f,71,0.93
30-0.02-4c,4c-16f,72,0.93
30-0.02-4c,4c-16f,73,0.97
30-0.02-4c,4c-16f,74,1.00
30-0.02-4c,4c-16f,75,1.01
30-0.02-4c,4c-16f,76,1.01
30-0.02-4c,4c-16f,77,1.04
30-0.02-4c,4c-16f,78,1.05
30-0.02-4c,4c-16f,79,1.07
30-0.02-4c,4c-16f,80,1.09
30-0.02-4c,4c-16f,81,1.13
30-0.02-4c,4c-16f,82,1.13
30-0.02-4c,4c-16f,83,1.15
30-0.02-4c,4c-16f,84,1.18
30-0.02-4c,4c-16f,85,1.19
30-0.02-4c,4c-16f,86,1.23
30-0.02-4c,4c-16f,87,1.32
30-0.02-4c,4c-16f,88,1.34
30-0.02-4c,4c-16f,89,1.37
30-0.02-4c,4c-16f,90,1.37
30-0.02-4c,4c-16f,91,1.38
30-0.02-4c,4c-16f,92,1.38
30-0.02-4c,4c-16f,93,1.40
30-0.02-4c,4c-16f,94,1.42
30-0.02-4c,4c-16f,95,1.42
30-0.02-4c,4c-16f,96,1.47
30-0.02-4c,4c-16f,97,1.48
30-0.02-4c,4c-16f,98,1.50
30-0.02-4c,4c-16f,99,1.50
30-0.02-4c,4c-16f,100,1.50
30-0.02-4c,4c-16f,101,1.50
30-0.02-4c,4c-16f,102,1.54
30-0.02-4c,4c-16f,103,1.58
30-0.02-4c,4c-16f,104,1.62
30-0.02-4c,4c-16f,105,1.63
30-0.02-4c,4c-16f,106,1.68
30-0.02-4c,4c-16f,107,1.69
30-0.02-4c,4c-16f,108,1.76
30-0.02-4c,4c-16f,109,1.76
30-0.02-4c,4c-16f,110,1.77
30-0.02-4c,4c-16f,111,1.79
30-0.02-4c,4c-16f,112,1.80
30-0.02-4c,4c-16f,113,1.80
30-0.02-4c,4c-16f,114,1.81
30-0.02-4c,4c-16f,115,1.82
30-0.02-4c,4c-16f,116,1.82
30-0.02-4c,4c-16f,117,1.83
30-0.02-4c,4c-16f,118,1.83
30-0.02-4c,4c-16f,119,1.90
30-0.02-4c,4c-16f,120,1.92
30-0.02-4c,4c-16f,121,1.93
30-0.02-4c,4c-16f,122,1.94
30-0.02-4c,4c-16f,123,1.95
30-0.02-4c,4c-16f,124,1.96
30-0.02-4c,4c-16f,125,1.96
30-0.02-4c,4c-16f,126,1.96
30-0.02-4c,4c-16f,127,1.99
30-0.02-4c,4c-16f,128,2.01
30-0.02-4c,4c-16f,129,2.01
30-0.02-4c,4c-16f,130,2.02
30-0.02-4c,4c-16f,131,2.02
30-0.02-4c,4c-16f,132,2.06
30-0.02-4c,4c-16f,133,2.07
30-0.02-4c,4c-16f,134,2.08
30-0.02-4c,4c-16f,135,2.10
30-0.02-4c,4c-16f,136,2.13
30-0.02-4c,4c-16f,137,2.15
30-0.02-4c,4c-16f,138,2.18
30-0.02-4c,4c-16f,139,2.18
30-0.02-4c,4c-16f,140,2.26
30-0.02-4c,4c-16f,141,2.27
30-0.02-4c,4c-16f,142,2.28
30-0.02-4c,4c-16f,143,2.30
30-0.02-4c,4c-16f,144,2.30
30-0.02-4c,4c-16f,145,2.32
30-0.02-4c,4c-16f,146,2.32
30-0.02-4c,4c-16f,147,2.38
30-0.02-4c,4c-16f,148,2.41
30-0.02-4c,4c-16f,149,2.41
30-0.02-4c,4c-16f,150,2.43
30-0.02-4c,4c-16f,151,2.43
30-0.02-4c,4c-16f,152,2.51
30-0.02-4c,4c-16f,153,2.54
30-0.02-4c,4c-16f,154,2.57
30-0.02-4c,4c-16f,155,2.62
30-0.02-4c,4c-16f,156,2.63
30-0.02-4c,4c-16f,157,2.64
30-0.02-4c,4c-16f,158,2.64
30-0.02-4c,4c-16f,159,2.64
30-0.02-4c,4c-16f,160,2.65
30-0.02-4c,4c-16f,161,2.66
30-0.02-4c,4c-16f,162,2.67
30-0.02-4c,4c-16f,163,2.68
30-0.02-4c,4c-16f,164,2.76
30-0.02-4c,4c-16f,165,2.77
30-0.02-4c,4c-16f,166,2.77
30-0.02-4c,4c-16f,167,2.77
30-0.02-4c,4c-16f,168,2.78
30-0.02-4c,4c-16f,169,2.79
30-0.02-4c,4c-16f,170,2.79
30-0.02-4c,4c-16f,171,2.80
30-0.02-4c,4c-16f,172,2.81
30-0.02-4c,4c-16f,173,2.83
30-0.02-4c,4c-16f,174,2.84
30-0.02-4c,4c-16f,175,2.85
30-0.02-4c,4c-16f,176,2.90
30-0.02-4c,4c-16f,177,2.91
30-0.02-4c,4c-16f,178,2.92
30-0.02-4c,4c-16f,179,2.93
30-0.02-4c,4c-16f,180,2.93
30-0.02-4c,4c-16f,181,2.94
30-0.02-4c,4c-16f,182,2.94
30-0.02-4c,4c-16f,183,2.95
30-0.02-4c,4c-16f,184,2.96
30-0.02-4c,4c-16f,185,2.96
30-0.02-4c,4c-16f,186,2.97
30-0.02-4c,4c-16f,187,3.00
30-0.02-4c,4c-16f,188,3.00
30-0.02-4c,4c-16f,189,3.00
30-0.02-4c,4c-16f,190,3.01
30-0.02-4c,4c-16f,191,3.02
30-0.02-4c,4c-16f,192,3.04
30-0.02-4c,4c-16f,193,3.07
30-0.02-4c,4c-16f,194,3.09
30-0.02-4c,4c-16f,195,3.09
30-0.02-4c,4c-16f,196,3.10
30-0.02-4c,4c-16f,197,3.11
