test,approach,answer,time
30-0.02-1c,1c-2f,1,0.02
30-0.02-1c,1c-2f,2,0.02
30-0.02-1c,1c-2f,3,0.02
30-0.02-1c,1c-2f,4,0.02
30-0.02-1c,1c-2f,5,0.02
30-0.02-1c,1c-2f,6,0.03
30-0.02-1c,1c-2f,7,0.03
30-0.02-1c,1c-2f,8,0.07
30-0.02-1c,1c-2f,9,0.07
30-0.02-1c,1c-2f,10,0.08
30-0.02-1c,1c-2f,11,0.11
30-0.02-1c,1c-2f,12,0.11
30-0.02-1c,1c-2f,13,0.15
30-0.02-1c,1c-2f,14,0.15
30-0.02-1c,1c-2f,15,0.16
30-0.02-1c,1c-2f,16,0.16
30-0.02-1c,1c-2f,17,0.19
30-0.02-1c,1c-2f,18,0.21
30-0.02-1c,1c-2f,19,0.29
30-0.02-1c,1c-2f,20,0.31
30-0.02-1c,1c-2f,21,0.33
30-0.02-1c,1c-2f,22,0.38
30-0.02-1c,1c-2f,23,0.40
30-0.02-1c,1c-2f,24,0.40
30-0.02-1c,1c-2f,25,0.51
30-0.02-1c,1c-2f,26,0.54
30-0.02-1c,1c-2f,27,0.62
30-0.02-1c,1c-2f,28,0.65
30-0.02-1c,1c-2f,29,0.68
30-0.02-1c,1c-2f,30,0.69
30-0.02-1c,1c-2f,31,0.70
30-0.02-1c,1c-2f,32,0.71
30-0.02-1c,1c-2f,33,0.74
30-0.02-1c,1c-2f,34,0.75
30-0.02-1c,1c-2f,35,0.76
30-0.02-1c,1c-2f,36,0.77
30-0.02-1c,1c-2f,37,0.77
30-0.02-1c,1c-2f,38,0.78
30-0.02-1c,1c-2f,39,0.80
30-0.02-1c,1c-2f,40,0.85
30-0.02-1c,1c-2f,41,0.86
30-0.02-1c,1c-2f,42,1.00
30-0.02-1c,1c-2f,43,1.00
30-0.02-1c,1c-2f,44,1.01
30-0.02-1c,1c-2f,45,1.06
30-0.02-1c,1c-2f,46,1.06
30-0.02-1c,1c-2f,47,1.07
30-0.02-1c,1c-2f,48,1.07
30-0.02-1c,1c-2f,49,1.09
30-0.02-1c,1c-2f,50,1.13
30-0.02-1c,1c-2f,51,1.16
30-0.02-1c,1c-2f,52,1.21
30-0.02-1c,1c-2f,53,1.27
30-0.02-1c,1c-2f,54,1.33
30-0.02-1c,1c-2f,55,1.36
30-0.02-1c,1c-2f,56,1.40
30-0.02-1c,1c-2f,57,1.42
30-0.02-1c,1c-2f,58,1.45
30-0.02-1c,1c-2f,59,1.47
30-0.02-1c,1c-2f,60,1.57
30-0.02-1c,1c-2f,61,1.65
30-0.02-1c,1c-2f,62,1.67
30-0.02-1c,1c-2f,63,1.68
30-0.02-1c,1c-2f,64,1.68
30-0.02-1c,1c-2f,65,1.70
30-0.02-1c,1c-2f,66,1.79
30-0.02-1c,1c-2f,67,1.80
30-0.02-1c,1c-2f,68,1.80
30-0.02-1c,1c-2f,69,1.82
30-0.02-1c,1c-2f,70,1.82
30-0.02-1c,1c-2f,71,1.85
30-0.02-1c,1c-2f,72,1.99
30-0.02-1c,1c-2f,73,2.01
30-0.02-1c,1c-2f,74,2.02
30-0.02-1c,1c-2f,75,2.03
30-0.02-1c,1c-2f,76,2.08
30-0.02-1c,1c-2f,77,2.10
30-0.02-1c,1c-2f,78,2.14
30-0.02-1c,1c-2f,79,2.15
30-0.02-1c,1c-2f,80,2.19
30-0.02-1c,1c-2f,81,2.20
30-0.02-1c,1c-2f,82,2.27
30-0.02-1c,1c-2f,83,2.33
30-0.02-1c,1c-2f,84,2.34
30-0.02-1c,1c-2f,85,2.38
30-0.02-1c,1c-2f,86,2.38
30-0.02-1c,1c-2f,87,2.39
30-0.02-1c,1c-2f,88,2.42
30-0.02-1c,1c-2f,89,2.42
30-0.02-1c,1c-2f,90,2.62
30-0.02-1c,1c-2f,91,2.64
30-0.02-1c,1c-2f,92,2.69
30-0.02-1c,1c-2f,93,2.73
30-0.02-1c,1c-2f,94,2.77
30-0.02-1c,1c-2f,95,2.80
30-0.02-1c,1c-2f,96,2.90
30-0.02-1c,1c-2f,97,3.01
30-0.02-1c,1c-2f,98,3.03
30-0.02-1c,1c-2f,99,3.04
30-0.02-1c,1c-2f,100,3.07
30-0.02-1c,1c-2f,101,3.09
30-0.02-1c,1c-2f,102,3.15
30-0.02-1c,1c-2f,103,3.20
30-0.02-1c,1c-2f,104,3.24
30-0.02-1c,1c-2f,105,3.25
30-0.02-1c,1c-2f,106,3.31
30-0.02-1c,1c-2f,107,3.31
30-0.02-1c,1c-2f,108,3.31
30-0.02-1c,1c-2f,109,3.33
30-0.02-1c,1c-2f,110,3.37
30-0.02-1c,1c-2f,111,3.42
30-0.02-1c,1c-2f,112,3.43
30-0.02-1c,1c-2f,113,3.47
30-0.02-1c,1c-2f,114,3.48
30-0.02-1c,1c-2f,115,3.49
30-0.02-1c,1c-2f,116,3.58
30-0.02-1c,1c-2f,117,3.62
30-0.02-1c,1c-2f,118,3.69
30-0.02-1c,1c-2f,119,3.70
30-0.02-1c,1c-2f,120,3.72
30-0.02-1c,1c-2f,121,3.74
30-0.02-1c,1c-2f,122,3.90
30-0.02-1c,1c-2f,123,3.92
30-0.02-1c,1c-2f,124,3.99
30-0.02-1c,1c-2f,125,4.02
30-0.02-1c,1c-2f,126,4.02
30-0.02-1c,1c-2f,127,4.05
30-0.02-1c,1c-2f,128,4.06
30-0.02-1c,1c-2f,129,4.10
30-0.02-1c,1c-2f,130,4.14
30-0.02-1c,1c-2f,131,4.19
30-0.02-1c,1c-2f,132,4.20
30-0.02-1c,1c-2f,133,4.30
30-0.02-1c,1c-2f,134,4.34
30-0.02-1c,1c-2f,135,4.36
30-0.02-1c,1c-2f,136,4.36
30-0.02-1c,1c-2f,137,4.37
30-0.02-1c,1c-2f,138,4.40
30-0.02-1c,1c-2f,139,4.44
30-0.02-1c,1c-2f,140,4.44
30-0.02-1c,1c-2f,141,4.47
30-0.02-1c,1c-2f,142,4.49
30-0.02-1c,1c-2f,143,4.53
30-0.02-1c,1c-2f,144,4.54
30-0.02-1c,1c-2f,145,4.58
30-0.02-1c,1c-2f,146,4.60
30-0.02-1c,1c-2f,147,4.60
30-0.02-1c,1c-2f,148,4.61
30-0.02-1c,1c-2f,149,4.63
30-0.02-1c,1c-2f,150,4.65
30-0.02-1c,1c-2f,151,4.74
30-0.02-1c,1c-2f,152,4.75
30-0.02-1c,1c-2f,153,4.76
30-0.02-1c,1c-2f,154,4.82
30-0.02-1c,1c-2f,155,4.82
30-0.02-1c,1c-2f,156,4.85
30-0.02-1c,1c-2f,157,4.86
30-0.02-1c,1c-2f,158,4.87
30-0.02-1c,1c-2f,159,4.91
30-0.02-1c,1c-2f,160,4.92
30-0.02-1c,1c-2f,161,4.96
30-0.02-1c,1c-2f,162,4.98
30-0.02-1c,1c-2f,163,4.99
30-0.02-1c,1c-2f,164,5.00
30-0.02-1c,1c-2f,165,5.02
30-0.02-1c,1c-2f,166,5.06
30-0.02-1c,1c-2f,167,5.07
30-0.02-1c,1c-2f,168,5.16
30-0.02-1c,1c-2f,169,5.23
30-0.02-1c,1c-2f,170,5.23
30-0.02-1c,1c-2f,171,5.25
30-0.02-1c,1c-2f,172,5.27
30-0.02-1c,1c-2f,173,5.30
30-0.02-1c,1c-2f,174,5.31
30-0.02-1c,1c-2f,175,5.31
30-0.02-1c,1c-2f,176,5.43
30-0.02-1c,1c-2f,177,5.46
30-0.02-1c,1c-2f,178,5.47
30-0.02-1c,1c-2f,179,5.55
30-0.02-1c,1c-2f,180,5.56
30-0.02-1c,1c-2f,181,5.60
30-0.02-1c,1c-2f,182,5.64
30-0.02-1c,1c-2f,183,5.67
30-0.02-1c,1c-2f,184,5.69
30-0.02-1c,1c-2f,185,5.70
30-0.02-1c,1c-2f,186,5.70
30-0.02-1c,1c-2f,187,5.71
30-0.02-1c,1c-2f,188,5.73
30-0.02-1c,1c-2f,189,5.73
30-0.02-1c,1c-2f,190,5.73
30-0.02-1c,1c-2f,191,5.79
30-0.02-1c,1c-2f,192,5.80
30-0.02-1c,1c-2f,193,5.83
30-0.02-1c,1c-2f,194,5.84
30-0.02-1c,1c-2f,195,5.85
30-0.02-1c,1c-2f,196,5.90
30-0.02-1c,1c-2f,197,5.90
30-0.02-1c,1c-2f,198,5.97
30-0.02-1c,1c-2f,199,5.97
30-0.02-1c,1c-2f,200,6.01
30-0.02-1c,1c-2f,201,6.07
30-0.02-1c,1c-2f,202,6.14
30-0.02-1c,1c-2f,203,6.15
30-0.02-1c,1c-2f,204,6.16
30-0.02-1c,1c-2f,205,6.17
30-0.02-1c,1c-2f,206,6.20
30-0.02-1c,1c-2f,207,6.21
30-0.02-1c,1c-2f,208,6.25
