test,approach,answer,time
30-0.02-1c,1c-8f,1,0.01
30-0.02-1c,1c-8f,2,0.02
30-0.02-1c,1c-8f,3,0.02
30-0.02-1c,1c-8f,4,0.02
30-0.02-1c,1c-8f,5,0.03
30-0.02-1c,1c-8f,6,0.03
30-0.02-1c,1c-8f,7,0.03
30-0.02-1c,1c-8f,8,0.03
30-0.02-1c,1c-8f,9,0.03
30-0.02-1c,1c-8f,10,0.04
30-0.02-1c,1c-8f,11,0.04
30-0.02-1c,1c-8f,12,0.04
30-0.02-1c,1c-8f,13,0.05
30-0.02-1c,1c-8f,14,0.05
30-0.02-1c,1c-8f,15,0.09
30-0.02-1c,1c-8f,16,0.12
30-0.02-1c,1c-8f,17,0.23
30-0.02-1c,1c-8f,18,0.25
30-0.02-1c,1c-8f,19,0.29
30-0.02-1c,1c-8f,20,0.3
30-0.02-1c,1c-8f,21,0.3
30-0.02-1c,1c-8f,22,0.32
30-0.02-1c,1c-8f,23,0.33
30-0.02-1c,1c-8f,24,0.33
30-0.02-1c,1c-8f,25,0.34
30-0.02-1c,1c-8f,26,0.35
30-0.02-1c,1c-8f,27,0.37
30-0.02-1c,1c-8f,28,0.38
30-0.02-1c,1c-8f,29,0.43
30-0.02-1c,1c-8f,30,0.43
30-0.02-1c,1c-8f,31,0.44
30-0.02-1c,1c-8f,32,0.48
30-0.02-1c,1c-8f,33,0.49
30-0.02-1c,1c-8f,34,0.5
30-0.02-1c,1c-8f,35,0.5
30-0.02-1c,1c-8f,36,0.51
30-0.02-1c,1c-8f,37,0.52
30-0.02-1c,1c-8f,38,0.54
30-0.02-1c,1c-8f,39,0.55
30-0.02-1c,1c-8f,40,0.56
30-0.02-1c,1c-8f,41,0.62
30-0.02-1c,1c-8f,42,0.62
30-0.02-1c,1c-8f,43,0.62
30-0.02-1c,1c-8f,44,0.64
30-0.02-1c,1c-8f,45,0.68
30-0.02-1c,1c-8f,46,0.69
30-0.02-1c,1c-8f,47,0.76
30-0.02-1c,1c-8f,48,0.76
30-0.02-1c,1c-8f,49,0.8
30-0.02-1c,1c-8f,50,0.82
30-0.02-1c,1c-8f,51,0.89
30-0.02-1c,1c-8f,52,0.9
30-0.02-1c,1c-8f,53,1.04
30-0.02-1c,1c-8f,54,1.04
30-0.02-1c,1c-8f,55,1.06
30-0.02-1c,1c-8f,56,1.08
30-0.02-1c,1c-8f,57,1.09
30-0.02-1c,1c-8f,58,1.11
30-0.02-1c,1c-8f,59,1.12
30-0.02-1c,1c-8f,60,1.13
30-0.02-1c,1c-8f,61,1.14
30-0.02-1c,1c-8f,62,1.15
30-0.02-1c,1c-8f,63,1.17
30-0.02-1c,1c-8f,64,1.18
