test,approach,answer,time
30-0.02-16c,16c-5f,1,0.03
30-0.02-16c,16c-5f,2,0.04
30-0.02-16c,16c-5f,3,0.05
30-0.02-16c,16c-5f,4,0.05
30-0.02-16c,16c-5f,5,0.06
30-0.02-16c,16c-5f,6,0.08
30-0.02-16c,16c-5f,7,0.08
30-0.02-16c,16c-5f,8,0.09
30-0.02-16c,16c-5f,9,0.11
30-0.02-16c,16c-5f,10,0.17
30-0.02-16c,16c-5f,11,0.18
30-0.02-16c,16c-5f,12,0.21
30-0.02-16c,16c-5f,13,0.23
30-0.02-16c,16c-5f,14,0.31
30-0.02-16c,16c-5f,15,0.33
30-0.02-16c,16c-5f,16,0.52
30-0.02-16c,16c-5f,17,0.52
30-0.02-16c,16c-5f,18,0.57
30-0.02-16c,16c-5f,19,0.59
30-0.02-16c,16c-5f,20,0.62
30-0.02-16c,16c-5f,21,0.93
30-0.02-16c,16c-5f,22,1.06
30-0.02-16c,16c-5f,23,1.16
30-0.02-16c,16c-5f,24,1.23
30-0.02-16c,16c-5f,25,1.24
30-0.02-16c,16c-5f,26,1.29
30-0.02-16c,16c-5f,27,1.31
30-0.02-16c,16c-5f,28,1.32
30-0.02-16c,16c-5f,29,1.35
30-0.02-16c,16c-5f,30,1.38
30-0.02-16c,16c-5f,31,1.41
30-0.02-16c,16c-5f,32,1.44
30-0.02-16c,16c-5f,33,1.49
30-0.02-16c,16c-5f,34,1.51
30-0.02-16c,16c-5f,35,1.57
30-0.02-16c,16c-5f,36,1.7
30-0.02-16c,16c-5f,37,2.01
30-0.02-16c,16c-5f,38,2.03
30-0.02-16c,16c-5f,39,2.09
30-0.02-16c,16c-5f,40,2.12
30-0.02-16c,16c-5f,41,2.14
30-0.02-16c,16c-5f,42,2.15
30-0.02-16c,16c-5f,43,2.24
30-0.02-16c,16c-5f,44,2.34
30-0.02-16c,16c-5f,45,2.47
30-0.02-16c,16c-5f,46,2.65
30-0.02-16c,16c-5f,47,2.67
30-0.02-16c,16c-5f,48,2.7
30-0.02-16c,16c-5f,49,2.86
30-0.02-16c,16c-5f,50,2.96
30-0.02-16c,16c-5f,51,3.08
30-0.02-16c,16c-5f,52,3.24
30-0.02-16c,16c-5f,53,3.5
30-0.02-16c,16c-5f,54,3.58
30-0.02-16c,16c-5f,55,3.71
30-0.02-16c,16c-5f,56,3.73
30-0.02-16c,16c-5f,57,3.74
30-0.02-16c,16c-5f,58,3.76
30-0.02-16c,16c-5f,59,3.77
30-0.02-16c,16c-5f,60,3.79
30-0.02-16c,16c-5f,61,3.8
30-0.02-16c,16c-5f,62,3.9
30-0.02-16c,16c-5f,63,3.93
30-0.02-16c,16c-5f,64,4.01
30-0.02-16c,16c-5f,65,4.02
30-0.02-16c,16c-5f,66,4.16
30-0.02-16c,16c-5f,67,4.22
30-0.02-16c,16c-5f,68,4.29
30-0.02-16c,16c-5f,69,4.32
30-0.02-16c,16c-5f,70,4.47
30-0.02-16c,16c-5f,71,4.5
30-0.02-16c,16c-5f,72,4.52
30-0.02-16c,16c-5f,73,4.58
30-0.02-16c,16c-5f,74,4.72
30-0.02-16c,16c-5f,75,4.79
30-0.02-16c,16c-5f,76,4.84
30-0.02-16c,16c-5f,77,4.9
30-0.02-16c,16c-5f,78,5.13
30-0.02-16c,16c-5f,79,5.6
30-0.02-16c,16c-5f,80,5.63
30-0.02-16c,16c-5f,81,5.65
30-0.02-16c,16c-5f,82,5.74
30-0.02-16c,16c-5f,83,5.77
30-0.02-16c,16c-5f,84,5.96
30-0.02-16c,16c-5f,85,6.21
30-0.02-16c,16c-5f,86,6.32
30-0.02-16c,16c-5f,87,6.35
30-0.02-16c,16c-5f,88,6.4
30-0.02-16c,16c-5f,89,6.45
30-0.02-16c,16c-5f,90,6.48
30-0.02-16c,16c-5f,91,6.54
30-0.02-16c,16c-5f,92,6.57
30-0.02-16c,16c-5f,93,6.61
30-0.02-16c,16c-5f,94,6.64
30-0.02-16c,16c-5f,95,6.69
30-0.02-16c,16c-5f,96,6.72
30-0.02-16c,16c-5f,97,6.87
30-0.02-16c,16c-5f,98,6.89
30-0.02-16c,16c-5f,99,7.18
30-0.02-16c,16c-5f,100,7.2
30-0.02-16c,16c-5f,101,7.38
30-0.02-16c,16c-5f,102,7.62
30-0.02-16c,16c-5f,103,7.84
30-0.02-16c,16c-5f,104,8.02
30-0.02-16c,16c-5f,105,8.05
30-0.02-16c,16c-5f,106,8.08
30-0.02-16c,16c-5f,107,8.45
30-0.02-16c,16c-5f,108,8.52
30-0.02-16c,16c-5f,109,8.56
30-0.02-16c,16c-5f,110,8.64
30-0.02-16c,16c-5f,111,8.67
30-0.02-16c,16c-5f,112,8.72
30-0.02-16c,16c-5f,113,8.76
30-0.02-16c,16c-5f,114,8.88
30-0.02-16c,16c-5f,115,8.95
30-0.02-16c,16c-5f,116,9.01
30-0.02-16c,16c-5f,117,9.18
30-0.02-16c,16c-5f,118,9.28
30-0.02-16c,16c-5f,119,9.38
30-0.02-16c,16c-5f,120,9.41
30-0.02-16c,16c-5f,121,9.44
30-0.02-16c,16c-5f,122,9.46
30-0.02-16c,16c-5f,123,9.52
30-0.02-16c,16c-5f,124,9.81
30-0.02-16c,16c-5f,125,9.96
30-0.02-16c,16c-5f,126,10.01
30-0.02-16c,16c-5f,127,10.08
30-0.02-16c,16c-5f,128,10.22
30-0.02-16c,16c-5f,129,10.29
30-0.02-16c,16c-5f,130,10.33
30-0.02-16c,16c-5f,131,10.49
30-0.02-16c,16c-5f,132,10.56
30-0.02-16c,16c-5f,133,10.73
30-0.02-16c,16c-5f,134,10.81
30-0.02-16c,16c-5f,135,10.82
30-0.02-16c,16c-5f,136,10.86
30-0.02-16c,16c-5f,137,10.99
30-0.02-16c,16c-5f,138,11.05
30-0.02-16c,16c-5f,139,11.24
30-0.02-16c,16c-5f,140,11.29
30-0.02-16c,16c-5f,141,11.32
30-0.02-16c,16c-5f,142,11.6
30-0.02-16c,16c-5f,143,11.86
30-0.02-16c,16c-5f,144,12.02
30-0.02-16c,16c-5f,145,12.03
30-0.02-16c,16c-5f,146,12.07
30-0.02-16c,16c-5f,147,12.1
30-0.02-16c,16c-5f,148,12.14
30-0.02-16c,16c-5f,149,12.18
30-0.02-16c,16c-5f,150,12.27
30-0.02-16c,16c-5f,151,12.32
30-0.02-16c,16c-5f,152,12.42
30-0.02-16c,16c-5f,153,12.58
30-0.02-16c,16c-5f,154,12.61
30-0.02-16c,16c-5f,155,12.68
30-0.02-16c,16c-5f,156,12.72
30-0.02-16c,16c-5f,157,12.81
30-0.02-16c,16c-5f,158,12.84
30-0.02-16c,16c-5f,159,12.91
30-0.02-16c,16c-5f,160,12.95
30-0.02-16c,16c-5f,161,12.98
30-0.02-16c,16c-5f,162,13.01
30-0.02-16c,16c-5f,163,13.17
30-0.02-16c,16c-5f,164,13.32
30-0.02-16c,16c-5f,165,13.41
30-0.02-16c,16c-5f,166,13.49
30-0.02-16c,16c-5f,167,13.51
30-0.02-16c,16c-5f,168,13.54
30-0.02-16c,16c-5f,169,13.58
30-0.02-16c,16c-5f,170,13.77
30-0.02-16c,16c-5f,171,13.85
30-0.02-16c,16c-5f,172,13.89
30-0.02-16c,16c-5f,173,13.96
30-0.02-16c,16c-5f,174,14.02
30-0.02-16c,16c-5f,175,14.05
30-0.02-16c,16c-5f,176,14.1
30-0.02-16c,16c-5f,177,14.13
30-0.02-16c,16c-5f,178,14.17
30-0.02-16c,16c-5f,179,14.21
30-0.02-16c,16c-5f,180,14.32
30-0.02-16c,16c-5f,181,14.36
30-0.02-16c,16c-5f,182,14.39
30-0.02-16c,16c-5f,183,14.42
30-0.02-16c,16c-5f,184,14.46
30-0.02-16c,16c-5f,185,14.49
30-0.02-16c,16c-5f,186,14.53
30-0.02-16c,16c-5f,187,14.56
30-0.02-16c,16c-5f,188,14.6
30-0.02-16c,16c-5f,189,14.62
30-0.02-16c,16c-5f,190,14.66
30-0.02-16c,16c-5f,191,14.69
30-0.02-16c,16c-5f,192,14.72
30-0.02-16c,16c-5f,193,14.74
30-0.02-16c,16c-5f,194,14.78
30-0.02-16c,16c-5f,195,14.87
30-0.02-16c,16c-5f,196,14.93
30-0.02-16c,16c-5f,197,15.11
30-0.02-16c,16c-5f,198,15.39
30-0.02-16c,16c-5f,199,15.44
30-0.02-16c,16c-5f,200,15.45
30-0.02-16c,16c-5f,201,15.49
30-0.02-16c,16c-5f,202,15.57
30-0.02-16c,16c-5f,203,15.8
30-0.02-16c,16c-5f,204,15.84
30-0.02-16c,16c-5f,205,15.86
30-0.02-16c,16c-5f,206,15.92
30-0.02-16c,16c-5f,207,15.98
30-0.02-16c,16c-5f,208,16.02
30-0.02-16c,16c-5f,209,16.07
30-0.02-16c,16c-5f,210,16.22
30-0.02-16c,16c-5f,211,16.24
30-0.02-16c,16c-5f,212,16.27
30-0.02-16c,16c-5f,213,16.28
30-0.02-16c,16c-5f,214,16.3
30-0.02-16c,16c-5f,215,16.34
30-0.02-16c,16c-5f,216,16.38
30-0.02-16c,16c-5f,217,16.74
30-0.02-16c,16c-5f,218,16.83
30-0.02-16c,16c-5f,219,16.88
30-0.02-16c,16c-5f,220,16.92
30-0.02-16c,16c-5f,221,16.97
30-0.02-16c,16c-5f,222,17.06
30-0.02-16c,16c-5f,223,17.14
30-0.02-16c,16c-5f,224,17.18
30-0.02-16c,16c-5f,225,17.23
30-0.02-16c,16c-5f,226,17.3
30-0.02-16c,16c-5f,227,17.39
30-0.02-16c,16c-5f,228,17.53
30-0.02-16c,16c-5f,229,17.57
30-0.02-16c,16c-5f,230,17.59
30-0.02-16c,16c-5f,231,17.62
30-0.02-16c,16c-5f,232,17.67
30-0.02-16c,16c-5f,233,17.71
30-0.02-16c,16c-5f,234,17.84
30-0.02-16c,16c-5f,235,17.88
30-0.02-16c,16c-5f,236,17.92
30-0.02-16c,16c-5f,237,17.98
30-0.02-16c,16c-5f,238,18.04
30-0.02-16c,16c-5f,239,18.09
30-0.02-16c,16c-5f,240,18.32
30-0.02-16c,16c-5f,241,18.35
30-0.02-16c,16c-5f,242,18.37
30-0.02-16c,16c-5f,243,18.4
30-0.02-16c,16c-5f,244,18.42
30-0.02-16c,16c-5f,245,18.46
30-0.02-16c,16c-5f,246,18.8
30-0.02-16c,16c-5f,247,18.93
30-0.02-16c,16c-5f,248,18.98
30-0.02-16c,16c-5f,249,19.05
30-0.02-16c,16c-5f,250,19.18
30-0.02-16c,16c-5f,251,19.23
30-0.02-16c,16c-5f,252,19.28
30-0.02-16c,16c-5f,253,19.31
30-0.02-16c,16c-5f,254,19.36
30-0.02-16c,16c-5f,255,19.37
30-0.02-16c,16c-5f,256,19.42
30-0.02-16c,16c-5f,257,19.46
30-0.02-16c,16c-5f,258,19.65
30-0.02-16c,16c-5f,259,19.9
30-0.02-16c,16c-5f,260,19.96
30-0.02-16c,16c-5f,261,20.09
30-0.02-16c,16c-5f,262,20.4
30-0.02-16c,16c-5f,263,20.55
30-0.02-16c,16c-5f,264,20.6
30-0.02-16c,16c-5f,265,20.74
30-0.02-16c,16c-5f,266,20.77
30-0.02-16c,16c-5f,267,20.81
30-0.02-16c,16c-5f,268,21.14
30-0.02-16c,16c-5f,269,21.23
30-0.02-16c,16c-5f,270,21.27
30-0.02-16c,16c-5f,271,21.33
30-0.02-16c,16c-5f,272,21.38
30-0.02-16c,16c-5f,273,21.48
30-0.02-16c,16c-5f,274,21.53
30-0.02-16c,16c-5f,275,21.62
30-0.02-16c,16c-5f,276,21.76
30-0.02-16c,16c-5f,277,21.93
30-0.02-16c,16c-5f,278,21.97
30-0.02-16c,16c-5f,279,21.99
30-0.02-16c,16c-5f,280,22.14
30-0.02-16c,16c-5f,281,22.18
30-0.02-16c,16c-5f,282,22.26
30-0.02-16c,16c-5f,283,22.3
30-0.02-16c,16c-5f,284,22.37
30-0.02-16c,16c-5f,285,22.43
30-0.02-16c,16c-5f,286,22.61
30-0.02-16c,16c-5f,287,22.68
30-0.02-16c,16c-5f,288,22.71
30-0.02-16c,16c-5f,289,22.87
30-0.02-16c,16c-5f,290,22.9
30-0.02-16c,16c-5f,291,22.98
30-0.02-16c,16c-5f,292,23.0
30-0.02-16c,16c-5f,293,23.06
30-0.02-16c,16c-5f,294,23.12
30-0.02-16c,16c-5f,295,23.16
30-0.02-16c,16c-5f,296,23.22
30-0.02-16c,16c-5f,297,23.26
30-0.02-16c,16c-5f,298,23.3
30-0.02-16c,16c-5f,299,23.36
30-0.02-16c,16c-5f,300,23.41
30-0.02-16c,16c-5f,301,23.45
30-0.02-16c,16c-5f,302,23.48
30-0.02-16c,16c-5f,303,23.56
30-0.02-16c,16c-5f,304,23.59
30-0.02-16c,16c-5f,305,23.62
30-0.02-16c,16c-5f,306,23.64
30-0.02-16c,16c-5f,307,23.68
30-0.02-16c,16c-5f,308,23.71
30-0.02-16c,16c-5f,309,23.75
30-0.02-16c,16c-5f,310,23.94
30-0.02-16c,16c-5f,311,24.2
30-0.02-16c,16c-5f,312,24.32
30-0.02-16c,16c-5f,313,24.35
30-0.02-16c,16c-5f,314,24.39
30-0.02-16c,16c-5f,315,24.42
30-0.02-16c,16c-5f,316,24.47
30-0.02-16c,16c-5f,317,24.49
30-0.02-16c,16c-5f,318,24.56
30-0.02-16c,16c-5f,319,24.59
30-0.02-16c,16c-5f,320,24.62
30-0.02-16c,16c-5f,321,24.65
30-0.02-16c,16c-5f,322,24.7
30-0.02-16c,16c-5f,323,24.74
30-0.02-16c,16c-5f,324,24.89
30-0.02-16c,16c-5f,325,25.01
30-0.02-16c,16c-5f,326,25.11
30-0.02-16c,16c-5f,327,25.16
30-0.02-16c,16c-5f,328,25.21
30-0.02-16c,16c-5f,329,25.25
30-0.02-16c,16c-5f,330,25.3
30-0.02-16c,16c-5f,331,25.38
30-0.02-16c,16c-5f,332,25.46
30-0.02-16c,16c-5f,333,25.67
30-0.02-16c,16c-5f,334,25.78
30-0.02-16c,16c-5f,335,26.06
30-0.02-16c,16c-5f,336,26.14
30-0.02-16c,16c-5f,337,26.15
30-0.02-16c,16c-5f,338,26.18
30-0.02-16c,16c-5f,339,26.29
30-0.02-16c,16c-5f,340,26.49
30-0.02-16c,16c-5f,341,26.52
30-0.02-16c,16c-5f,342,26.6
30-0.02-16c,16c-5f,343,26.66
30-0.02-16c,16c-5f,344,26.73
30-0.02-16c,16c-5f,345,26.77
30-0.02-16c,16c-5f,346,26.94
30-0.02-16c,16c-5f,347,26.99
30-0.02-16c,16c-5f,348,27.05
30-0.02-16c,16c-5f,349,27.14
30-0.02-16c,16c-5f,350,27.26
30-0.02-16c,16c-5f,351,27.28
30-0.02-16c,16c-5f,352,27.33
30-0.02-16c,16c-5f,353,27.35
30-0.02-16c,16c-5f,354,27.55
30-0.02-16c,16c-5f,355,27.79
30-0.02-16c,16c-5f,356,27.81
30-0.02-16c,16c-5f,357,27.83
30-0.02-16c,16c-5f,358,27.86
30-0.02-16c,16c-5f,359,27.9
30-0.02-16c,16c-5f,360,28.06
30-0.02-16c,16c-5f,361,28.11
30-0.02-16c,16c-5f,362,28.16
30-0.02-16c,16c-5f,363,28.19
30-0.02-16c,16c-5f,364,28.26
30-0.02-16c,16c-5f,365,28.57
30-0.02-16c,16c-5f,366,28.6
30-0.02-16c,16c-5f,367,28.63
30-0.02-16c,16c-5f,368,28.66
30-0.02-16c,16c-5f,369,28.7
30-0.02-16c,16c-5f,370,28.91
30-0.02-16c,16c-5f,371,28.99
30-0.02-16c,16c-5f,372,29.05
30-0.02-16c,16c-5f,373,29.21
30-0.02-16c,16c-5f,374,29.3
30-0.02-16c,16c-5f,375,29.35
30-0.02-16c,16c-5f,376,29.45
30-0.02-16c,16c-5f,377,29.53
30-0.02-16c,16c-5f,378,29.61
30-0.02-16c,16c-5f,379,29.7
30-0.02-16c,16c-5f,380,29.86
30-0.02-16c,16c-5f,381,29.98
30-0.02-16c,16c-5f,382,30.01
30-0.02-16c,16c-5f,383,30.06
30-0.02-16c,16c-5f,384,30.12
30-0.02-16c,16c-5f,385,30.16
30-0.02-16c,16c-5f,386,30.17
30-0.02-16c,16c-5f,387,30.27
30-0.02-16c,16c-5f,388,30.48
30-0.02-16c,16c-5f,389,30.52
30-0.02-16c,16c-5f,390,30.56
30-0.02-16c,16c-5f,391,30.58
30-0.02-16c,16c-5f,392,30.72
30-0.02-16c,16c-5f,393,30.78
30-0.02-16c,16c-5f,394,30.86
30-0.02-16c,16c-5f,395,30.89
30-0.02-16c,16c-5f,396,30.92
30-0.02-16c,16c-5f,397,30.96
30-0.02-16c,16c-5f,398,31.09
30-0.02-16c,16c-5f,399,31.15
30-0.02-16c,16c-5f,400,31.28
30-0.02-16c,16c-5f,401,31.43
30-0.02-16c,16c-5f,402,31.53
30-0.02-16c,16c-5f,403,31.71
30-0.02-16c,16c-5f,404,31.9
30-0.02-16c,16c-5f,405,31.95
30-0.02-16c,16c-5f,406,32.01
30-0.02-16c,16c-5f,407,32.04
30-0.02-16c,16c-5f,408,32.09
30-0.02-16c,16c-5f,409,32.13
30-0.02-16c,16c-5f,410,32.29
30-0.02-16c,16c-5f,411,32.32
30-0.02-16c,16c-5f,412,32.4
30-0.02-16c,16c-5f,413,32.51
30-0.02-16c,16c-5f,414,32.79
30-0.02-16c,16c-5f,415,33.11
30-0.02-16c,16c-5f,416,33.28
30-0.02-16c,16c-5f,417,33.42
30-0.02-16c,16c-5f,418,33.58
30-0.02-16c,16c-5f,419,33.74
30-0.02-16c,16c-5f,420,33.79
30-0.02-16c,16c-5f,421,33.88
30-0.02-16c,16c-5f,422,33.95
30-0.02-16c,16c-5f,423,33.96
30-0.02-16c,16c-5f,424,34.0
30-0.02-16c,16c-5f,425,34.05
30-0.02-16c,16c-5f,426,34.1
30-0.02-16c,16c-5f,427,34.19
30-0.02-16c,16c-5f,428,34.28
30-0.02-16c,16c-5f,429,34.4
30-0.02-16c,16c-5f,430,34.6
30-0.02-16c,16c-5f,431,34.67
30-0.02-16c,16c-5f,432,34.71
30-0.02-16c,16c-5f,433,34.75
30-0.02-16c,16c-5f,434,34.78
30-0.02-16c,16c-5f,435,34.91
30-0.02-16c,16c-5f,436,35.03
30-0.02-16c,16c-5f,437,35.06
30-0.02-16c,16c-5f,438,35.11
30-0.02-16c,16c-5f,439,35.16
30-0.02-16c,16c-5f,440,35.34
30-0.02-16c,16c-5f,441,35.43
30-0.02-16c,16c-5f,442,35.5
30-0.02-16c,16c-5f,443,35.86
30-0.02-16c,16c-5f,444,35.96
30-0.02-16c,16c-5f,445,36.44
30-0.02-16c,16c-5f,446,36.58
30-0.02-16c,16c-5f,447,36.64
30-0.02-16c,16c-5f,448,36.65
30-0.02-16c,16c-5f,449,36.88
30-0.02-16c,16c-5f,450,37.34
30-0.02-16c,16c-5f,451,37.43
30-0.02-16c,16c-5f,452,37.72
30-0.02-16c,16c-5f,453,37.82
30-0.02-16c,16c-5f,454,38.1
30-0.02-16c,16c-5f,455,38.19
30-0.02-16c,16c-5f,456,38.23
30-0.02-16c,16c-5f,457,38.47
30-0.02-16c,16c-5f,458,38.79
30-0.02-16c,16c-5f,459,39.06
30-0.02-16c,16c-5f,460,41.16
30-0.02-16c,16c-5f,461,41.24
30-0.02-16c,16c-5f,462,41.98
30-0.02-16c,16c-10f,1,0.03
30-0.02-16c,16c-10f,2,0.04
