test,approach,answer,time,responseTime
30-0.02-8c,8c-10f,1,0.01,6073258.0
30-0.02-8c,8c-10f,2,0.02,13433117.5
30-0.02-8c,8c-10f,3,0.02,9666209.0
30-0.02-8c,8c-10f,4,0.02,17235178.5
30-0.02-8c,8c-10f,5,0.02,23425192.0
30-0.02-8c,8c-10f,6,0.03,27681424.0
30-0.02-8c,8c-10f,7,0.04,8991474.0
30-0.02-8c,8c-10f,8,0.04,9224560.0
30-0.02-8c,8c-10f,9,0.04,22433049.5
30-0.02-8c,8c-10f,10,0.04,29018387.5
30-0.02-8c,8c-10f,11,0.04,27341700.0
30-0.02-8c,8c-10f,12,0.04,36270810.0
30-0.02-8c,8c-10f,13,0.04,31552577.0
30-0.02-8c,8c-10f,14,0.06,51111785.5
30-0.02-8c,8c-10f,15,0.06,43224346.5
30-0.02-8c,8c-10f,16,0.12,106394889.5
30-0.02-8c,8c-10f,17,0.26,242127550.0
30-0.02-8c,8c-10f,18,0.28,261080943.5
30-0.02-8c,8c-10f,19,0.29,261361272.0
30-0.02-8c,8c-10f,20,0.29,266705288.5
30-0.02-8c,8c-10f,21,0.3,281407004.0
30-0.02-8c,8c-10f,22,0.36,333363418.5
30-0.02-8c,8c-10f,23,0.38,339539203.0
30-0.02-8c,8c-10f,24,0.39,360911983.0
30-0.02-8c,8c-10f,25,0.4,351762463.5
30-0.02-8c,8c-10f,26,0.4,354453492.5
30-0.02-8c,8c-10f,27,0.43,377508186.0
30-0.02-8c,8c-10f,28,0.44,407666632.0
30-0.02-8c,8c-10f,29,0.45,430299791.5
30-0.02-8c,8c-10f,30,0.46,427724460.0
30-0.02-8c,8c-10f,31,0.48,439029370.5
30-0.02-8c,8c-10f,32,0.48,451124814.5
30-0.02-8c,8c-10f,33,0.48,454412149.5
30-0.02-8c,8c-10f,34,0.49,461984449.0
30-0.02-8c,8c-10f,35,0.54,507287637.0
30-0.02-8c,8c-10f,36,0.54,511147232.5
30-0.02-8c,8c-10f,37,0.55,529036229.0
30-0.02-8c,8c-10f,38,0.57,546283563.5
30-0.02-8c,8c-10f,39,0.6,553703646.5
30-0.02-8c,8c-10f,40,0.62,580469127.5
30-0.02-8c,8c-10f,41,0.66,605554278.5
30-0.02-8c,8c-10f,42,0.66,591082623.5
30-0.02-8c,8c-10f,43,0.66,606428766.5
30-0.02-8c,8c-10f,44,0.67,632940699.5
30-0.02-8c,8c-10f,45,0.68,647627221.0
30-0.02-8c,8c-10f,46,0.7,659143879.5
30-0.02-8c,8c-10f,47,0.74,711174204.0
30-0.02-8c,8c-10f,48,0.76,726032824.0
30-0.02-8c,8c-10f,49,0.8,733251093.0
30-0.02-8c,8c-10f,50,0.9,827295177.5
30-0.02-8c,8c-10f,51,0.94,888328624.5
30-0.02-8c,8c-10f,52,0.96,909076121.5
30-0.02-8c,8c-10f,53,1.04,969873437.0
30-0.02-8c,8c-10f,54,1.08,983836176.0
30-0.02-8c,8c-10f,55,1.14,1088710488.0
30-0.02-8c,8c-10f,56,1.17,1110599599.0
30-0.02-8c,8c-10f,57,1.18,1125285643.5
30-0.02-8c,8c-10f,58,1.19,1113148761.0
30-0.02-8c,8c-10f,59,1.2,1131353448.5
30-0.02-8c,8c-10f,60,1.2,1139634297.0
30-0.02-8c,8c-10f,61,1.23,1150522631.5
30-0.02-8c,8c-10f,62,1.23,1119301398.0
30-0.02-8c,8c-10f,63,1.24,1185112799.0
30-0.02-8c,8c-10f,64,1.26,1203886645.0
30-0.02-8c,8c-10f,65,1.26,1147176628.5
30-0.02-8c,8c-10f,66,1.27,1198274022.5
30-0.02-8c,8c-10f,67,1.27,1213510520.5
30-0.02-8c,8c-10f,68,1.28,1233447727.0
30-0.02-8c,8c-10f,69,1.3,1238357325.5
30-0.02-8c,8c-10f,70,1.3,1228702514.5
30-0.02-8c,8c-10f,71,1.3,1237943217.5
30-0.02-8c,8c-10f,72,1.3,1234950382.5
30-0.02-8c,8c-10f,73,1.32,1229975425.5
30-0.02-8c,8c-10f,74,1.33,1242861603.5
30-0.02-8c,8c-10f,75,1.42,1352103230.5
30-0.02-8c,8c-10f,76,1.44,1387894723.5
30-0.02-8c,8c-10f,77,1.48,1400835312.0
30-0.02-8c,8c-10f,78,1.48,1306602099.0
30-0.02-8c,8c-10f,79,1.54,1470870838.0
30-0.02-8c,8c-10f,80,1.58,1507176843.0
