test,approach,answer,time
30-0.02-16c,16c-2f,1,0.05
30-0.02-16c,16c-2f,2,0.06
30-0.02-16c,16c-2f,3,0.07
30-0.02-16c,16c-2f,4,0.07
30-0.02-16c,16c-2f,5,0.08
30-0.02-16c,16c-2f,6,0.09
30-0.02-16c,16c-2f,7,0.1
30-0.02-16c,16c-2f,8,0.31
30-0.02-16c,16c-2f,9,0.32
30-0.02-16c,16c-2f,10,0.4
30-0.02-16c,16c-2f,11,0.64
30-0.02-16c,16c-2f,12,0.72
30-0.02-16c,16c-2f,13,0.96
30-0.02-16c,16c-2f,14,0.99
30-0.02-16c,16c-2f,15,1.05
30-0.02-16c,16c-2f,16,1.08
30-0.02-16c,16c-2f,17,1.33
30-0.02-16c,16c-2f,18,1.46
30-0.02-16c,16c-2f,19,1.89
30-0.02-16c,16c-2f,20,2.06
30-0.02-16c,16c-2f,21,2.18
30-0.02-16c,16c-2f,22,2.43
30-0.02-16c,16c-2f,23,2.5
30-0.02-16c,16c-2f,24,2.56
30-0.02-16c,16c-2f,25,3.21
30-0.02-16c,16c-2f,26,3.36
30-0.02-16c,16c-2f,27,3.88
30-0.02-16c,16c-2f,28,4.11
30-0.02-16c,16c-2f,29,4.31
30-0.02-16c,16c-2f,30,4.36
30-0.02-16c,16c-2f,31,4.41
30-0.02-16c,16c-2f,32,4.45
30-0.02-16c,16c-2f,33,4.62
30-0.02-16c,16c-2f,34,4.71
30-0.02-16c,16c-2f,35,4.74
30-0.02-16c,16c-2f,36,4.8
30-0.02-16c,16c-2f,37,4.84
30-0.02-16c,16c-2f,38,4.88
30-0.02-16c,16c-2f,39,5.03
30-0.02-16c,16c-2f,40,5.23
30-0.02-16c,16c-2f,41,5.42
30-0.02-16c,16c-2f,42,6.33
30-0.02-16c,16c-2f,43,6.39
30-0.02-16c,16c-2f,44,6.4
30-0.02-16c,16c-2f,45,6.7
30-0.02-16c,16c-2f,46,6.75
30-0.02-16c,16c-2f,47,6.81
30-0.02-16c,16c-2f,48,6.84
30-0.02-16c,16c-2f,49,6.99
30-0.02-16c,16c-2f,50,7.31
30-0.02-16c,16c-2f,51,7.51
30-0.02-16c,16c-2f,52,7.95
30-0.02-16c,16c-2f,53,8.52
30-0.02-16c,16c-2f,54,8.99
30-0.02-16c,16c-2f,55,9.15
30-0.02-16c,16c-2f,56,9.63
30-0.02-16c,16c-2f,57,9.73
30-0.02-16c,16c-2f,58,9.91
30-0.02-16c,16c-2f,59,10.15
30-0.02-16c,16c-2f,60,10.95
30-0.02-16c,16c-2f,61,11.73
30-0.02-16c,16c-2f,62,11.88
30-0.02-16c,16c-2f,63,11.96
30-0.02-16c,16c-2f,64,12.01
30-0.02-16c,16c-2f,65,12.17
30-0.02-16c,16c-2f,66,13.01
30-0.02-16c,16c-2f,67,13.05
30-0.02-16c,16c-2f,68,13.06
30-0.02-16c,16c-2f,69,13.21
30-0.02-16c,16c-2f,70,13.23
30-0.02-16c,16c-2f,71,13.53
30-0.02-16c,16c-2f,72,14.69
30-0.02-16c,16c-2f,73,14.88
30-0.02-16c,16c-2f,74,15.03
30-0.02-16c,16c-2f,75,15.06
30-0.02-16c,16c-2f,76,15.49
30-0.02-16c,16c-2f,77,15.67
30-0.02-16c,16c-2f,78,16.02
30-0.02-16c,16c-2f,79,16.13
30-0.02-16c,16c-2f,80,16.47
30-0.02-16c,16c-2f,81,16.6
30-0.02-16c,16c-2f,82,17.22
30-0.02-16c,16c-2f,83,17.66
30-0.02-16c,16c-2f,84,17.79
30-0.02-16c,16c-2f,85,18.15
30-0.02-16c,16c-2f,86,18.18
30-0.02-16c,16c-2f,87,18.23
30-0.02-16c,16c-2f,88,18.5
30-0.02-16c,16c-2f,89,18.52
30-0.02-16c,16c-2f,90,20.34
30-0.02-16c,16c-2f,91,20.5
30-0.02-16c,16c-2f,92,20.91
30-0.02-16c,16c-2f,93,21.31
30-0.02-16c,16c-2f,94,21.62
30-0.02-16c,16c-2f,95,21.87
30-0.02-16c,16c-2f,96,22.8
30-0.02-16c,16c-2f,97,23.84
30-0.02-16c,16c-2f,98,24.04
30-0.02-16c,16c-2f,99,24.05
30-0.02-16c,16c-2f,100,24.4
30-0.02-16c,16c-2f,101,24.56
30-0.02-16c,16c-2f,102,25.1
30-0.02-16c,16c-2f,103,25.6
30-0.02-16c,16c-2f,104,25.98
30-0.02-16c,16c-2f,105,26.11
30-0.02-16c,16c-2f,106,26.58
30-0.02-16c,16c-2f,107,26.62
30-0.02-16c,16c-2f,108,26.63
30-0.02-16c,16c-2f,109,26.77
30-0.02-16c,16c-2f,110,27.18
30-0.02-16c,16c-2f,111,27.6
30-0.02-16c,16c-2f,112,27.73
30-0.02-16c,16c-2f,113,28.02
30-0.02-16c,16c-2f,114,28.15
30-0.02-16c,16c-2f,115,28.24
30-0.02-16c,16c-2f,116,29.01
30-0.02-16c,16c-2f,117,29.41
30-0.02-16c,16c-2f,118,29.87
30-0.02-16c,16c-2f,119,29.95
30-0.02-16c,16c-2f,120,30.11
30-0.02-16c,16c-2f,121,30.24
30-0.02-16c,16c-2f,122,31.22
30-0.02-16c,16c-2f,123,31.36
30-0.02-16c,16c-2f,124,31.78
30-0.02-16c,16c-2f,125,31.91
30-0.02-16c,16c-2f,126,31.96
30-0.02-16c,16c-2f,127,32.11
30-0.02-16c,16c-2f,128,32.2
30-0.02-16c,16c-2f,129,32.48
30-0.02-16c,16c-2f,130,32.73
30-0.02-16c,16c-2f,131,32.99
30-0.02-16c,16c-2f,132,33.08
30-0.02-16c,16c-2f,133,33.69
30-0.02-16c,16c-2f,134,33.93
30-0.02-16c,16c-2f,135,34.04
30-0.02-16c,16c-2f,136,34.07
30-0.02-16c,16c-2f,137,34.1
30-0.02-16c,16c-2f,138,34.33
30-0.02-16c,16c-2f,139,34.57
30-0.02-16c,16c-2f,140,34.59
30-0.02-16c,16c-2f,141,34.77
30-0.02-16c,16c-2f,142,34.94
30-0.02-16c,16c-2f,143,35.14
30-0.02-16c,16c-2f,144,35.23
30-0.02-16c,16c-2f,145,35.44
30-0.02-16c,16c-2f,146,35.56
30-0.02-16c,16c-2f,147,35.6
30-0.02-16c,16c-2f,148,35.64
30-0.02-16c,16c-2f,149,35.78
30-0.02-16c,16c-2f,150,35.86
30-0.02-16c,16c-2f,151,36.52
30-0.02-16c,16c-2f,152,36.58
30-0.02-16c,16c-2f,153,36.68
30-0.02-16c,16c-2f,154,37.23
30-0.02-16c,16c-2f,155,37.27
30-0.02-16c,16c-2f,156,37.58
30-0.02-16c,16c-2f,157,37.63
30-0.02-16c,16c-2f,158,37.73
30-0.02-16c,16c-2f,159,38.11
30-0.02-16c,16c-2f,160,38.22
30-0.02-16c,16c-2f,161,38.57
30-0.02-16c,16c-2f,162,38.75
30-0.02-16c,16c-2f,163,38.8
30-0.02-16c,16c-2f,164,38.95
30-0.02-16c,16c-2f,165,39.07
30-0.02-16c,16c-2f,166,39.45
30-0.02-16c,16c-2f,167,39.48
30-0.02-16c,16c-2f,168,40.37
30-0.02-16c,16c-2f,169,41.02
30-0.02-16c,16c-2f,170,41.07
30-0.02-16c,16c-2f,171,41.25
30-0.02-16c,16c-2f,172,41.36
30-0.02-16c,16c-2f,173,41.68
30-0.02-16c,16c-2f,174,41.77
30-0.02-16c,16c-2f,175,41.81
30-0.02-16c,16c-2f,176,42.98
30-0.02-16c,16c-2f,177,43.19
30-0.02-16c,16c-2f,178,43.28
30-0.02-16c,16c-2f,179,43.97
30-0.02-16c,16c-2f,180,44.07
30-0.02-16c,16c-2f,181,44.4
30-0.02-16c,16c-2f,182,44.68
30-0.02-16c,16c-2f,183,44.93
30-0.02-16c,16c-2f,184,45.09
30-0.02-16c,16c-2f,185,45.19
30-0.02-16c,16c-2f,186,45.2
30-0.02-16c,16c-2f,187,45.23
30-0.02-16c,16c-2f,188,45.42
30-0.02-16c,16c-2f,189,45.43
30-0.02-16c,16c-2f,190,45.49
30-0.02-16c,16c-2f,191,46.03
30-0.02-16c,16c-2f,192,46.1
30-0.02-16c,16c-2f,193,46.34
30-0.02-16c,16c-2f,194,46.44
30-0.02-16c,16c-2f,195,46.57
30-0.02-16c,16c-2f,196,46.99
30-0.02-16c,16c-2f,197,47.0
30-0.02-16c,16c-2f,198,47.7
30-0.02-16c,16c-2f,199,47.72
30-0.02-16c,16c-2f,200,48.1
30-0.02-16c,16c-2f,201,48.63
30-0.02-16c,16c-2f,202,49.27
30-0.02-16c,16c-2f,203,49.41
30-0.02-16c,16c-2f,204,49.53
30-0.02-16c,16c-2f,205,49.58
30-0.02-16c,16c-2f,206,49.84
30-0.02-16c,16c-2f,207,49.98
30-0.02-16c,16c-2f,208,50.27
30-0.02-16c,16c-2f,209,50.63
30-0.02-16c,16c-2f,210,50.87
30-0.02-16c,16c-2f,211,51.16
30-0.02-16c,16c-2f,212,51.17
30-0.02-16c,16c-2f,213,51.24
30-0.02-16c,16c-2f,214,51.26
30-0.02-16c,16c-2f,215,51.31
30-0.02-16c,16c-2f,216,51.46
30-0.02-16c,16c-2f,217,51.58
30-0.02-16c,16c-2f,218,51.64
30-0.02-16c,16c-2f,219,51.72
30-0.02-16c,16c-2f,220,51.8
30-0.02-16c,16c-2f,221,52.25
30-0.02-16c,16c-2f,222,52.75
30-0.02-16c,16c-2f,223,53.91
30-0.02-16c,16c-2f,224,54.22
30-0.02-16c,16c-2f,225,54.39
30-0.02-16c,16c-2f,226,54.9
30-0.02-16c,16c-2f,227,55.06
30-0.02-16c,16c-2f,228,55.47
30-0.02-16c,16c-2f,229,55.49
30-0.02-16c,16c-2f,230,56.43
30-0.02-16c,16c-2f,231,56.47
30-0.02-16c,16c-2f,232,56.67
30-0.02-16c,16c-2f,233,56.95
30-0.02-16c,16c-2f,234,57.36
30-0.02-16c,16c-2f,235,57.4
30-0.02-16c,16c-2f,236,57.59
30-0.02-16c,16c-2f,237,58.25
30-0.02-16c,16c-2f,238,58.51
30-0.02-16c,16c-2f,239,58.66
30-0.02-16c,16c-2f,240,58.67
30-0.02-16c,16c-2f,241,58.76
30-0.02-16c,16c-2f,242,59.17
30-0.02-16c,16c-2f,243,59.26
30-0.02-16c,16c-2f,244,59.29
30-0.02-16c,16c-2f,245,59.84
30-0.02-16c,16c-2f,246,59.85
30-0.02-16c,16c-2f,247,59.94
30-0.02-16c,16c-2f,248,60.38
30-0.02-16c,16c-2f,249,60.85
30-0.02-16c,16c-2f,250,61.1
30-0.02-16c,16c-2f,251,61.51
30-0.02-16c,16c-2f,252,61.64
30-0.02-16c,16c-2f,253,61.75
30-0.02-16c,16c-2f,254,61.8
30-0.02-16c,16c-2f,255,61.82
30-0.02-16c,16c-2f,256,62.02
30-0.02-16c,16c-2f,257,62.1
30-0.02-16c,16c-2f,258,62.15
30-0.02-16c,16c-2f,259,62.63
30-0.02-16c,16c-2f,260,62.64
30-0.02-16c,16c-2f,261,62.74
30-0.02-16c,16c-2f,262,62.99
30-0.02-16c,16c-2f,263,63.05
30-0.02-16c,16c-2f,264,63.14
30-0.02-16c,16c-2f,265,63.6
30-0.02-16c,16c-2f,266,64.05
30-0.02-16c,16c-2f,267,64.22
30-0.02-16c,16c-2f,268,64.27
30-0.02-16c,16c-2f,269,64.29
30-0.02-16c,16c-2f,270,64.46
30-0.02-16c,16c-2f,271,65.06
30-0.02-16c,16c-2f,272,65.64
30-0.02-16c,16c-2f,273,66.02
30-0.02-16c,16c-2f,274,66.18
30-0.02-16c,16c-2f,275,66.34
30-0.02-16c,16c-2f,276,66.36
30-0.02-16c,16c-2f,277,66.55
30-0.02-16c,16c-2f,278,66.9
30-0.02-16c,16c-2f,279,67.95
30-0.02-16c,16c-2f,280,68.06
30-0.02-16c,16c-2f,281,68.07
30-0.02-16c,16c-2f,282,68.16
30-0.02-16c,16c-2f,283,68.25
30-0.02-16c,16c-2f,284,68.41
30-0.02-16c,16c-2f,285,68.64
30-0.02-16c,16c-2f,286,68.85
30-0.02-16c,16c-2f,287,68.96
30-0.02-16c,16c-2f,288,68.99
