test,approach,answer,time
30-0.02-1c,1c-500f,1,1.28
30-0.02-1c,1c-500f,2,1.32
30-0.02-1c,1c-500f,3,1.34
30-0.02-1c,1c-500f,4,1.34
30-0.02-1c,1c-500f,5,1.71
30-0.02-1c,1c-500f,6,2.44
30-0.02-1c,1c-500f,7,3.0
30-0.02-1c,1c-500f,8,3.61
30-0.02-1c,1c-500f,9,3.78
30-0.02-1c,1c-500f,10,3.8
30-0.02-1c,1c-500f,11,3.83
30-0.02-1c,1c-500f,12,3.87
30-0.02-1c,1c-500f,13,3.9
30-0.02-1c,1c-500f,14,3.92
30-0.02-1c,1c-500f,15,3.95
30-0.02-1c,1c-500f,16,4.03
30-0.02-1c,1c-500f,17,4.09
30-0.02-1c,1c-500f,18,4.15
30-0.02-1c,1c-500f,19,4.18
30-0.02-1c,1c-500f,20,4.2
30-0.02-1c,1c-500f,21,4.24
30-0.02-1c,1c-500f,22,4.28
30-0.02-1c,1c-500f,23,4.35
30-0.02-1c,1c-500f,24,4.39
30-0.02-1c,1c-500f,25,4.43
30-0.02-1c,1c-500f,26,4.44
30-0.02-1c,1c-500f,27,4.47
30-0.02-1c,1c-500f,28,4.51
30-0.02-1c,1c-500f,29,4.53
30-0.02-1c,1c-500f,30,4.58
30-0.02-1c,1c-500f,31,4.6
30-0.02-1c,1c-500f,32,4.63
30-0.02-1c,1c-500f,33,4.65
30-0.02-1c,1c-500f,34,4.67
30-0.02-1c,1c-500f,35,4.69
30-0.02-1c,1c-500f,36,4.72
30-0.02-1c,1c-500f,37,4.75
30-0.02-1c,1c-500f,38,4.77
30-0.02-1c,1c-500f,39,4.79
30-0.02-1c,1c-500f,40,4.81
30-0.02-1c,1c-500f,41,4.84
30-0.02-1c,1c-500f,42,4.87
30-0.02-1c,1c-500f,43,4.9
30-0.02-1c,1c-500f,44,4.94
30-0.02-1c,1c-500f,45,4.97
30-0.02-1c,1c-500f,46,4.99
30-0.02-1c,1c-500f,47,5.02
30-0.02-1c,1c-500f,48,5.05
30-0.02-1c,1c-500f,49,5.06
30-0.02-1c,1c-500f,50,5.08
30-0.02-1c,1c-500f,51,5.11
30-0.02-1c,1c-500f,52,5.13
30-0.02-1c,1c-500f,53,5.15
30-0.02-1c,1c-500f,54,5.18
30-0.02-1c,1c-500f,55,5.18
30-0.02-1c,1c-500f,56,5.21
30-0.02-1c,1c-500f,57,5.23
30-0.02-1c,1c-500f,58,5.27
30-0.02-1c,1c-500f,59,5.29
30-0.02-1c,1c-500f,60,5.3
30-0.02-1c,1c-500f,61,5.31
30-0.02-1c,1c-500f,62,5.33
30-0.02-1c,1c-500f,63,5.35
30-0.02-1c,1c-500f,64,5.39
30-0.02-1c,1c-500f,65,5.41
30-0.02-1c,1c-500f,66,5.44
30-0.02-1c,1c-500f,67,5.46
30-0.02-1c,1c-500f,68,5.48
30-0.02-1c,1c-500f,69,5.49
30-0.02-1c,1c-500f,70,5.51
30-0.02-1c,1c-500f,71,5.54
30-0.02-1c,1c-500f,72,5.56
30-0.02-1c,1c-500f,73,5.59
30-0.02-1c,1c-500f,74,5.62
30-0.02-1c,1c-500f,75,5.66
30-0.02-1c,1c-500f,76,5.68
30-0.02-1c,1c-500f,77,5.71
30-0.02-1c,1c-500f,78,5.74
30-0.02-1c,1c-500f,79,5.78
30-0.02-1c,1c-500f,80,5.8
30-0.02-1c,1c-500f,81,5.83
30-0.02-1c,1c-500f,82,5.84
30-0.02-1c,1c-500f,83,5.86
30-0.02-1c,1c-500f,84,5.88
30-0.02-1c,1c-500f,85,5.91
30-0.02-1c,1c-500f,86,5.95
