test,approach,answer,time
30-0.02-1c,1c-8f,1,0.01
30-0.02-1c,1c-8f,2,0.02
30-0.02-1c,1c-8f,3,0.02
30-0.02-1c,1c-8f,4,0.02
30-0.02-1c,1c-8f,5,0.03
30-0.02-1c,1c-8f,6,0.03
30-0.02-1c,1c-8f,7,0.03
30-0.02-1c,1c-8f,8,0.03
30-0.02-1c,1c-8f,9,0.03
30-0.02-1c,1c-8f,10,0.04
30-0.02-1c,1c-8f,11,0.05
30-0.02-1c,1c-8f,12,0.05
30-0.02-1c,1c-8f,13,0.05
30-0.02-1c,1c-8f,14,0.05
30-0.02-1c,1c-8f,15,0.08
30-0.02-1c,1c-8f,16,0.11
30-0.02-1c,1c-8f,17,0.19
30-0.02-1c,1c-8f,18,0.23
30-0.02-1c,1c-8f,19,0.25
30-0.02-1c,1c-8f,20,0.26
30-0.02-1c,1c-8f,21,0.26
30-0.02-1c,1c-8f,22,0.27
30-0.02-1c,1c-8f,23,0.29
30-0.02-1c,1c-8f,24,0.30
30-0.02-1c,1c-8f,25,0.31
30-0.02-1c,1c-8f,26,0.32
30-0.02-1c,1c-8f,27,0.34
30-0.02-1c,1c-8f,28,0.34
30-0.02-1c,1c-8f,29,0.39
30-0.02-1c,1c-8f,30,0.39
30-0.02-1c,1c-8f,31,0.40
30-0.02-1c,1c-8f,32,0.42
30-0.02-1c,1c-8f,33,0.44
30-0.02-1c,1c-8f,34,0.44
30-0.02-1c,1c-8f,35,0.44
30-0.02-1c,1c-8f,36,0.45
30-0.02-1c,1c-8f,37,0.47
30-0.02-1c,1c-8f,38,0.48
30-0.02-1c,1c-8f,39,0.50
30-0.02-1c,1c-8f,40,0.50
30-0.02-1c,1c-8f,41,0.55
30-0.02-1c,1c-8f,42,0.57
30-0.02-1c,1c-8f,43,0.57
30-0.02-1c,1c-8f,44,0.58
30-0.02-1c,1c-8f,45,0.62
30-0.02-1c,1c-8f,46,0.62
30-0.02-1c,1c-8f,47,0.69
30-0.02-1c,1c-8f,48,0.70
30-0.02-1c,1c-8f,49,0.74
30-0.02-1c,1c-8f,50,0.76
30-0.02-1c,1c-8f,51,0.84
30-0.02-1c,1c-8f,52,0.85
30-0.02-1c,1c-8f,53,0.97
30-0.02-1c,1c-8f,54,0.98
30-0.02-1c,1c-8f,55,0.99
30-0.02-1c,1c-8f,56,1.01
30-0.02-1c,1c-8f,57,1.02
30-0.02-1c,1c-8f,58,1.05
30-0.02-1c,1c-8f,59,1.06
30-0.02-1c,1c-8f,60,1.07
30-0.02-1c,1c-8f,61,1.07
30-0.02-1c,1c-8f,62,1.08
30-0.02-1c,1c-8f,63,1.10
30-0.02-1c,1c-8f,64,1.11
