test,approach,answer,time
30-0.02-1c,1c-1f,1,0.02
30-0.02-1c,1c-1f,2,0.02
30-0.02-1c,1c-1f,3,0.03
30-0.02-1c,1c-1f,4,0.03
30-0.02-1c,1c-1f,5,0.07
30-0.02-1c,1c-1f,6,0.08
30-0.02-1c,1c-1f,7,0.11
30-0.02-1c,1c-1f,8,0.12
30-0.02-1c,1c-1f,9,0.14
30-0.02-1c,1c-1f,10,0.17
30-0.02-1c,1c-1f,11,0.19
30-0.02-1c,1c-1f,12,0.23
30-0.02-1c,1c-1f,13,0.24
30-0.02-1c,1c-1f,14,0.25
30-0.02-1c,1c-1f,15,0.28
30-0.02-1c,1c-1f,16,0.32
30-0.02-1c,1c-1f,17,0.34
30-0.02-1c,1c-1f,18,0.34
30-0.02-1c,1c-1f,19,0.35
30-0.02-1c,1c-1f,20,0.41
30-0.02-1c,1c-1f,21,0.44
30-0.02-1c,1c-1f,22,0.46
30-0.02-1c,1c-1f,23,0.46
30-0.02-1c,1c-1f,24,0.47
30-0.02-1c,1c-1f,25,0.47
30-0.02-1c,1c-1f,26,0.50
30-0.02-1c,1c-1f,27,0.51
30-0.02-1c,1c-1f,28,0.52
30-0.02-1c,1c-1f,29,0.54
30-0.02-1c,1c-1f,30,0.55
30-0.02-1c,1c-1f,31,0.61
30-0.02-1c,1c-1f,32,0.74
30-0.02-1c,1c-1f,33,0.74
30-0.02-1c,1c-1f,34,0.83
30-0.02-1c,1c-1f,35,0.84
30-0.02-1c,1c-1f,36,0.86
30-0.02-1c,1c-1f,37,0.88
30-0.02-1c,1c-1f,38,0.91
30-0.02-1c,1c-1f,39,0.92
30-0.02-1c,1c-1f,40,0.94
30-0.02-1c,1c-1f,41,1.05
30-0.02-1c,1c-1f,42,1.16
30-0.02-1c,1c-1f,43,1.24
30-0.02-1c,1c-1f,44,1.35
30-0.02-1c,1c-1f,45,1.37
30-0.02-1c,1c-1f,46,1.43
30-0.02-1c,1c-1f,47,1.45
30-0.02-1c,1c-1f,48,1.47
30-0.02-1c,1c-1f,49,1.63
30-0.02-1c,1c-1f,50,1.65
30-0.02-1c,1c-1f,51,1.66
30-0.02-1c,1c-1f,52,1.67
30-0.02-1c,1c-1f,53,1.68
30-0.02-1c,1c-1f,54,1.72
30-0.02-1c,1c-1f,55,1.82
30-0.02-1c,1c-1f,56,1.83
30-0.02-1c,1c-1f,57,1.87
30-0.02-1c,1c-1f,58,2.03
