test,approach,answer,time
30-0.02,1c-1f,1,0.02
30-0.02,1c-1f,2,0.02
30-0.02,1c-1f,3,0.02
30-0.02,1c-1f,4,0.03
30-0.02,1c-1f,5,0.08
30-0.02,1c-1f,6,0.1
30-0.02,1c-1f,7,0.14
30-0.02,1c-1f,8,0.16
30-0.02,1c-1f,9,0.21
30-0.02,1c-1f,10,0.28
30-0.02,1c-1f,11,0.3
30-0.02,1c-1f,12,0.38
30-0.02,1c-1f,13,0.4
30-0.02,1c-1f,14,0.42
30-0.02,1c-1f,15,0.49
30-0.02,1c-1f,16,0.58
30-0.02,1c-1f,17,0.62
30-0.02,1c-1f,18,0.63
30-0.02,1c-1f,19,0.64
30-0.02,1c-1f,20,0.75
30-0.02,1c-1f,21,0.8
30-0.02,1c-1f,22,0.84
30-0.02,1c-1f,23,0.84
30-0.02,1c-1f,24,0.86
30-0.02,1c-1f,25,0.86
30-0.02,1c-1f,26,0.94
30-0.02,1c-1f,27,0.96
30-0.02,1c-1f,28,0.97
30-0.02,1c-1f,29,1.0
30-0.02,1c-1f,30,1.01
30-0.02,1c-1f,31,1.08
30-0.02,1c-1f,32,1.28
30-0.02,1c-1f,33,1.29
30-0.02,1c-1f,34,1.38
30-0.02,1c-1f,35,1.39
30-0.02,1c-1f,36,1.43
30-0.02,1c-1f,37,1.46
30-0.02,1c-1f,38,1.49
30-0.02,1c-1f,39,1.51
30-0.02,1c-1f,40,1.52
30-0.02,1c-1f,41,1.64
30-0.02,1c-1f,42,1.78
30-0.02,1c-1f,43,1.91
30-0.02,1c-1f,44,2.1
30-0.02,1c-1f,45,2.13
30-0.02,1c-1f,46,2.24
30-0.02,1c-1f,47,2.29
30-0.02,1c-1f,48,2.34
30-0.02,1c-1f,49,2.62
30-0.02,1c-1f,50,2.67
30-0.02,1c-1f,51,2.69
30-0.02,1c-1f,52,2.7
30-0.02,1c-1f,53,2.74
30-0.02,1c-1f,54,2.82
30-0.02,1c-1f,55,3.03
30-0.02,1c-1f,56,3.03
30-0.02,1c-1f,57,3.1
30-0.02,1c-1f,58,3.4
30-0.02,1c-1f,59,3.4
30-0.02,1c-1f,60,3.44
30-0.02,1c-1f,61,3.46
30-0.02,1c-1f,62,3.48
30-0.02,1c-1f,63,3.49
30-0.02,1c-1f,64,3.5
30-0.02,1c-1f,65,3.61
30-0.02,1c-1f,66,3.65
30-0.02,1c-1f,67,3.66
30-0.02,1c-1f,68,3.76
30-0.02,1c-1f,69,3.78
30-0.02,1c-1f,70,3.88
30-0.02,1c-1f,71,3.91
30-0.02,1c-1f,72,4.1
30-0.02,1c-1f,73,4.17
30-0.02,1c-1f,74,4.24
30-0.02,1c-1f,75,4.31
30-0.02,1c-1f,76,4.33
30-0.02,1c-1f,77,4.38
30-0.02,1c-1f,78,4.41
30-0.02,1c-1f,79,4.5
30-0.02,1c-1f,80,4.67
30-0.02,1c-1f,81,5.04
30-0.02,1c-1f,82,5.08
30-0.02,1c-1f,83,5.22
30-0.02,1c-1f,84,5.35
30-0.02,1c-1f,85,5.35
30-0.02,1c-1f,86,5.44
30-0.02,1c-1f,87,5.5
30-0.02,1c-1f,88,5.66
30-0.02,1c-1f,89,5.74
30-0.02,1c-1f,90,6.03
30-0.02,1c-1f,91,6.05
30-0.02,1c-1f,92,6.1
30-0.02,1c-1f,93,6.19
30-0.02,1c-1f,94,6.27
30-0.02,1c-1f,95,6.47
30-0.02,1c-1f,96,6.65
30-0.02,1c-1f,97,6.83
30-0.02,1c-1f,98,6.88
30-0.02,1c-1f,99,6.9
30-0.02,1c-1f,100,6.9
30-0.02,1c-1f,101,6.99
30-0.02,1c-1f,102,7.0
30-0.02,1c-1f,103,7.05
30-0.02,1c-1f,104,7.18
30-0.02,1c-1f,105,7.32
30-0.02,1c-1f,106,7.45
30-0.02,1c-1f,107,7.55
30-0.02,1c-1f,108,7.92
30-0.02,1c-1f,109,8.05
30-0.02,1c-1f,110,8.11
30-0.02,1c-1f,111,8.16
30-0.02,1c-1f,112,8.4
30-0.02,1c-1f,113,8.53
30-0.02,1c-1f,114,8.55
30-0.02,1c-1f,115,8.67
30-0.02,1c-1f,116,8.72
30-0.02,1c-1f,117,8.75
30-0.02,1c-1f,118,9.05
30-0.02,1c-1f,119,9.09
30-0.02,1c-1f,120,9.27
30-0.02,1c-1f,121,9.33
30-0.02,1c-1f,122,9.38
30-0.02,1c-1f,123,9.39
30-0.02,1c-1f,124,9.46
30-0.02,1c-1f,125,9.54
30-0.02,1c-1f,126,9.55
30-0.02,1c-1f,127,9.61
30-0.02,1c-1f,128,9.73
30-0.02,1c-1f,129,9.75
30-0.02,1c-1f,130,9.85
30-0.02,1c-1f,131,9.87
30-0.02,1c-1f,132,9.94
30-0.02,1c-1f,133,10.12
30-0.02,1c-1f,134,10.32
30-0.02,1c-1f,135,10.32
30-0.02,1c-1f,136,10.34
30-0.02,1c-1f,137,10.43
30-0.02,1c-1f,138,10.45
30-0.02,1c-1f,139,10.6
30-0.02,1c-1f,140,10.81
30-0.02,1c-1f,141,10.85
30-0.02,1c-1f,142,10.92
30-0.02,1c-1f,143,10.96
30-0.02,1c-1f,144,10.96
30-0.02,1c-1f,145,11.15
30-0.02,1c-1f,146,11.29
30-0.02,1c-1f,147,11.48
30-0.02,1c-1f,148,11.5
30-0.02,1c-1f,149,11.52
30-0.02,1c-1f,150,11.55
30-0.02,1c-1f,151,11.59
30-0.02,1c-1f,152,11.65
30-0.02,1c-1f,153,11.68
30-0.02,1c-1f,154,11.71
30-0.02,1c-1f,155,11.95
30-0.02,1c-1f,156,12.09
30-0.02,1c-1f,157,12.15
30-0.02,1c-1f,158,12.17
30-0.02,1c-1f,159,12.2
30-0.02,1c-1f,160,12.38
30-0.02,1c-1f,161,12.52
30-0.02,1c-1f,162,12.58
30-0.02,1c-1f,163,12.62
30-0.02,1c-1f,164,12.7
30-0.02,1c-1f,165,12.75
30-0.02,1c-1f,166,12.78
30-0.02,1c-1f,167,12.79
30-0.02,1c-1f,168,12.87
30-0.02,1c-1f,169,12.87
30-0.02,1c-1f,170,12.89
30-0.02,1c-1f,171,12.89
30-0.02,1c-1f,172,13.0
30-0.02,1c-1f,173,13.06
30-0.02,1c-1f,174,13.08
30-0.02,1c-1f,175,13.19
30-0.02,1c-1f,176,13.22
30-0.02,1c-1f,177,13.27
30-0.02,1c-1f,178,13.39
30-0.02,1c-1f,179,13.49
30-0.02,1c-1f,180,13.59
30-0.02,1c-1f,181,13.73
30-0.02,1c-1f,182,13.75
30-0.02,1c-1f,183,13.91
30-0.02,1c-1f,184,13.96
30-0.02,1c-1f,185,14.02
30-0.02,1c-1f,186,14.06
