test,approach,answer,time,responseTime
30-0.02-8c,8c-1000f,1,0.08,75107584.00
30-0.02-8c,8c-1000f,2,0.08,75921147.00
30-0.02-8c,8c-1000f,3,0.09,89452062.00
30-0.02-8c,8c-1000f,4,0.13,120234151.00
30-0.02-8c,8c-1000f,5,0.18,172369364.00
30-0.02-8c,8c-1000f,6,0.20,183900825.00
30-0.02-8c,8c-1000f,7,0.29,250032786.00
30-0.02-8c,8c-1000f,8,0.37,345612216.00
30-0.02-8c,8c-1000f,9,0.46,278438310.00
30-0.02-8c,8c-1000f,10,0.57,397170472.00
30-0.02-8c,8c-1000f,11,0.59,555529717.00
30-0.02-8c,8c-1000f,12,0.59,534666489.00
30-0.02-8c,8c-1000f,13,0.61,581870340.00
30-0.02-8c,8c-1000f,14,0.61,575522702.00
30-0.02-8c,8c-1000f,15,0.92,902629479.00
30-0.02-8c,8c-1000f,16,0.96,893445778.00
30-0.02-8c,8c-1000f,17,1.05,800804104.00
30-0.02-8c,8c-1000f,18,1.05,1004626146.00
30-0.02-8c,8c-1000f,19,1.05,941225357.00
30-0.02-8c,8c-1000f,20,1.05,904592192.00
30-0.02-8c,8c-1000f,21,1.05,1039764389.00
30-0.02-8c,8c-1000f,22,1.05,1039501773.00
30-0.02-8c,8c-1000f,23,1.05,931573502.00
30-0.02-8c,8c-1000f,24,1.20,981370541.00
30-0.02-8c,8c-1000f,25,1.21,1168954193.00
30-0.02-8c,8c-1000f,26,1.24,994462497.00
30-0.02-8c,8c-1000f,27,1.26,1117636821.00
30-0.02-8c,8c-1000f,28,1.30,1248579056.00
30-0.02-8c,8c-1000f,29,1.30,1255683336.00
30-0.02-8c,8c-1000f,30,1.45,1191794817.00
30-0.02-8c,8c-1000f,31,1.50,1212679361.00
30-0.02-8c,8c-1000f,32,1.50,1425081011.00
30-0.02-8c,8c-1000f,33,1.60,1516612870.00
30-0.02-8c,8c-1000f,34,1.68,1535290905.00
30-0.02-8c,8c-1000f,35,1.68,1545146871.00
30-0.02-8c,8c-1000f,36,1.74,1196774057.00
30-0.02-8c,8c-1000f,37,1.76,1730720711.00
30-0.02-8c,8c-1000f,38,1.78,1525522170.00
30-0.02-8c,8c-1000f,39,1.79,1424584213.00
30-0.02-8c,8c-1000f,40,1.80,1308262430.00
30-0.02-8c,8c-1000f,41,1.82,1523143720.00
30-0.02-8c,8c-1000f,42,1.86,1494407091.00
30-0.02-8c,8c-1000f,43,2.07,1647129482.00
30-0.02-8c,8c-1000f,44,2.08,1815476318.00
30-0.02-8c,8c-1000f,45,2.09,1940113299.00
30-0.02-8c,8c-1000f,46,2.10,1774536060.00
30-0.02-8c,8c-1000f,47,2.19,1582447744.00
30-0.02-8c,8c-1000f,48,2.19,2122395730.00
30-0.02-8c,8c-1000f,49,2.21,1851411366.00
30-0.02-8c,8c-1000f,50,2.22,2105182701.00
30-0.02-8c,8c-1000f,51,2.23,2064977461.00
30-0.02-8c,8c-1000f,52,2.24,2130438001.00
30-0.02-8c,8c-1000f,53,2.25,2105882304.00
30-0.02-8c,8c-1000f,54,2.26,2178804562.00
30-0.02-8c,8c-1000f,55,2.26,2090887700.00
30-0.02-8c,8c-1000f,56,2.27,1813385862.00
30-0.02-8c,8c-1000f,57,2.30,2251249809.00
30-0.02-8c,8c-1000f,58,2.32,2041964869.00
30-0.02-8c,8c-1000f,59,2.34,2303549707.00
30-0.02-8c,8c-1000f,60,2.34,2305082064.00
30-0.02-8c,8c-1000f,61,2.35,2321238186.00
30-0.02-8c,8c-1000f,62,2.36,2196391466.00
30-0.02-8c,8c-1000f,63,2.36,2172772583.00
30-0.02-8c,8c-1000f,64,2.39,2257569946.00
30-0.02-8c,8c-1000f,65,2.44,2221315603.00
30-0.02-8c,8c-1000f,66,2.45,1744210919.00
30-0.02-8c,8c-1000f,67,2.54,2496487425.00
30-0.02-8c,8c-1000f,68,2.55,1894664372.00
30-0.02-8c,8c-1000f,69,2.57,2040385572.00
30-0.02-8c,8c-1000f,70,2.57,2374443521.00
30-0.02-8c,8c-1000f,71,2.58,1932803818.00
30-0.02-8c,8c-1000f,72,2.60,2475317118.00
30-0.02-8c,8c-1000f,73,2.60,2453111146.00
30-0.02-8c,8c-1000f,74,2.62,2034624149.00
30-0.02-8c,8c-1000f,75,2.63,2605380498.00
30-0.02-8c,8c-1000f,76,2.65,2579335239.00
30-0.02-8c,8c-1000f,77,2.66,1894831204.00
30-0.02-8c,8c-1000f,78,2.66,2294381023.00
30-0.02-8c,8c-1000f,79,2.70,2651616504.00
30-0.02-8c,8c-1000f,80,2.72,2269909759.00
30-0.02-8c,8c-1000f,81,2.72,2676092763.00
30-0.02-8c,8c-1000f,82,2.78,2362784957.00
30-0.02-8c,8c-1000f,83,2.78,2639688451.00
30-0.02-8c,8c-1000f,84,2.79,2547893067.00
30-0.02-8c,8c-1000f,85,2.80,2382680730.00
30-0.02-8c,8c-1000f,86,2.81,2362954929.00
30-0.02-8c,8c-1000f,87,2.82,2749692345.00
30-0.02-8c,8c-1000f,88,2.82,2272872731.00
30-0.02-8c,8c-1000f,89,2.86,2442897540.00
30-0.02-8c,8c-1000f,90,2.86,2774429024.00
30-0.02-8c,8c-1000f,91,2.91,2881804842.00
30-0.02-8c,8c-1000f,92,2.91,2629668462.00
30-0.02-8c,8c-1000f,93,2.98,1976000348.00
30-0.02-8c,8c-1000f,94,2.98,2717656085.00
30-0.02-8c,8c-1000f,95,2.98,2546185174.00
30-0.02-8c,8c-1000f,96,3.00,2868372744.00
30-0.02-8c,8c-1000f,97,3.02,2605321173.00
30-0.02-8c,8c-1000f,98,3.03,2506736322.00
30-0.02-8c,8c-1000f,99,3.10,2829234803.00
30-0.02-8c,8c-1000f,100,3.10,2934687948.00
30-0.02-8c,8c-1000f,101,3.15,3030517779.00
30-0.02-8c,8c-1000f,102,3.15,2879674816.00
30-0.02-8c,8c-1000f,103,3.16,2915526098.00
30-0.02-8c,8c-1000f,104,3.17,3090148794.00
30-0.02-8c,8c-1000f,105,3.17,2888092427.00
30-0.02-8c,8c-1000f,106,3.20,2889715123.00
30-0.02-8c,8c-1000f,107,3.27,3099646615.00
30-0.02-8c,8c-1000f,108,3.29,3142921753.00
30-0.02-8c,8c-1000f,109,3.30,2934370096.00
30-0.02-8c,8c-1000f,110,3.32,3048626368.00
30-0.02-8c,8c-1000f,111,3.32,3177993266.00
30-0.02-8c,8c-1000f,112,3.33,3258029108.00
30-0.02-8c,8c-1000f,113,3.34,3060706348.00
30-0.02-8c,8c-1000f,114,3.39,3201460122.00
30-0.02-8c,8c-1000f,115,3.45,2999096318.00
30-0.02-8c,8c-1000f,116,3.46,3342841619.00
30-0.02-8c,8c-1000f,117,3.48,3428962525.00
30-0.02-8c,8c-1000f,118,3.48,2925357120.00
30-0.02-8c,8c-1000f,119,3.51,3251088279.00
30-0.02-8c,8c-1000f,120,3.52,3384808843.00
30-0.02-8c,8c-1000f,121,3.56,3199852213.00
30-0.02-8c,8c-1000f,122,3.56,2874164151.00
30-0.02-8c,8c-1000f,123,3.64,2870225238.00
30-0.02-8c,8c-1000f,124,3.65,3627050403.00
30-0.02-8c,8c-1000f,125,3.66,3398114753.00
30-0.02-8c,8c-1000f,126,3.66,3430829689.00
30-0.02-8c,8c-1000f,127,3.67,3458080146.00
30-0.02-8c,8c-1000f,128,3.69,3078424099.00
30-0.02-8c,8c-1000f,129,3.69,3581103705.00
30-0.02-8c,8c-1000f,130,3.70,3058067859.00
30-0.02-8c,8c-1000f,131,3.70,3344177407.00
30-0.02-8c,8c-1000f,132,3.73,3158375455.00
30-0.02-8c,8c-1000f,133,3.73,3540540308.00
30-0.02-8c,8c-1000f,134,3.74,3439221883.00
30-0.02-8c,8c-1000f,135,3.76,3581175847.00
30-0.02-8c,8c-1000f,136,3.79,3690882885.00
30-0.02-8c,8c-1000f,137,3.79,3350373348.00
30-0.02-8c,8c-1000f,138,3.80,3658740012.00
30-0.02-8c,8c-1000f,139,3.80,3438807616.00
30-0.02-8c,8c-1000f,140,3.81,3533399070.00
30-0.02-8c,8c-1000f,141,3.82,3575219372.00
30-0.02-8c,8c-1000f,142,3.85,3515008529.00
30-0.02-8c,8c-1000f,143,3.86,3607783342.00
30-0.02-8c,8c-1000f,144,3.86,3417390215.00
30-0.02-8c,8c-1000f,145,3.86,3350860633.00
30-0.02-8c,8c-1000f,146,3.88,3572436993.00
30-0.02-8c,8c-1000f,147,3.89,3390325544.00
30-0.02-8c,8c-1000f,148,3.89,3214614287.00
30-0.02-8c,8c-1000f,149,3.89,3475747128.00
30-0.02-8c,8c-1000f,150,3.90,3737632574.00
30-0.02-8c,8c-1000f,151,3.91,3622379256.00
30-0.02-8c,8c-1000f,152,3.93,3440396595.00
30-0.02-8c,8c-1000f,153,3.94,3340665689.00
30-0.02-8c,8c-1000f,154,3.95,3576325981.00
30-0.02-8c,8c-1000f,155,3.95,3533148843.00
30-0.02-8c,8c-1000f,156,4.00,3872072024.00
30-0.02-8c,8c-1000f,157,4.01,3820709091.00
30-0.02-8c,8c-1000f,158,4.02,3569282986.00
30-0.02-8c,8c-1000f,159,4.02,3561696174.00
