test,approach,answer,time
30-0.02,1c-4f,1,0.01
30-0.02,1c-4f,2,0.02
30-0.02,1c-4f,3,0.02
30-0.02,1c-4f,4,0.03
30-0.02,1c-4f,5,0.03
30-0.02,1c-4f,6,0.04
30-0.02,1c-4f,7,0.04
30-0.02,1c-4f,8,0.04
30-0.02,1c-4f,9,0.05
30-0.02,1c-4f,10,0.07
30-0.02,1c-4f,11,0.10
30-0.02,1c-4f,12,0.13
30-0.02,1c-4f,13,0.14
30-0.02,1c-4f,14,0.17
30-0.02,1c-4f,15,0.22
30-0.02,1c-4f,16,0.26
30-0.02,1c-4f,17,0.29
30-0.02,1c-4f,18,0.35
30-0.02,1c-4f,19,0.37
30-0.02,1c-4f,20,0.41
30-0.02,1c-4f,21,0.44
30-0.02,1c-4f,22,0.50
30-0.02,1c-4f,23,0.61
30-0.02,1c-4f,24,0.65
30-0.02,1c-4f,25,0.65
30-0.02,1c-4f,26,0.66
30-0.02,1c-4f,27,0.67
30-0.02,1c-4f,28,0.73
30-0.02,1c-4f,29,0.74
30-0.02,1c-4f,30,0.82
30-0.02,1c-4f,31,0.84
30-0.02,1c-4f,32,0.88
30-0.02,1c-4f,33,0.99
30-0.02,1c-4f,34,1.00
30-0.02,1c-4f,35,1.04
30-0.02,1c-4f,36,1.05
30-0.02,1c-4f,37,1.11
30-0.02,1c-4f,38,1.12
30-0.02,1c-4f,39,1.13
30-0.02,1c-4f,40,1.14
30-0.02,1c-4f,41,1.19
30-0.02,1c-4f,42,1.22
30-0.02,1c-4f,43,1.23
30-0.02,1c-4f,44,1.32
30-0.02,1c-4f,45,1.45
30-0.02,1c-4f,46,1.45
30-0.02,1c-4f,47,1.48
30-0.02,1c-4f,48,1.50
30-0.02,1c-4f,49,1.52
30-0.02,1c-4f,50,1.59
30-0.02,1c-4f,51,1.60
30-0.02,1c-4f,52,1.62
30-0.02,1c-4f,53,1.65
30-0.02,1c-4f,54,1.80
30-0.02,1c-4f,55,1.87
30-0.02,1c-4f,56,1.87
30-0.02,1c-4f,57,1.89
30-0.02,1c-4f,58,1.90
30-0.02,1c-4f,59,2.11
30-0.02,1c-4f,60,2.13
30-0.02,1c-4f,61,2.42
30-0.02,1c-4f,62,2.45
30-0.02,1c-4f,63,2.46
30-0.02,1c-4f,64,2.47
30-0.02,1c-4f,65,2.48
30-0.02,1c-4f,66,2.50
30-0.02,1c-4f,67,2.52
30-0.02,1c-4f,68,2.53
30-0.02,1c-4f,69,2.60
30-0.02,1c-4f,70,2.60
30-0.02,1c-4f,71,2.63
30-0.02,1c-4f,72,2.68
30-0.02,1c-4f,73,2.69
30-0.02,1c-4f,74,2.70
30-0.02,1c-4f,75,2.71
30-0.02,1c-4f,76,2.75
30-0.02,1c-4f,77,2.75
30-0.02,1c-4f,78,2.80
30-0.02,1c-4f,79,2.87
30-0.02,1c-4f,80,2.88
30-0.02,1c-4f,81,2.97
30-0.02,1c-4f,82,3.03
30-0.02,1c-4f,83,3.04
30-0.02,1c-4f,84,3.09
30-0.02,1c-4f,85,3.11
30-0.02,1c-4f,86,3.29
30-0.02,1c-4f,87,3.30
30-0.02,1c-4f,88,3.35
30-0.02,1c-4f,89,3.41
30-0.02,1c-4f,90,3.46
30-0.02,1c-4f,91,3.49
30-0.02,1c-4f,92,3.50
30-0.02,1c-4f,93,3.51
30-0.02,1c-4f,94,3.54
30-0.02,1c-4f,95,3.64
30-0.02,1c-4f,96,3.67
30-0.02,1c-4f,97,3.72
30-0.02,1c-4f,98,3.78
30-0.02,1c-4f,99,3.80
30-0.02,1c-4f,100,3.82
30-0.02,1c-4f,101,3.84
30-0.02,1c-4f,102,3.85
30-0.02,1c-4f,103,3.88
30-0.02,1c-4f,104,4.12
30-0.02,1c-4f,105,4.29
30-0.02,1c-4f,106,4.34
30-0.02,1c-4f,107,4.45
30-0.02,1c-4f,108,4.54
30-0.02,1c-4f,109,4.56
30-0.02,1c-4f,110,4.64
30-0.02,1c-4f,111,4.69
30-0.02,1c-4f,112,4.72
30-0.02,1c-4f,113,4.80
30-0.02,1c-4f,114,4.81
30-0.02,1c-4f,115,4.84
30-0.02,1c-4f,116,4.86
30-0.02,1c-4f,117,4.87
30-0.02,1c-4f,118,4.87
30-0.02,1c-4f,119,4.90
30-0.02,1c-4f,120,4.92
30-0.02,1c-4f,121,4.96
30-0.02,1c-4f,122,5.06
30-0.02,1c-4f,123,5.08
30-0.02,1c-4f,124,5.12
30-0.02,1c-4f,125,5.12
30-0.02,1c-4f,126,5.16
30-0.02,1c-4f,127,5.20
30-0.02,1c-4f,128,5.28
30-0.02,1c-4f,129,5.29
30-0.02,1c-4f,130,5.35
30-0.02,1c-4f,131,5.37
30-0.02,1c-4f,132,5.43
30-0.02,1c-4f,133,5.48
30-0.02,1c-4f,134,5.51
30-0.02,1c-4f,135,5.59
30-0.02,1c-4f,136,5.62
30-0.02,1c-4f,137,5.64
30-0.02,1c-4f,138,5.76
30-0.02,1c-4f,139,5.79
30-0.02,1c-4f,140,5.81
30-0.02,1c-4f,141,5.95
30-0.02,1c-4f,142,6.02
30-0.02,1c-4f,143,6.03
30-0.02,1c-4f,144,6.04
30-0.02,1c-4f,145,6.05
30-0.02,1c-4f,146,6.06
30-0.02,1c-4f,147,6.11
30-0.02,1c-4f,148,6.14
30-0.02,1c-4f,149,6.16
30-0.02,1c-4f,150,6.17
30-0.02,1c-4f,151,6.20
30-0.02,1c-4f,152,6.21
30-0.02,1c-4f,153,6.25
30-0.02,1c-4f,154,6.26
30-0.02,1c-4f,155,6.31
30-0.02,1c-4f,156,6.34
30-0.02,1c-4f,157,6.37
30-0.02,1c-4f,158,6.42
30-0.02,1c-4f,159,6.43
30-0.02,1c-4f,160,6.44
30-0.02,1c-4f,161,6.45
30-0.02,1c-4f,162,6.49
30-0.02,1c-4f,163,6.65
30-0.02,1c-4f,164,6.72
30-0.02,1c-4f,165,6.72
30-0.02,1c-4f,166,6.76
30-0.02,1c-4f,167,6.78
30-0.02,1c-4f,168,6.87
30-0.02,1c-4f,169,6.95
30-0.02,1c-4f,170,7.04
30-0.02,1c-4f,171,7.04
30-0.02,1c-4f,172,7.05
30-0.02,1c-4f,173,7.12
30-0.02,1c-4f,174,7.17
30-0.02,1c-4f,175,7.20
30-0.02,1c-4f,176,7.22
30-0.02,1c-4f,177,7.24
30-0.02,1c-4f,178,7.27
30-0.02,1c-4f,179,7.27
30-0.02,1c-4f,180,7.28
30-0.02,1c-4f,181,7.31
30-0.02,1c-4f,182,7.32
30-0.02,1c-4f,183,7.33
30-0.02,1c-4f,184,7.39
30-0.02,1c-4f,185,7.41
30-0.02,1c-4f,186,7.42
30-0.02,1c-4f,187,7.55
30-0.02,1c-4f,188,7.57
30-0.02,1c-4f,189,7.63
30-0.02,1c-4f,190,7.65
30-0.02,1c-4f,191,7.65
30-0.02,1c-4f,192,7.66
30-0.02,1c-4f,193,7.73
30-0.02,1c-4f,194,7.79
30-0.02,1c-4f,195,7.79
30-0.02,1c-4f,196,7.82
30-0.02,1c-4f,197,7.83
30-0.02,1c-4f,198,7.86
30-0.02,1c-4f,199,7.87
30-0.02,1c-4f,200,7.90
30-0.02,1c-4f,201,7.91
30-0.02,1c-4f,202,7.92
30-0.02,1c-4f,203,7.94
30-0.02,1c-4f,204,7.96
30-0.02,1c-4f,205,7.97
30-0.02,1c-4f,206,8.00
30-0.02,1c-4f,207,8.02
30-0.02,1c-4f,208,8.05
30-0.02,1c-4f,209,8.05
30-0.02,1c-4f,210,8.09
30-0.02,1c-4f,211,8.21
30-0.02,1c-4f,212,8.22
30-0.02,1c-4f,213,8.23
30-0.02,1c-4f,214,8.26
30-0.02,1c-4f,215,8.34
30-0.02,1c-4f,216,8.37
30-0.02,1c-4f,217,8.50
30-0.02,1c-4f,218,8.54
30-0.02,1c-4f,219,8.59
