test,approach,answer,time
dp,1-core,1,0.01
dp,1-core,2,0.01
dp,1-core,3,0.01
dp,1-core,4,0.02
dp,1-core,5,0.04
dp,1-core,6,0.05
dp,1-core,7,0.08
dp,1-core,8,0.08
dp,1-core,9,0.10
dp,1-core,10,0.14
dp,1-core,11,0.15
dp,1-core,12,0.19
dp,1-core,13,0.20
dp,1-core,14,0.21
dp,1-core,15,0.25
dp,1-core,16,0.28
dp,1-core,17,0.30
dp,1-core,18,0.30
dp,1-core,19,0.31
dp,1-core,20,0.37
dp,1-core,21,0.40
dp,1-core,22,0.42
dp,1-core,23,0.42
dp,1-core,24,0.43
dp,1-core,25,0.43
dp,1-core,26,0.46
dp,1-core,27,0.47
dp,1-core,28,0.48
dp,1-core,29,0.49
dp,1-core,30,0.50
dp,1-core,31,0.53
dp,1-core,32,0.63
dp,1-core,33,0.63
dp,1-core,34,0.68
dp,1-core,35,0.69
dp,1-core,36,0.71
dp,1-core,37,0.73
dp,1-core,38,0.75
dp,1-core,39,0.75
dp,1-core,40,0.76
dp,1-core,41,0.83
dp,1-core,42,0.90
dp,1-core,43,0.96
dp,1-core,44,1.05
dp,1-core,45,1.07
dp,1-core,46,1.12
dp,1-core,47,1.15
dp,1-core,48,1.17
dp,1-core,49,1.32
dp,1-core,50,1.33
dp,1-core,51,1.34
dp,1-core,52,1.35
dp,1-core,53,1.37
dp,1-core,54,1.40
dp,1-core,55,1.50
dp,1-core,56,1.50
dp,1-core,57,1.54
dp,1-core,58,1.70
dp,1-core,59,1.71
dp,1-core,60,1.73
dp,1-core,61,1.73
dp,1-core,62,1.74
dp,1-core,63,1.75
dp,1-core,64,1.76
dp,1-core,65,1.83
dp,1-core,66,1.85
dp,1-core,67,1.85
dp,1-core,68,1.90
dp,1-core,69,1.92
dp,1-core,70,1.96
dp,1-core,71,1.98
dp,1-core,72,2.06
dp,1-core,73,2.09
dp,1-core,74,2.13
dp,1-core,75,2.17
dp,1-core,76,2.18
dp,1-core,77,2.20
dp,1-core,78,2.21
dp,1-core,79,2.25
dp,1-core,80,2.34
dp,1-core,81,2.52
dp,1-core,82,2.54
dp,1-core,83,2.61
dp,1-core,84,2.67
dp,1-core,85,2.67
dp,1-core,86,2.71
dp,1-core,87,2.74
dp,1-core,88,2.83
dp,1-core,89,2.87
dp,1-core,90,3.03
dp,1-core,91,3.04
dp,1-core,92,3.07
dp,1-core,93,3.11
dp,1-core,94,3.13
dp,1-core,95,3.21
dp,1-core,96,3.29
dp,1-core,97,3.40
dp,1-core,98,3.41
dp,1-core,99,3.42
dp,1-core,100,3.42
dp,1-core,101,3.46
dp,1-core,102,3.47
dp,1-core,103,3.50
dp,1-core,104,3.56
dp,1-core,105,3.63
dp,1-core,106,3.69
dp,1-core,107,3.72
dp,1-core,108,3.91
dp,1-core,109,3.98
dp,1-core,110,4.01
dp,1-core,111,4.03
dp,1-core,112,4.16
dp,1-core,113,4.20
dp,1-core,114,4.21
dp,1-core,115,4.26
dp,1-core,116,4.28
dp,1-core,117,4.29
dp,1-core,118,4.44
dp,1-core,119,4.45
dp,1-core,120,4.54
dp,1-core,121,4.57
dp,1-core,122,4.59
dp,1-core,123,4.59
dp,1-core,124,4.63
dp,1-core,125,4.67
dp,1-core,126,4.68
