test,approach,answer,time
30-0.02-1c,1c-1f,1,3.47
30-0.02-1c,1c-1f,2,3.5
30-0.02-1c,1c-1f,3,3.68
30-0.02-1c,1c-1f,4,4.32
30-0.02-1c,1c-1f,5,8.7
30-0.02-1c,1c-1f,6,9.5
30-0.02-1c,1c-1f,7,11.86
30-0.02-1c,1c-1f,8,12.3
30-0.02-1c,1c-1f,9,14.59
30-0.02-1c,1c-1f,10,17.28
30-0.02-1c,1c-1f,11,18.31
30-0.02-1c,1c-1f,12,20.87
30-0.02-1c,1c-1f,13,21.75
30-0.02-1c,1c-1f,14,22.58
30-0.02-1c,1c-1f,15,24.4
30-0.02-1c,1c-1f,16,26.45
30-0.02-1c,1c-1f,17,27.33
30-0.02-1c,1c-1f,18,27.54
30-0.02-1c,1c-1f,19,27.8
30-0.02-1c,1c-1f,20,31.28
30-0.02-1c,1c-1f,21,32.44
30-0.02-1c,1c-1f,22,33.45
30-0.02-1c,1c-1f,23,33.66
30-0.02-1c,1c-1f,24,34.05
30-0.02-1c,1c-1f,25,34.39
30-0.02-1c,1c-1f,26,35.72
30-0.02-1c,1c-1f,27,36.11
30-0.02-1c,1c-1f,28,36.5
30-0.02-1c,1c-1f,29,37.3
30-0.02-1c,1c-1f,30,37.64
30-0.02-1c,1c-1f,31,39.44
30-0.02-1c,1c-1f,32,44.18
30-0.02-1c,1c-1f,33,44.24
30-0.02-1c,1c-1f,34,46.6
30-0.02-1c,1c-1f,35,46.98
30-0.02-1c,1c-1f,36,47.67
30-0.02-1c,1c-1f,37,48.53
30-0.02-1c,1c-1f,38,49.43
30-0.02-1c,1c-1f,39,49.79
30-0.02-1c,1c-1f,40,50.18
30-0.02-1c,1c-1f,41,52.62
30-0.02-1c,1c-1f,42,56.0
30-0.02-1c,1c-1f,43,58.33
30-0.02-1c,1c-1f,44,62.42
30-0.02-1c,1c-1f,45,63.11
30-0.02-1c,1c-1f,46,65.41
30-0.02-1c,1c-1f,47,67.26
30-0.02-1c,1c-1f,48,68.08
30-0.02-1c,1c-1f,49,73.74
30-0.02-1c,1c-1f,50,74.3
30-0.02-1c,1c-1f,51,74.66
30-0.02-1c,1c-1f,52,74.95
30-0.02-1c,1c-1f,53,75.75
30-0.02-1c,1c-1f,54,77.32
30-0.02-1c,1c-1f,55,81.29
30-0.02-1c,1c-1f,56,81.44
30-0.02-1c,1c-1f,57,82.94
30-0.02-1c,1c-1f,58,89.08
30-0.02-1c,1c-1f,59,89.26
30-0.02-1c,1c-1f,60,89.9
30-0.02-1c,1c-1f,61,90.12
30-0.02-1c,1c-1f,62,90.46
30-0.02-1c,1c-1f,63,90.8
30-0.02-1c,1c-1f,64,90.88
30-0.02-1c,1c-1f,65,93.39
30-0.02-1c,1c-1f,66,93.96
30-0.02-1c,1c-1f,67,94.07
30-0.02-1c,1c-1f,68,95.92
30-0.02-1c,1c-1f,69,96.57
30-0.02-1c,1c-1f,70,98.19
30-0.02-1c,1c-1f,71,98.75
30-0.02-1c,1c-1f,72,101.84
30-0.02-1c,1c-1f,73,103.16
30-0.02-1c,1c-1f,74,104.48
30-0.02-1c,1c-1f,75,105.84
30-0.02-1c,1c-1f,76,106.36
30-0.02-1c,1c-1f,77,107.2
30-0.02-1c,1c-1f,78,107.73
30-0.02-1c,1c-1f,79,109.13
30-0.02-1c,1c-1f,80,112.22
30-0.02-1c,1c-1f,81,119.32
30-0.02-1c,1c-1f,82,120.0
30-0.02-1c,1c-1f,83,122.09
30-0.02-1c,1c-1f,84,124.46
30-0.02-1c,1c-1f,85,124.53
30-0.02-1c,1c-1f,86,126.32
30-0.02-1c,1c-1f,87,127.7
30-0.02-1c,1c-1f,88,130.76
30-0.02-1c,1c-1f,89,132.21
30-0.02-1c,1c-1f,90,137.9
30-0.02-1c,1c-1f,91,138.23
30-0.02-1c,1c-1f,92,138.99
30-0.02-1c,1c-1f,93,140.45
30-0.02-1c,1c-1f,94,141.44
30-0.02-1c,1c-1f,95,144.49
30-0.02-1c,1c-1f,96,147.43
30-0.02-1c,1c-1f,97,150.5
30-0.02-1c,1c-1f,98,150.94
30-0.02-1c,1c-1f,99,151.1
30-0.02-1c,1c-1f,100,151.14
30-0.02-1c,1c-1f,101,152.67
30-0.02-1c,1c-1f,102,152.92
30-0.02-1c,1c-1f,103,153.9
30-0.02-1c,1c-1f,104,155.8
30-0.02-1c,1c-1f,105,158.5
30-0.02-1c,1c-1f,106,160.84
30-0.02-1c,1c-1f,107,162.23
30-0.02-1c,1c-1f,108,168.19
30-0.02-1c,1c-1f,109,170.97
30-0.02-1c,1c-1f,110,172.08
30-0.02-1c,1c-1f,111,172.76
30-0.02-1c,1c-1f,112,177.12
30-0.02-1c,1c-1f,113,178.89
30-0.02-1c,1c-1f,114,179.17
30-0.02-1c,1c-1f,115,180.91
30-0.02-1c,1c-1f,116,181.76
30-0.02-1c,1c-1f,117,182.12
30-0.02-1c,1c-1f,118,187.18
30-0.02-1c,1c-1f,119,187.55
30-0.02-1c,1c-1f,120,190.4
30-0.02-1c,1c-1f,121,191.61
30-0.02-1c,1c-1f,122,192.09
30-0.02-1c,1c-1f,123,192.2
30-0.02-1c,1c-1f,124,193.67
30-0.02-1c,1c-1f,125,194.98
30-0.02-1c,1c-1f,126,195.12
30-0.02-1c,1c-1f,127,195.81
30-0.02-1c,1c-1f,128,197.48
30-0.02-1c,1c-1f,129,197.88
30-0.02-1c,1c-1f,130,199.46
30-0.02-1c,1c-1f,131,200.0
30-0.02-1c,1c-1f,132,201.04
30-0.02-1c,1c-1f,133,204.14
30-0.02-1c,1c-1f,134,207.59
30-0.02-1c,1c-1f,135,207.78
30-0.02-1c,1c-1f,136,208.18
30-0.02-1c,1c-1f,137,209.55
30-0.02-1c,1c-1f,138,210.02
30-0.02-1c,1c-1f,139,212.74
30-0.02-1c,1c-1f,140,216.5
30-0.02-1c,1c-1f,141,217.0
30-0.02-1c,1c-1f,142,218.24
30-0.02-1c,1c-1f,143,218.88
30-0.02-1c,1c-1f,144,218.96
30-0.02-1c,1c-1f,145,222.25
30-0.02-1c,1c-1f,146,224.38
30-0.02-1c,1c-1f,147,227.8
30-0.02-1c,1c-1f,148,227.94
30-0.02-1c,1c-1f,149,228.29
30-0.02-1c,1c-1f,150,228.98
30-0.02-1c,1c-1f,151,229.5
30-0.02-1c,1c-1f,152,230.13
30-0.02-1c,1c-1f,153,230.74
30-0.02-1c,1c-1f,154,231.02
30-0.02-1c,1c-1f,155,234.42
30-0.02-1c,1c-1f,156,237.53
30-0.02-1c,1c-1f,157,238.44
30-0.02-1c,1c-1f,158,238.94
30-0.02-1c,1c-1f,159,239.42
30-0.02-1c,1c-1f,160,242.46
30-0.02-1c,1c-1f,161,244.96
30-0.02-1c,1c-1f,162,246.1
30-0.02-1c,1c-1f,163,246.85
30-0.02-1c,1c-1f,164,248.09
30-0.02-1c,1c-1f,165,249.14
30-0.02-1c,1c-1f,166,249.82
30-0.02-1c,1c-1f,167,249.88
30-0.02-1c,1c-1f,168,250.96
30-0.02-1c,1c-1f,169,250.97
30-0.02-1c,1c-1f,170,251.46
30-0.02-1c,1c-1f,171,251.5
30-0.02-1c,1c-1f,172,253.08
30-0.02-1c,1c-1f,173,254.08
30-0.02-1c,1c-1f,174,254.53
30-0.02-1c,1c-1f,175,256.27
30-0.02-1c,1c-1f,176,256.86
30-0.02-1c,1c-1f,177,257.71
30-0.02-1c,1c-1f,178,259.94
30-0.02-1c,1c-1f,179,261.74
30-0.02-1c,1c-1f,180,263.41
30-0.02-1c,1c-1f,181,265.54
30-0.02-1c,1c-1f,182,266.06
30-0.02-1c,1c-1f,183,268.4
30-0.02-1c,1c-1f,184,269.38
30-0.02-1c,1c-1f,185,270.44
30-0.02-1c,1c-1f,186,271.18
30-0.02-1c,1c-1f,187,271.64
30-0.02-1c,1c-1f,188,272.34
30-0.02-1c,1c-1f,189,272.66
30-0.02-1c,1c-1f,190,273.71
30-0.02-1c,1c-1f,191,274.5
30-0.02-1c,1c-1f,192,274.68
30-0.02-1c,1c-1f,193,276.07
30-0.02-1c,1c-1f,194,277.85
30-0.02-1c,1c-1f,195,278.66
30-0.02-1c,1c-1f,196,280.62
30-0.02-1c,1c-1f,197,281.16
30-0.02-1c,1c-1f,198,281.26
30-0.02-1c,1c-1f,199,281.34
30-0.02-1c,1c-1f,200,281.92
