test,approach,answer,time,responseTime
30-0.02-1c,1c-1f,1,3.47,4019408.00
30-0.02-1c,1c-1f,2,3.50,4621351.00
30-0.02-1c,1c-1f,3,3.68,3925477.00
30-0.02-1c,1c-1f,4,4.32,3580752.00
30-0.02-1c,1c-1f,5,8.70,4537689.00
30-0.02-1c,1c-1f,6,9.50,4159192.00
30-0.02-1c,1c-1f,7,11.85,2662914.00
30-0.02-1c,1c-1f,8,12.29,4101517.00
30-0.02-1c,1c-1f,9,14.59,958898.00
30-0.02-1c,1c-1f,10,17.27,3221733.00
30-0.02-1c,1c-1f,11,18.30,4353720.00
30-0.02-1c,1c-1f,12,20.86,748533.00
30-0.02-1c,1c-1f,13,21.74,5160777.00
30-0.02-1c,1c-1f,14,22.57,3112816.00
30-0.02-1c,1c-1f,15,24.39,4283193.00
30-0.02-1c,1c-1f,16,26.45,3900029.00
30-0.02-1c,1c-1f,17,27.32,3418197.00
30-0.02-1c,1c-1f,18,27.54,4360301.00
30-0.02-1c,1c-1f,19,27.79,1107922.00
30-0.02-1c,1c-1f,20,31.27,3712104.00
30-0.02-1c,1c-1f,21,32.43,3971045.00
30-0.02-1c,1c-1f,22,33.44,3949561.00
30-0.02-1c,1c-1f,23,33.66,3978092.00
30-0.02-1c,1c-1f,24,34.04,659581.00
30-0.02-1c,1c-1f,25,34.39,3520912.00
30-0.02-1c,1c-1f,26,35.70,785894.00
30-0.02-1c,1c-1f,27,36.10,3470962.00
30-0.02-1c,1c-1f,28,36.48,558634.00
30-0.02-1c,1c-1f,29,37.29,4544487.00
30-0.02-1c,1c-1f,30,37.64,865006.00
30-0.02-1c,1c-1f,31,39.44,4170689.00
30-0.02-1c,1c-1f,32,44.16,4397625.00
30-0.02-1c,1c-1f,33,44.23,6765747.00
30-0.02-1c,1c-1f,34,46.59,656703.00
30-0.02-1c,1c-1f,35,46.97,2931475.00
30-0.02-1c,1c-1f,36,47.66,3752092.00
30-0.02-1c,1c-1f,37,48.52,4325196.00
30-0.02-1c,1c-1f,38,49.41,3997770.00
30-0.02-1c,1c-1f,39,49.77,584489.00
30-0.02-1c,1c-1f,40,50.15,3837575.00
30-0.02-1c,1c-1f,41,52.59,3269350.00
30-0.02-1c,1c-1f,42,55.95,4037312.00
30-0.02-1c,1c-1f,43,58.27,4081532.00
30-0.02-1c,1c-1f,44,62.37,554993.00
30-0.02-1c,1c-1f,45,63.06,4991605.00
30-0.02-1c,1c-1f,46,65.36,763104.00
30-0.02-1c,1c-1f,47,67.21,2942791.00
30-0.02-1c,1c-1f,48,68.03,2425404.00
30-0.02-1c,1c-1f,49,73.68,989567.00
30-0.02-1c,1c-1f,50,74.25,3153769.00
30-0.02-1c,1c-1f,51,74.61,700167.00
30-0.02-1c,1c-1f,52,74.90,2611830.00
30-0.02-1c,1c-1f,53,75.70,1033407.00
30-0.02-1c,1c-1f,54,77.27,3351361.00
30-0.02-1c,1c-1f,55,81.24,3428922.00
30-0.02-1c,1c-1f,56,81.39,2141607.00
30-0.02-1c,1c-1f,57,82.90,4255799.00
30-0.02-1c,1c-1f,58,89.05,3462544.00
30-0.02-1c,1c-1f,59,89.21,3377567.00
30-0.02-1c,1c-1f,60,89.85,571556.00
30-0.02-1c,1c-1f,61,90.07,3703916.00
30-0.02-1c,1c-1f,62,90.42,917902.00
30-0.02-1c,1c-1f,63,90.75,3589258.00
30-0.02-1c,1c-1f,64,90.84,1391742.00
30-0.02-1c,1c-1f,65,93.34,712464.00
30-0.02-1c,1c-1f,66,93.91,3121004.00
30-0.02-1c,1c-1f,67,94.03,3420629.00
30-0.02-1c,1c-1f,68,95.86,2055000.00
30-0.02-1c,1c-1f,69,96.52,2099594.00
30-0.02-1c,1c-1f,70,98.14,2477058.00
30-0.02-1c,1c-1f,71,98.69,1396969.00
30-0.02-1c,1c-1f,72,101.78,2943564.00
30-0.02-1c,1c-1f,73,103.10,605155.00
30-0.02-1c,1c-1f,74,104.41,1700612.00
30-0.02-1c,1c-1f,75,105.76,1353156.00
30-0.02-1c,1c-1f,76,106.28,3327062.00
30-0.02-1c,1c-1f,77,107.12,3681743.00
30-0.02-1c,1c-1f,78,107.64,3720764.00
30-0.02-1c,1c-1f,79,109.04,978308.00
30-0.02-1c,1c-1f,80,112.12,953215.00
30-0.02-1c,1c-1f,81,119.22,4673028.00
30-0.02-1c,1c-1f,82,119.89,1547218.00
30-0.02-1c,1c-1f,83,121.98,909885.00
30-0.02-1c,1c-1f,84,124.35,695773.00
30-0.02-1c,1c-1f,85,124.42,2689521.00
30-0.02-1c,1c-1f,86,126.21,1425460.00
30-0.02-1c,1c-1f,87,127.59,2386610.00
30-0.02-1c,1c-1f,88,130.65,3424629.00
30-0.02-1c,1c-1f,89,132.08,4322195.00
30-0.02-1c,1c-1f,90,137.76,2684457.00
30-0.02-1c,1c-1f,91,138.08,570497.00
30-0.02-1c,1c-1f,92,138.85,3658589.00
30-0.02-1c,1c-1f,93,140.31,3948985.00
30-0.02-1c,1c-1f,94,141.30,2769362.00
30-0.02-1c,1c-1f,95,144.35,3536282.00
30-0.02-1c,1c-1f,96,147.28,3452545.00
30-0.02-1c,1c-1f,97,150.36,1201796.00
30-0.02-1c,1c-1f,98,150.80,2626248.00
30-0.02-1c,1c-1f,99,150.97,3318462.00
30-0.02-1c,1c-1f,100,151.00,3845390.00
30-0.02-1c,1c-1f,101,152.51,3100680.00
30-0.02-1c,1c-1f,102,152.76,578768.00
30-0.02-1c,1c-1f,103,153.75,686293.00
30-0.02-1c,1c-1f,104,155.63,691872.00
30-0.02-1c,1c-1f,105,158.33,892541.00
30-0.02-1c,1c-1f,106,160.67,4321826.00
30-0.02-1c,1c-1f,107,162.06,3231649.00
30-0.02-1c,1c-1f,108,168.02,3672208.00
30-0.02-1c,1c-1f,109,170.79,3864202.00
30-0.02-1c,1c-1f,110,171.90,3661010.00
30-0.02-1c,1c-1f,111,172.57,1301999.00
30-0.02-1c,1c-1f,112,176.92,3190234.00
30-0.02-1c,1c-1f,113,178.68,1068366.00
30-0.02-1c,1c-1f,114,178.97,3576391.00
30-0.02-1c,1c-1f,115,180.70,976378.00
30-0.02-1c,1c-1f,116,181.56,3035168.00
30-0.02-1c,1c-1f,117,181.91,4403040.00
30-0.02-1c,1c-1f,118,186.96,3013204.00
30-0.02-1c,1c-1f,119,187.33,2541804.00
30-0.02-1c,1c-1f,120,190.17,3651567.00
30-0.02-1c,1c-1f,121,191.38,3279321.00
30-0.02-1c,1c-1f,122,191.87,1876760.00
30-0.02-1c,1c-1f,123,191.98,3370404.00
30-0.02-1c,1c-1f,124,193.44,4175906.00
30-0.02-1c,1c-1f,125,194.74,3013757.00
30-0.02-1c,1c-1f,126,194.88,762432.00
30-0.02-1c,1c-1f,127,195.57,3255753.00
30-0.02-1c,1c-1f,128,197.23,3384745.00
30-0.02-1c,1c-1f,129,197.63,5181409.00
30-0.02-1c,1c-1f,130,199.21,1378942.00
30-0.02-1c,1c-1f,131,199.74,5086570.00
30-0.02-1c,1c-1f,132,200.80,642422.00
30-0.02-1c,1c-1f,133,203.89,3220760.00
30-0.02-1c,1c-1f,134,207.33,2293442.00
30-0.02-1c,1c-1f,135,207.52,3029024.00
30-0.02-1c,1c-1f,136,207.93,4064515.00
30-0.02-1c,1c-1f,137,209.29,1132860.00
30-0.02-1c,1c-1f,138,209.76,547674.00
30-0.02-1c,1c-1f,139,212.48,1554149.00
30-0.02-1c,1c-1f,140,216.24,3035390.00
30-0.02-1c,1c-1f,141,216.75,569301.00
30-0.02-1c,1c-1f,142,217.98,1598648.00
30-0.02-1c,1c-1f,143,218.62,609556.00
30-0.02-1c,1c-1f,144,218.70,3127485.00
30-0.02-1c,1c-1f,145,221.99,4218397.00
30-0.02-1c,1c-1f,146,224.11,3684195.00
30-0.02-1c,1c-1f,147,227.53,3586166.00
30-0.02-1c,1c-1f,148,227.68,3157001.00
30-0.02-1c,1c-1f,149,228.02,3085924.00
30-0.02-1c,1c-1f,150,228.70,781460.00
30-0.02-1c,1c-1f,151,229.22,3566630.00
30-0.02-1c,1c-1f,152,229.86,675461.00
30-0.02-1c,1c-1f,153,230.46,686086.00
30-0.02-1c,1c-1f,154,230.76,3038354.00
30-0.02-1c,1c-1f,155,234.15,3789619.00
30-0.02-1c,1c-1f,156,237.25,3456530.00
30-0.02-1c,1c-1f,157,238.16,3535879.00
30-0.02-1c,1c-1f,158,238.67,2809627.00
30-0.02-1c,1c-1f,159,239.15,3081119.00
30-0.02-1c,1c-1f,160,242.20,735136.00
30-0.02-1c,1c-1f,161,244.70,1105587.00
30-0.02-1c,1c-1f,162,245.84,2094357.00
30-0.02-1c,1c-1f,163,246.58,3725528.00
30-0.02-1c,1c-1f,164,247.83,4405825.00
30-0.02-1c,1c-1f,165,248.87,3951757.00
30-0.02-1c,1c-1f,166,249.55,4114384.00
30-0.02-1c,1c-1f,167,249.61,2366091.00
30-0.02-1c,1c-1f,168,250.70,3413692.00
30-0.02-1c,1c-1f,169,250.70,2706475.00
30-0.02-1c,1c-1f,170,251.20,675567.00
30-0.02-1c,1c-1f,171,251.24,3536597.00
30-0.02-1c,1c-1f,172,252.82,4332121.00
30-0.02-1c,1c-1f,173,253.82,3936931.00
30-0.02-1c,1c-1f,174,254.27,3528529.00
30-0.02-1c,1c-1f,175,256.00,3428137.00
30-0.02-1c,1c-1f,176,256.59,3795020.00
30-0.02-1c,1c-1f,177,257.44,3806644.00
30-0.02-1c,1c-1f,178,259.67,1280688.00
30-0.02-1c,1c-1f,179,261.47,5313939.00
30-0.02-1c,1c-1f,180,263.13,2507876.00
30-0.02-1c,1c-1f,181,265.25,3472097.00
30-0.02-1c,1c-1f,182,265.77,3750629.00
30-0.02-1c,1c-1f,183,268.11,3854000.00
30-0.02-1c,1c-1f,184,269.09,719456.00
30-0.02-1c,1c-1f,185,270.14,7108427.00
30-0.02-1c,1c-1f,186,270.88,2754720.00
30-0.02-1c,1c-1f,187,271.33,3503255.00
30-0.02-1c,1c-1f,188,272.03,3771300.00
30-0.02-1c,1c-1f,189,272.35,3852598.00
30-0.02-1c,1c-1f,190,273.40,2926780.00
30-0.02-1c,1c-1f,191,274.19,3017102.00
30-0.02-1c,1c-1f,192,274.38,2750349.00
30-0.02-1c,1c-1f,193,275.76,529687.00
30-0.02-1c,1c-1f,194,277.54,3911894.00
30-0.02-1c,1c-1f,195,278.36,3367175.00
30-0.02-1c,1c-1f,196,280.32,600123.00
30-0.02-1c,1c-1f,197,280.85,1189086.00
30-0.02-1c,1c-1f,198,280.96,2909748.00
30-0.02-1c,1c-1f,199,281.03,3208141.00
30-0.02-1c,1c-1f,200,281.61,2608195.00
30-0.02-1c,1c-1f,201,282.04,1418321.00
30-0.02-1c,1c-1f,202,282.58,1418253.00
30-0.02-1c,1c-1f,203,282.80,3604550.00
30-0.02-1c,1c-1f,204,283.09,972982.00
30-0.02-1c,1c-1f,205,283.64,3487240.00
30-0.02-1c,1c-1f,206,284.08,4526091.00
30-0.02-1c,1c-1f,207,285.64,3565871.00
30-0.02-1c,1c-1f,208,296.45,3682092.00
30-0.02-1c,1c-1f,209,297.56,4366437.00
30-0.02-1c,1c-1f,210,299.79,3422885.00
30-0.02-1c,1c-1f,211,299.93,834320.00
30-0.02-1c,1c-1f,212,300.60,3333381.00
30-0.02-1c,1c-1f,213,302.51,3805266.00
30-0.02-1c,1c-1f,214,307.38,3563465.00
30-0.02-1c,1c-1f,215,307.54,3581300.00
30-0.02-1c,1c-1f,216,309.85,4122998.00
30-0.02-1c,1c-1f,217,311.61,3925158.00
30-0.02-1c,1c-1f,218,312.23,2317537.00
30-0.02-1c,1c-1f,219,312.50,1385520.00
30-0.02-1c,1c-1f,220,313.38,2678390.00
30-0.02-1c,1c-1f,221,317.86,3298439.00
30-0.02-1c,1c-1f,222,318.52,2740588.00
30-0.02-1c,1c-1f,223,318.81,626270.00
30-0.02-1c,1c-1f,224,319.56,4411059.00
30-0.02-1c,1c-1f,225,319.59,2204914.00
30-0.02-1c,1c-1f,226,319.62,3692464.00
30-0.02-1c,1c-1f,227,320.05,3030783.00
30-0.02-1c,1c-1f,228,322.46,3184248.00
30-0.02-1c,1c-1f,229,323.11,1467141.00
30-0.02-1c,1c-1f,230,325.71,959731.00
30-0.02-1c,1c-1f,231,325.88,3918776.00
30-0.02-1c,1c-1f,232,326.46,2280222.00
30-0.02-1c,1c-1f,233,328.58,2326558.00
30-0.02-1c,1c-1f,234,329.17,1971835.00
30-0.02-1c,1c-1f,235,331.86,2257037.00
30-0.02-1c,1c-1f,236,332.22,3830760.00
30-0.02-1c,1c-1f,237,333.38,3721139.00
30-0.02-1c,1c-1f,238,335.11,1285431.00
30-0.02-1c,1c-1f,239,335.99,4328062.00
