test,approach,answer,time
30-0.02-1c,1c-1f,1,3.48
30-0.02-1c,1c-1f,2,3.5
30-0.02-1c,1c-1f,3,3.68
30-0.02-1c,1c-1f,4,4.32
30-0.02-1c,1c-1f,5,8.7
30-0.02-1c,1c-1f,6,9.51
30-0.02-1c,1c-1f,7,11.86
30-0.02-1c,1c-1f,8,12.3
30-0.02-1c,1c-1f,9,14.6
30-0.02-1c,1c-1f,10,17.29
30-0.02-1c,1c-1f,11,18.31
30-0.02-1c,1c-1f,12,20.88
30-0.02-1c,1c-1f,13,21.76
30-0.02-1c,1c-1f,14,22.58
30-0.02-1c,1c-1f,15,24.4
30-0.02-1c,1c-1f,16,26.46
30-0.02-1c,1c-1f,17,27.34
30-0.02-1c,1c-1f,18,27.56
30-0.02-1c,1c-1f,19,27.8
30-0.02-1c,1c-1f,20,31.28
30-0.02-1c,1c-1f,21,32.44
30-0.02-1c,1c-1f,22,33.46
30-0.02-1c,1c-1f,23,33.67
30-0.02-1c,1c-1f,24,34.06
30-0.02-1c,1c-1f,25,34.4
30-0.02-1c,1c-1f,26,35.72
30-0.02-1c,1c-1f,27,36.12
30-0.02-1c,1c-1f,28,36.49
30-0.02-1c,1c-1f,29,37.3
30-0.02-1c,1c-1f,30,37.65
30-0.02-1c,1c-1f,31,39.44
30-0.02-1c,1c-1f,32,44.16
30-0.02-1c,1c-1f,33,44.23
30-0.02-1c,1c-1f,34,46.6
30-0.02-1c,1c-1f,35,46.97
30-0.02-1c,1c-1f,36,47.66
30-0.02-1c,1c-1f,37,48.53
30-0.02-1c,1c-1f,38,49.42
30-0.02-1c,1c-1f,39,49.78
30-0.02-1c,1c-1f,40,50.16
30-0.02-1c,1c-1f,41,52.6
30-0.02-1c,1c-1f,42,55.96
30-0.02-1c,1c-1f,43,58.3
30-0.02-1c,1c-1f,44,62.38
30-0.02-1c,1c-1f,45,63.08
30-0.02-1c,1c-1f,46,65.38
30-0.02-1c,1c-1f,47,67.22
30-0.02-1c,1c-1f,48,68.04
30-0.02-1c,1c-1f,49,73.71
30-0.02-1c,1c-1f,50,74.27
30-0.02-1c,1c-1f,51,74.63
30-0.02-1c,1c-1f,52,74.92
30-0.02-1c,1c-1f,53,75.72
30-0.02-1c,1c-1f,54,77.29
30-0.02-1c,1c-1f,55,81.26
30-0.02-1c,1c-1f,56,81.41
30-0.02-1c,1c-1f,57,82.92
30-0.02-1c,1c-1f,58,89.06
30-0.02-1c,1c-1f,59,89.22
30-0.02-1c,1c-1f,60,89.87
30-0.02-1c,1c-1f,61,90.09
30-0.02-1c,1c-1f,62,90.44
30-0.02-1c,1c-1f,63,90.77
30-0.02-1c,1c-1f,64,90.86
30-0.02-1c,1c-1f,65,93.36
30-0.02-1c,1c-1f,66,93.94
30-0.02-1c,1c-1f,67,94.06
30-0.02-1c,1c-1f,68,95.88
30-0.02-1c,1c-1f,69,96.54
30-0.02-1c,1c-1f,70,98.16
30-0.02-1c,1c-1f,71,98.72
30-0.02-1c,1c-1f,72,101.81
30-0.02-1c,1c-1f,73,103.14
30-0.02-1c,1c-1f,74,104.44
30-0.02-1c,1c-1f,75,105.8
30-0.02-1c,1c-1f,76,106.32
30-0.02-1c,1c-1f,77,107.16
30-0.02-1c,1c-1f,78,107.68
30-0.02-1c,1c-1f,79,109.08
30-0.02-1c,1c-1f,80,112.16
30-0.02-1c,1c-1f,81,119.26
30-0.02-1c,1c-1f,82,119.94
30-0.02-1c,1c-1f,83,122.02
30-0.02-1c,1c-1f,84,124.4
30-0.02-1c,1c-1f,85,124.46
30-0.02-1c,1c-1f,86,126.26
30-0.02-1c,1c-1f,87,127.64
30-0.02-1c,1c-1f,88,130.7
30-0.02-1c,1c-1f,89,132.14
30-0.02-1c,1c-1f,90,137.82
30-0.02-1c,1c-1f,91,138.15
30-0.02-1c,1c-1f,92,138.91
30-0.02-1c,1c-1f,93,140.37
30-0.02-1c,1c-1f,94,141.36
30-0.02-1c,1c-1f,95,144.43
30-0.02-1c,1c-1f,96,147.36
30-0.02-1c,1c-1f,97,150.44
30-0.02-1c,1c-1f,98,150.88
30-0.02-1c,1c-1f,99,151.05
30-0.02-1c,1c-1f,100,151.07
30-0.02-1c,1c-1f,101,152.6
30-0.02-1c,1c-1f,102,152.84
30-0.02-1c,1c-1f,103,153.83
30-0.02-1c,1c-1f,104,155.71
30-0.02-1c,1c-1f,105,158.42
30-0.02-1c,1c-1f,106,160.76
30-0.02-1c,1c-1f,107,162.15
30-0.02-1c,1c-1f,108,168.11
30-0.02-1c,1c-1f,109,170.88
30-0.02-1c,1c-1f,110,171.99
30-0.02-1c,1c-1f,111,172.66
30-0.02-1c,1c-1f,112,177.02
30-0.02-1c,1c-1f,113,178.78
30-0.02-1c,1c-1f,114,179.08
30-0.02-1c,1c-1f,115,180.81
30-0.02-1c,1c-1f,116,181.67
30-0.02-1c,1c-1f,117,182.02
30-0.02-1c,1c-1f,118,187.07
30-0.02-1c,1c-1f,119,187.44
30-0.02-1c,1c-1f,120,190.27
30-0.02-1c,1c-1f,121,191.48
30-0.02-1c,1c-1f,122,191.97
30-0.02-1c,1c-1f,123,192.08
30-0.02-1c,1c-1f,124,193.54
30-0.02-1c,1c-1f,125,194.84
30-0.02-1c,1c-1f,126,194.98
30-0.02-1c,1c-1f,127,195.67
30-0.02-1c,1c-1f,128,197.34
30-0.02-1c,1c-1f,129,197.74
30-0.02-1c,1c-1f,130,199.32
30-0.02-1c,1c-1f,131,199.85
30-0.02-1c,1c-1f,132,200.9
30-0.02-1c,1c-1f,133,204.0
30-0.02-1c,1c-1f,134,207.44
30-0.02-1c,1c-1f,135,207.62
30-0.02-1c,1c-1f,136,208.03
30-0.02-1c,1c-1f,137,209.39
30-0.02-1c,1c-1f,138,209.86
30-0.02-1c,1c-1f,139,212.58
30-0.02-1c,1c-1f,140,216.34
30-0.02-1c,1c-1f,141,216.84
30-0.02-1c,1c-1f,142,218.08
30-0.02-1c,1c-1f,143,218.72
30-0.02-1c,1c-1f,144,218.8
30-0.02-1c,1c-1f,145,222.08
30-0.02-1c,1c-1f,146,224.2
30-0.02-1c,1c-1f,147,227.62
30-0.02-1c,1c-1f,148,227.77
30-0.02-1c,1c-1f,149,228.12
30-0.02-1c,1c-1f,150,228.8
30-0.02-1c,1c-1f,151,229.32
30-0.02-1c,1c-1f,152,229.95
30-0.02-1c,1c-1f,153,230.55
30-0.02-1c,1c-1f,154,230.85
30-0.02-1c,1c-1f,155,234.24
30-0.02-1c,1c-1f,156,237.34
30-0.02-1c,1c-1f,157,238.25
30-0.02-1c,1c-1f,158,238.76
30-0.02-1c,1c-1f,159,239.24
30-0.02-1c,1c-1f,160,242.27
30-0.02-1c,1c-1f,161,244.78
30-0.02-1c,1c-1f,162,245.92
30-0.02-1c,1c-1f,163,246.66
30-0.02-1c,1c-1f,164,247.9
30-0.02-1c,1c-1f,165,248.94
30-0.02-1c,1c-1f,166,249.62
30-0.02-1c,1c-1f,167,249.68
30-0.02-1c,1c-1f,168,250.77
30-0.02-1c,1c-1f,169,250.77
30-0.02-1c,1c-1f,170,251.27
30-0.02-1c,1c-1f,171,251.32
30-0.02-1c,1c-1f,172,252.9
30-0.02-1c,1c-1f,173,253.9
30-0.02-1c,1c-1f,174,254.34
30-0.02-1c,1c-1f,175,256.08
30-0.02-1c,1c-1f,176,256.66
30-0.02-1c,1c-1f,177,257.51
30-0.02-1c,1c-1f,178,259.74
30-0.02-1c,1c-1f,179,261.54
30-0.02-1c,1c-1f,180,263.2
30-0.02-1c,1c-1f,181,265.32
30-0.02-1c,1c-1f,182,265.84
30-0.02-1c,1c-1f,183,268.18
30-0.02-1c,1c-1f,184,269.16
30-0.02-1c,1c-1f,185,270.22
30-0.02-1c,1c-1f,186,270.95
30-0.02-1c,1c-1f,187,271.4
30-0.02-1c,1c-1f,188,272.1
30-0.02-1c,1c-1f,189,272.42
30-0.02-1c,1c-1f,190,273.48
30-0.02-1c,1c-1f,191,274.26
30-0.02-1c,1c-1f,192,274.46
30-0.02-1c,1c-1f,193,275.84
30-0.02-1c,1c-1f,194,277.62
30-0.02-1c,1c-1f,195,278.44
30-0.02-1c,1c-1f,196,280.4
30-0.02-1c,1c-1f,197,280.94
30-0.02-1c,1c-1f,198,281.04
30-0.02-1c,1c-1f,199,281.12
30-0.02-1c,1c-1f,200,281.7
30-0.02-1c,1c-1f,201,282.12
30-0.02-1c,1c-1f,202,282.66
30-0.02-1c,1c-1f,203,282.88
30-0.02-1c,1c-1f,204,283.17
30-0.02-1c,1c-1f,205,283.73
30-0.02-1c,1c-1f,206,284.16
30-0.02-1c,1c-1f,207,285.72
30-0.02-1c,1c-1f,208,296.52
30-0.02-1c,1c-1f,209,297.63
30-0.02-1c,1c-1f,210,299.86
30-0.02-1c,1c-1f,211,300.0
30-0.02-1c,1c-1f,212,300.68
30-0.02-1c,1c-1f,213,302.59
30-0.02-1c,1c-1f,214,307.46
30-0.02-1c,1c-1f,215,307.62
30-0.02-1c,1c-1f,216,309.94
30-0.02-1c,1c-1f,217,311.7
30-0.02-1c,1c-1f,218,312.32
30-0.02-1c,1c-1f,219,312.59
30-0.02-1c,1c-1f,220,313.47
30-0.02-1c,1c-1f,221,317.94
30-0.02-1c,1c-1f,222,318.6
30-0.02-1c,1c-1f,223,318.9
30-0.02-1c,1c-1f,224,319.64
30-0.02-1c,1c-1f,225,319.67
30-0.02-1c,1c-1f,226,319.71
30-0.02-1c,1c-1f,227,320.13
30-0.02-1c,1c-1f,228,322.54
30-0.02-1c,1c-1f,229,323.19
30-0.02-1c,1c-1f,230,325.79
30-0.02-1c,1c-1f,231,325.96
