test,approach,answer,time,responseTime
30-0.02-1c,1c-1f,1,3.47,3324936.00
30-0.02-1c,1c-1f,2,3.50,4826607.00
30-0.02-1c,1c-1f,3,3.68,3787617.00
30-0.02-1c,1c-1f,4,4.32,3640077.00
30-0.02-1c,1c-1f,5,8.70,3700502.00
30-0.02-1c,1c-1f,6,9.50,4037337.00
30-0.02-1c,1c-1f,7,11.87,3097466.00
30-0.02-1c,1c-1f,8,12.30,4028457.00
30-0.02-1c,1c-1f,9,14.59,605688.00
30-0.02-1c,1c-1f,10,17.28,3389359.00
30-0.02-1c,1c-1f,11,18.31,3910338.00
30-0.02-1c,1c-1f,12,20.87,819149.00
30-0.02-1c,1c-1f,13,21.75,2186018.00
30-0.02-1c,1c-1f,14,22.59,2935802.00
30-0.02-1c,1c-1f,15,24.40,3156302.00
30-0.02-1c,1c-1f,16,26.45,4990341.00
30-0.02-1c,1c-1f,17,27.33,2768641.00
30-0.02-1c,1c-1f,18,27.55,3943921.00
30-0.02-1c,1c-1f,19,27.80,3398325.00
30-0.02-1c,1c-1f,20,31.28,1359561.00
30-0.02-1c,1c-1f,21,32.44,1874319.00
30-0.02-1c,1c-1f,22,33.46,3668304.00
30-0.02-1c,1c-1f,23,33.67,3695081.00
30-0.02-1c,1c-1f,24,34.05,568700.00
30-0.02-1c,1c-1f,25,34.40,3953999.00
30-0.02-1c,1c-1f,26,35.72,884901.00
30-0.02-1c,1c-1f,27,36.12,3490456.00
30-0.02-1c,1c-1f,28,36.50,1011011.00
30-0.02-1c,1c-1f,29,37.31,1885159.00
30-0.02-1c,1c-1f,30,37.65,2067523.00
30-0.02-1c,1c-1f,31,39.45,3431889.00
30-0.02-1c,1c-1f,32,44.18,3382515.00
30-0.02-1c,1c-1f,33,44.25,6516793.00
30-0.02-1c,1c-1f,34,46.61,705508.00
30-0.02-1c,1c-1f,35,46.99,2311511.00
30-0.02-1c,1c-1f,36,47.67,3563117.00
30-0.02-1c,1c-1f,37,48.53,2097689.00
30-0.02-1c,1c-1f,38,49.43,3220199.00
30-0.02-1c,1c-1f,39,49.79,1205677.00
30-0.02-1c,1c-1f,40,50.18,4432292.00
30-0.02-1c,1c-1f,41,52.62,3611592.00
30-0.02-1c,1c-1f,42,55.99,5120528.00
30-0.02-1c,1c-1f,43,58.32,4598915.00
30-0.02-1c,1c-1f,44,62.42,2166118.00
30-0.02-1c,1c-1f,45,63.11,4097837.00
30-0.02-1c,1c-1f,46,65.41,1132467.00
30-0.02-1c,1c-1f,47,67.25,898872.00
30-0.02-1c,1c-1f,48,68.07,2281863.00
30-0.02-1c,1c-1f,49,73.73,1984715.00
30-0.02-1c,1c-1f,50,74.29,3018366.00
30-0.02-1c,1c-1f,51,74.65,2051347.00
30-0.02-1c,1c-1f,52,74.94,1680094.00
30-0.02-1c,1c-1f,53,75.74,1009261.00
30-0.02-1c,1c-1f,54,77.31,3282430.00
30-0.02-1c,1c-1f,55,81.28,1286489.00
30-0.02-1c,1c-1f,56,81.43,1413913.00
30-0.02-1c,1c-1f,57,82.93,3553586.00
30-0.02-1c,1c-1f,58,89.08,3155205.00
30-0.02-1c,1c-1f,59,89.25,4023557.00
30-0.02-1c,1c-1f,60,89.89,719236.00
30-0.02-1c,1c-1f,61,90.11,3311992.00
30-0.02-1c,1c-1f,62,90.46,599541.00
30-0.02-1c,1c-1f,63,90.79,4055872.00
30-0.02-1c,1c-1f,64,90.88,2060717.00
