cardholderid,amount_avg_withdrawal,amount_std_withdrawal,withdrawal_day,amount_avg_deposit,amount_std_deposit,deposit_day,inquiry_day,amount_avg_transfer,amount_std_transfer,transfer_day
RI-004-1018,21475.98,22903.99,0.6274,11365.85,6163.42,0.1123,0.1233,20776.12,21315.68,0.1836
FC-005-1022,21574.23,21871.39,0.9781,9985.29,6732.62,0.1863,0.2192,19750.0,22426.82,0.3288
FC-005-1024,23719.79,25558.73,1.0658,10850.57,6385.9,0.2384,0.1973,20433.82,21232.3,0.3726
FC-006-1007,22493.46,23635.38,0.8384,9011.76,6637.72,0.2329,0.211,19159.72,21034.99,0.3945
FC-006-1036,21366.39,24800.66,0.9945,9710.14,6407.95,0.189,0.2192,22746.48,24947.44,0.389
FC-006-1037,21991.4,23543.73,0.9562,9984.62,6188.43,0.1781,0.211,22839.16,25514.05,0.3918
LA-005-1151,22483.87,21301.47,0.2548,9105.26,4135.14,0.0521,0.0548,19393.94,23477.3,0.0904
RI-001-1037,21216.22,24091.42,0.6082,11911.11,6006.9,0.1233,0.0959,20792.21,20544.78,0.211
RI-003-1033,21568.38,23779.87,0.6411,10113.64,5017.25,0.1205,0.1123,21037.5,23267.54,0.2192
EN-009-1001,24600.0,25481.26,0.6164,11793.1,5677.78,0.1589,0.1014,21447.92,21419.06,0.263
EN-007-1053,20826.09,22979.49,0.6301,11268.29,5907.73,0.1123,0.137,16757.58,18636.75,0.2712
RI-008-1040,22919.64,23886.93,0.6137,11948.72,6303.5,0.1068,0.126,16200.0,17743.13,0.1781
RI-008-1077,17778.85,17073.56,0.5699,12450.0,6063.55,0.1096,0.0959,23411.76,27420.14,0.2329
FC-006-1013,21914.29,23238.11,0.9589,10108.43,6807.48,0.2274,0.2137,20919.71,24152.41,0.3753
FC-005-1013,23585.01,24959.98,0.9507,8050.63,6390.9,0.2164,0.1808,21269.74,22973.63,0.4164
EN-009-1053,19081.82,21407.6,0.6027,11612.24,5794.45,0.1342,0.1342,18000.0,20788.22,0.2219
KN-010-1045,23891.09,27428.78,0.2767,9920.0,4829.77,0.0685,0.0767,25162.16,27123.7,0.1014
FC-004-1028,22056.55,24458.31,0.9205,10690.14,7172.55,0.1945,0.1808,19751.77,21715.42,0.3863
FC-006-1028,21118.97,22192.02,0.8521,9130.43,6626.4,0.189,0.1671,22427.48,24083.2,0.3589
FC-003-1030,22963.54,24919.27,1.0521,9372.55,6480.62,0.1397,0.2247,19335.57,22157.79,0.4082
FC-004-1038,20707.74,22791.67,0.9562,7789.47,6149.94,0.2082,0.1973,21312.5,24941.11,0.3507
KN-005-1178,22142.86,24136.21,0.2685,9451.61,4433.5,0.0849,0.074,19000.0,21092.99,0.0986
FC-004-1013,21397.26,22819.37,1.0,8814.81,6513.66,0.2219,0.1918,22437.5,23406.93,0.3945
FC-006-1008,21343.41,23434.81,0.9973,9632.18,6675.39,0.2384,0.2329,19615.38,22462.55,0.3205
FC-005-1042,20396.28,23578.95,0.8849,9414.29,6830.22,0.1918,0.2137,16625.0,19408.26,0.3726
KN-005-1009,20210.53,25013.65,0.3644,9000.0,4098.78,0.0575,0.0877,18386.36,19366.98,0.1205
