ATM_id,loc_latitude,loc_longitude,city,country
NIGER-0,12.458285,7.953503,Kano,Nigeria
NIGER-1,4.525863,7.52244,Opobo,Nigeria
NIGER-2,4.775489,6.955963,Port Harcourt,Nigeria
NIGER-3,5.862564,7.961667,Nkanu,Nigeria
NIGER-4,6.105162,6.968657,Enugu,Nigeria
BENUE-0,11.303351,8.2724,Kano,Nigeria
BENUE-1,6.298541,7.386406,Enugu,Nigeria
BENUE-2,11.998791,9.154878,Kano,Nigeria
BENUE-3,5.85153,7.929058,Nkanu,Nigeria
BENUE-4,4.720917,7.008753,Port Harcourt,Nigeria
OGUN-0,4.693822,7.075094,Okrika,Nigeria
OGUN-1,6.368279,3.401772,Lagos,Nigeria
OGUN-2,6.604991,3.345177,Lagos,Nigeria
OGUN-3,6.421123,3.365359,Lagos,Nigeria
OGUN-4,11.795325,8.676139,Kano,Nigeria
