code,ATM_id
MEDIUM,EXT-0
MEDIUM,EXT-1
MEDIUM,EXT-2
MEDIUM,EXT-3
MEDIUM,EXT-4
MEDIUM,EXT-5
MEDIUM,EXT-6
MEDIUM,EXT-7
MEDIUM,EXT-8
MEDIUM,EXT-9
MEDIUM,EXT-10
MEDIUM,EXT-11
MEDIUM,EXT-12
MEDIUM,EXT-13
MEDIUM,EXT-14
MEDIUM,EXT-15
MEDIUM,EXT-16
MEDIUM,EXT-17
MEDIUM,EXT-18
MEDIUM,EXT-19
MEDIUM,EXT-20
MEDIUM,EXT-21
MEDIUM,EXT-22
MEDIUM,EXT-23
MEDIUM,EXT-24
MEDIUM,EXT-25
MEDIUM,EXT-26
MEDIUM,EXT-27
MEDIUM,EXT-28
MEDIUM,EXT-29
MEDIUM,EXT-30
MEDIUM,EXT-31
MEDIUM,EXT-32
MEDIUM,EXT-33
MEDIUM,EXT-34
MEDIUM,EXT-35
MEDIUM,EXT-36
MEDIUM,EXT-37
MEDIUM,EXT-38
MEDIUM,EXT-39
MEDIUM,EXT-40
MEDIUM,EXT-41
MEDIUM,EXT-42
MEDIUM,EXT-43
MEDIUM,EXT-44
MEDIUM,EXT-45
MEDIUM,EXT-46
MEDIUM,EXT-47
MEDIUM,EXT-48
MEDIUM,EXT-49
MEDIUM,EXT-50
MEDIUM,EXT-51
MEDIUM,EXT-52
MEDIUM,EXT-53
MEDIUM,EXT-54
MEDIUM,EXT-55
MEDIUM,EXT-56
MEDIUM,EXT-57
MEDIUM,EXT-58
MEDIUM,EXT-59
MEDIUM,EXT-60
MEDIUM,EXT-61
MEDIUM,EXT-62
MEDIUM,EXT-63
MEDIUM,EXT-64
MEDIUM,EXT-65
MEDIUM,EXT-66
MEDIUM,EXT-67
MEDIUM,EXT-68
MEDIUM,EXT-69
MEDIUM,EXT-70
MEDIUM,EXT-71
MEDIUM,EXT-72
MEDIUM,EXT-73
MEDIUM,EXT-74
MEDIUM,EXT-75
MEDIUM,EXT-76
MEDIUM,EXT-77
MEDIUM,EXT-78
MEDIUM,EXT-79
MEDIUM,EXT-80
MEDIUM,EXT-81
MEDIUM,EXT-82
MEDIUM,EXT-83
MEDIUM,EXT-84
MEDIUM,EXT-85
MEDIUM,EXT-86
MEDIUM,EXT-87
MEDIUM,EXT-88
MEDIUM,EXT-89
MEDIUM,EXT-90
MEDIUM,EXT-91
MEDIUM,EXT-92
MEDIUM,EXT-93
MEDIUM,EXT-94
MEDIUM,EXT-95
MEDIUM,EXT-96
MEDIUM,EXT-97
MEDIUM,EXT-98
MEDIUM,EXT-99
