ATM_id,loc_latitude,loc_longitude,city,country
NIGER-0,6.197304,6.935692,Enugu,Nigeria
NIGER-1,6.452949,3.447513,Lagos,Nigeria
NIGER-2,7.025989,7.751392,Enugu,Nigeria
NIGER-3,6.557308,3.512937,Lagos,Nigeria
NIGER-4,9.149703,7.339117,Abuja,Nigeria
NIGER-5,6.58986,3.37543,Lagos,Nigeria
NIGER-6,8.950131,7.485962,Abuja,Nigeria
NIGER-7,9.12384,7.402586,Abuja,Nigeria
NIGER-8,4.787471,7.01619,Okrika,Nigeria
NIGER-9,11.959632,8.200133,Kano,Nigeria
EXT-0,4.784582,6.984837,Port Harcourt,Nigeria
EXT-1,6.556025,3.274903,Lagos,Nigeria
EXT-2,4.893871,6.77261,Emuoha,Nigeria
EXT-3,6.338864,3.37454,Lagos,Nigeria
