transaction_id,number_id,ATM_id,transaction_type,transaction_start,transaction_end,transaction_amount
42,c-NIGER-11,EXT-2,2,2018-04-01 03:57:05,,
42,c-NIGER-11,EXT-2,2,2018-04-01 03:57:05,2018-04-01 03:57:22,0.0
10,c-NIGER-2,NIGER-5,2,2018-04-01 04:07:01,,
10,c-NIGER-2,NIGER-5,2,2018-04-01 04:07:01,2018-04-01 04:07:53,0.0
29,c-NIGER-7,NIGER-3,0,2018-04-01 04:18:08,,
29,c-NIGER-7,NIGER-3,0,2018-04-01 04:18:08,2018-04-01 04:19:38,46953.33
24,c-NIGER-6,NIGER-4,1,2018-04-01 04:24:32,,
24,c-NIGER-6,NIGER-4,1,2018-04-01 04:24:32,2018-04-01 04:26:06,19275.44
43,c-NIGER-11,EXT-0,1,2018-04-01 05:23:01,,
43,c-NIGER-11,EXT-0,1,2018-04-01 05:23:01,2018-04-01 05:24:48,7654.3
7,c-NIGER-1,EXT-2,3,2018-04-01 05:44:19,,
7,c-NIGER-1,EXT-2,3,2018-04-01 05:44:19,2018-04-01 05:45:27,40028.33
15,c-NIGER-3,NIGER-5,0,2018-04-01 05:48:11,,
15,c-NIGER-3,NIGER-5,0,2018-04-01 05:48:11,2018-04-01 05:48:59,41987.59
25,c-NIGER-6,NIGER-6,0,2018-04-01 06:41:08,,
25,c-NIGER-6,NIGER-6,0,2018-04-01 06:41:08,2018-04-01 06:42:23,28546.6
18,c-NIGER-4,NIGER-9,3,2018-04-01 07:24:33,,
18,c-NIGER-4,NIGER-9,3,2018-04-01 07:24:33,2018-04-01 07:25:58,24793.64
0,c-NIGER-0,NIGER-7,0,2018-04-01 07:59:56,,
0,c-NIGER-0,NIGER-7,0,2018-04-01 07:59:56,2018-04-01 08:01:33,7826.58
44,c-NIGER-11,EXT-0,0,2018-04-01 11:22:46,,
44,c-NIGER-11,EXT-0,0,2018-04-01 11:22:46,2018-04-01 11:23:41,31158.52
11,c-NIGER-2,NIGER-3,0,2018-04-01 11:26:15,,
11,c-NIGER-2,NIGER-3,0,2018-04-01 11:26:15,2018-04-01 11:27:26,50789.21
16,c-NIGER-3,NIGER-1,0,2018-04-01 11:54:05,,
16,c-NIGER-3,NIGER-1,0,2018-04-01 11:54:05,2018-04-01 11:55:37,69755.93
33,c-NIGER-8,NIGER-1,3,2018-04-01 11:59:14,,
33,c-NIGER-8,NIGER-1,3,2018-04-01 11:59:14,2018-04-01 11:59:56,38921.18
34,c-NIGER-8,NIGER-3,1,2018-04-01 12:38:13,,
34,c-NIGER-8,NIGER-3,1,2018-04-01 12:38:13,2018-04-01 12:38:57,1998.01
45,c-NIGER-11,NIGER-8,0,2018-04-01 12:48:16,,
45,c-NIGER-11,NIGER-8,0,2018-04-01 12:48:16,2018-04-01 12:48:33,35441.71
30,c-NIGER-7,NIGER-1,3,2018-04-01 13:14:42,,
30,c-NIGER-7,NIGER-1,3,2018-04-01 13:14:42,2018-04-01 13:16:24,15293.52
39,c-NIGER-10,EXT-1,0,2018-04-01 13:38:12,,
39,c-NIGER-10,EXT-1,0,2018-04-01 13:38:12,2018-04-01 13:38:37,53015.58
17,c-NIGER-3,NIGER-5,0,2018-04-01 15:10:59,,
17,c-NIGER-3,NIGER-5,0,2018-04-01 15:10:59,2018-04-01 15:12:00,71686.34
40,c-NIGER-10,NIGER-1,0,2018-04-01 15:55:04,,
40,c-NIGER-10,NIGER-1,0,2018-04-01 15:55:04,2018-04-01 15:55:31,4905.32
8,c-NIGER-1,NIGER-8,0,2018-04-01 16:51:34,,
8,c-NIGER-1,NIGER-8,0,2018-04-01 16:51:34,2018-04-01 16:52:12,33963.87
12,c-NIGER-2,NIGER-5,0,2018-04-01 17:53:46,,
12,c-NIGER-2,NIGER-5,0,2018-04-01 17:53:46,2018-04-01 17:54:05,33252.26
31,c-NIGER-7,EXT-3,0,2018-04-01 18:21:05,,
31,c-NIGER-7,EXT-3,0,2018-04-01 18:21:05,2018-04-01 18:22:51,15784.28
1,c-NIGER-0,NIGER-4,3,2018-04-01 18:38:03,,
1,c-NIGER-0,NIGER-4,3,2018-04-01 18:38:03,2018-04-01 18:39:18,31720.04
26,c-NIGER-6,NIGER-4,2,2018-04-01 20:04:50,,
26,c-NIGER-6,NIGER-4,2,2018-04-01 20:04:50,2018-04-01 20:05:13,0.0
19,c-NIGER-4,NIGER-9,0,2018-04-01 20:10:44,,
13,c-NIGER-2,NIGER-1,1,2018-04-01 20:11:56,,
19,c-NIGER-4,NIGER-9,0,2018-04-01 20:10:44,2018-04-01 20:11:58,32525.77
13,c-NIGER-2,NIGER-1,1,2018-04-01 20:11:56,2018-04-01 20:12:25,10340.09
2,c-NIGER-0,NIGER-4,3,2018-04-01 20:32:59,,
2,c-NIGER-0,NIGER-4,3,2018-04-01 20:32:59,2018-04-01 20:34:47,41458.94
35,c-NIGER-9,NIGER-8,0,2018-04-01 21:05:18,,
35,c-NIGER-9,NIGER-8,0,2018-04-01 21:05:18,2018-04-01 21:05:53,64643.52
14,c-NIGER-2,NIGER-1,0,2018-04-01 21:10:10,,
14,c-NIGER-2,NIGER-1,0,2018-04-01 21:10:10,2018-04-01 21:11:36,37251.9
21,c-NIGER-5,NIGER-4,3,2018-04-01 21:30:22,,
32,c-NIGER-7,NIGER-1,2,2018-04-01 21:30:23,,
21,c-NIGER-5,NIGER-4,3,2018-04-01 21:30:22,2018-04-01 21:30:37,723.42
32,c-NIGER-7,NIGER-1,2,2018-04-01 21:30:23,2018-04-01 21:31:29,0.0
3,c-NIGER-0,NIGER-4,0,2018-04-01 21:33:02,,
3,c-NIGER-0,NIGER-4,0,2018-04-01 21:33:02,2018-04-01 21:34:27,8009.67
36,c-NIGER-9,EXT-2,1,2018-04-01 21:48:36,,
36,c-NIGER-9,EXT-2,1,2018-04-01 21:48:36,2018-04-01 21:49:43,18627.07
4,c-NIGER-0,NIGER-6,0,2018-04-01 22:43:02,,
4,c-NIGER-0,NIGER-6,0,2018-04-01 22:43:02,2018-04-01 22:43:43,13755.34
6,c-NIGER-0,NIGER-8,0,2018-04-01 22:49:30,,
6,c-NIGER-0,NIGER-8,0,2018-04-01 22:49:30,2018-04-01 22:49:31,27510.68
20,c-NIGER-4,NIGER-9,0,2018-04-01 23:12:34,,
20,c-NIGER-4,NIGER-9,0,2018-04-01 23:12:34,2018-04-01 23:13:14,1106.44
27,c-NIGER-6,NIGER-4,3,2018-04-01 23:47:46,,
27,c-NIGER-6,NIGER-4,3,2018-04-01 23:47:46,2018-04-01 23:49:15,53240.71
37,c-NIGER-9,EXT-0,0,2018-04-01 23:53:36,,
37,c-NIGER-9,EXT-0,0,2018-04-01 23:53:36,2018-04-01 23:54:27,73952.27
28,c-NIGER-6,NIGER-6,0,2018-04-02 00:19:21,,
28,c-NIGER-6,NIGER-6,0,2018-04-02 00:19:21,2018-04-02 00:20:06,32833.29
46,c-NIGER-11,EXT-0,0,2018-04-02 00:49:11,,
46,c-NIGER-11,EXT-0,0,2018-04-02 00:49:11,2018-04-02 00:50:03,6681.78
47,c-NIGER-11,EXT-2,0,2018-04-02 01:06:59,,
47,c-NIGER-11,EXT-2,0,2018-04-02 01:06:59,2018-04-02 01:07:33,14529.43
5,c-NIGER-0,NIGER-7,3,2018-04-02 01:17:41,,
38,c-NIGER-9,NIGER-8,0,2018-04-02 01:18:03,,
5,c-NIGER-0,NIGER-7,3,2018-04-02 01:17:41,2018-04-02 01:18:41,28999.46
38,c-NIGER-9,NIGER-8,0,2018-04-02 01:18:03,2018-04-02 01:18:56,23606.79
22,c-NIGER-5,NIGER-6,0,2018-04-02 01:57:31,,
22,c-NIGER-5,NIGER-6,0,2018-04-02 01:57:31,2018-04-02 01:59:01,49982.04
9,c-NIGER-1,EXT-0,3,2018-04-02 02:03:05,,
9,c-NIGER-1,EXT-0,3,2018-04-02 02:03:05,2018-04-02 02:04:33,35495.86
41,c-NIGER-10,EXT-1,0,2018-04-02 02:17:46,,
41,c-NIGER-10,EXT-1,0,2018-04-02 02:17:46,2018-04-02 02:19:18,15882.07
23,c-NIGER-5,NIGER-6,1,2018-04-02 03:14:04,,
23,c-NIGER-5,NIGER-6,1,2018-04-02 03:14:04,2018-04-02 03:15:06,11713.23
48,c-NIGER-11,EXT-2,3,2018-04-02 03:49:05,,
48,c-NIGER-11,EXT-2,3,2018-04-02 03:49:05,2018-04-02 03:50:14,42276.18
49,c-NIGER-11,EXT-3,3,2018-04-02 03:57:03,,
49,c-NIGER-11,EXT-3,3,2018-04-02 03:57:03,2018-04-02 03:57:05,84552.36
