ATM_id,loc_latitude,loc_longitude,city,country
LAGO-0,6.429457,3.397383,Lagos,Nigeria
LAGO-1,11.760236,8.916959,Kano,Nigeria
LAGO-2,12.488542,8.257583,Kano,Nigeria
LAGO-3,8.163668,6.783586,Oji,Nigeria
LAGO-4,4.648249,7.277242,Gokana,Nigeria
LAGO-5,6.403912,3.424414,Lagos,Nigeria
LAGO-6,6.808764,6.966028,Enugu,Nigeria
LAGO-7,6.520792,3.44054,Lagos,Nigeria
LAGO-8,6.383658,3.447175,Lagos,Nigeria
LAGO-9,6.456072,7.272421,Enugu,Nigeria
LAGO-10,6.827954,7.121525,Enugu,Nigeria
LAGO-11,9.052582,7.456084,Abuja,Nigeria
LAGO-12,6.595702,3.497756,Lagos,Nigeria
LAGO-13,8.905524,7.360039,Abuja,Nigeria
LAGO-14,11.448882,7.792092,Kano,Nigeria
LAGO-15,9.158167,7.540641,Abuja,Nigeria
LAGO-16,6.58191,7.401785,Enugu,Nigeria
LAGO-17,12.45205,8.92754,Kano,Nigeria
LAGO-18,4.812586,6.988174,Port Harcourt,Nigeria
LAGO-19,6.546124,3.384277,Lagos,Nigeria
LAGO-20,8.927424,7.571028,Abuja,Nigeria
LAGO-21,6.412965,3.481308,Lagos,Nigeria
LAGO-22,11.657238,8.373278,Kano,Nigeria
LAGO-23,4.78093,7.131362,Eleme,Nigeria
LAGO-24,9.033948,7.343299,Abuja,Nigeria
LAGO-25,9.213504,7.490591,Abuja,Nigeria
LAGO-26,6.380551,3.399148,Lagos,Nigeria
LAGO-27,6.47753,3.352131,Lagos,Nigeria
LAGO-28,6.540921,3.538823,Lagos,Nigeria
LAGO-29,4.67758,7.241379,Gokana,Nigeria
LAGO-30,4.812093,6.986269,Obio-Akpor,Nigeria
LAGO-31,9.080861,7.332671,Abuja,Nigeria
LAGO-32,6.369409,3.417234,Lagos,Nigeria
LAGO-33,11.066276,8.270256,Kano,Nigeria
LAGO-34,10.690777,9.023722,Kano,Nigeria
LAGO-35,6.347651,7.39715,Udi,Nigeria
LAGO-36,9.064293,7.583029,Abuja,Nigeria
LAGO-37,6.825121,7.218445,Nsukka,Nigeria
LAGO-38,6.543432,3.502952,Lagos,Nigeria
LAGO-39,6.40074,3.44704,Lagos,Nigeria
LAGO-40,10.844337,8.020655,Kano,Nigeria
LAGO-41,6.402389,3.367006,Lagos,Nigeria
LAGO-42,4.59721,7.046786,Okrika,Nigeria
LAGO-43,4.926577,7.152055,Obio-Akpor,Nigeria
LAGO-44,6.427041,3.505677,Lagos,Nigeria
LAGO-45,9.06903,7.480901,Abuja,Nigeria
LAGO-46,5.863014,7.953379,Nkanu,Nigeria
LAGO-47,4.837273,7.150457,Oyigbo,Nigeria
LAGO-48,6.782233,7.434075,Nsukka,Nigeria
LAGO-49,4.476763,7.210361,Bonny,Nigeria
LAGO-50,6.507588,3.304561,Lagos,Nigeria
LAGO-51,8.917169,7.443415,Abuja,Nigeria
LAGO-52,6.462749,3.336033,Lagos,Nigeria
LAGO-53,9.079318,7.43732,Abuja,Nigeria
LAGO-54,6.600067,3.518439,Lagos,Nigeria
LAGO-55,9.013144,7.547995,Abuja,Nigeria
LAGO-56,6.47083,3.465525,Lagos,Nigeria
LAGO-57,6.345283,3.260737,Lagos,Nigeria
LAGO-58,6.361445,3.306606,Lagos,Nigeria
LAGO-59,4.560265,7.527922,Opobo,Nigeria
LAGO-60,6.499335,3.255148,Lagos,Nigeria
LAGO-61,4.632514,7.09889,Okrika,Nigeria
LAGO-62,8.149086,6.788634,Oji,Nigeria
LAGO-63,9.017639,7.537929,Abuja,Nigeria
LAGO-64,10.752606,8.918653,Kano,Nigeria
LAGO-65,6.318394,7.372854,Udi,Nigeria
LAGO-66,6.607142,7.224755,Enugu,Nigeria
LAGO-67,4.710936,7.150762,Okrika,Nigeria
LAGO-68,10.774346,9.009263,Kano,Nigeria
LAGO-69,8.165497,6.796869,Oji,Nigeria
LAGO-70,4.800601,7.143116,Oyigbo,Nigeria
LAGO-71,4.713896,7.074792,Port Harcourt,Nigeria
LAGO-72,4.950755,6.691166,Emuoha,Nigeria
LAGO-73,5.048247,6.667779,Ahoada,Nigeria
LAGO-74,6.441833,3.506636,Lagos,Nigeria
LAGO-75,11.427907,8.731234,Kano,Nigeria
LAGO-76,6.440117,3.338605,Lagos,Nigeria
LAGO-77,6.538744,3.282183,Lagos,Nigeria
LAGO-78,7.032574,7.663995,Enugu,Nigeria
LAGO-79,9.132238,7.6177,Abuja,Nigeria
LAGO-80,6.595168,3.382466,Lagos,Nigeria
LAGO-81,6.411666,3.341456,Lagos,Nigeria
LAGO-82,9.154803,7.464304,Abuja,Nigeria
LAGO-83,12.205859,8.69338,Kano,Nigeria
LAGO-84,10.706754,8.266432,Kano,Nigeria
LAGO-85,6.368033,3.354708,Lagos,Nigeria
LAGO-86,6.569193,3.289721,Lagos,Nigeria
LAGO-87,10.82157,8.512027,Kano,Nigeria
LAGO-88,8.907968,7.379938,Abuja,Nigeria
LAGO-89,6.670051,7.096967,Enugu,Nigeria
LAGO-90,6.364396,7.302406,Enugu,Nigeria
LAGO-91,11.084127,8.458206,Kano,Nigeria
LAGO-92,8.972991,7.602892,Abuja,Nigeria
LAGO-93,8.973609,7.473109,Abuja,Nigeria
LAGO-94,11.25146,8.61078,Kano,Nigeria
