code,ATM_id
MEDIUM,MEDIUM-0
MEDIUM,MEDIUM-1
MEDIUM,MEDIUM-2
MEDIUM,MEDIUM-3
MEDIUM,MEDIUM-4
MEDIUM,MEDIUM-5
MEDIUM,MEDIUM-6
MEDIUM,MEDIUM-7
MEDIUM,MEDIUM-8
MEDIUM,MEDIUM-9
MEDIUM,MEDIUM-10
MEDIUM,MEDIUM-11
MEDIUM,MEDIUM-12
MEDIUM,MEDIUM-13
MEDIUM,MEDIUM-14
MEDIUM,MEDIUM-15
MEDIUM,MEDIUM-16
MEDIUM,MEDIUM-17
MEDIUM,MEDIUM-18
MEDIUM,MEDIUM-19
MEDIUM,MEDIUM-20
MEDIUM,MEDIUM-21
MEDIUM,MEDIUM-22
MEDIUM,MEDIUM-23
MEDIUM,MEDIUM-24
MEDIUM,MEDIUM-25
MEDIUM,MEDIUM-26
MEDIUM,MEDIUM-27
MEDIUM,MEDIUM-28
MEDIUM,MEDIUM-29
MEDIUM,MEDIUM-30
MEDIUM,MEDIUM-31
MEDIUM,MEDIUM-32
MEDIUM,MEDIUM-33
MEDIUM,MEDIUM-34
MEDIUM,MEDIUM-35
MEDIUM,MEDIUM-36
MEDIUM,MEDIUM-37
MEDIUM,MEDIUM-38
MEDIUM,MEDIUM-39
MEDIUM,MEDIUM-40
MEDIUM,MEDIUM-41
MEDIUM,MEDIUM-42
MEDIUM,MEDIUM-43
MEDIUM,MEDIUM-44
MEDIUM,MEDIUM-45
MEDIUM,MEDIUM-46
MEDIUM,MEDIUM-47
MEDIUM,MEDIUM-48
MEDIUM,MEDIUM-49
MEDIUM,MEDIUM-50
MEDIUM,MEDIUM-51
MEDIUM,MEDIUM-52
MEDIUM,MEDIUM-53
MEDIUM,MEDIUM-54
MEDIUM,MEDIUM-55
MEDIUM,MEDIUM-56
MEDIUM,MEDIUM-57
MEDIUM,MEDIUM-58
MEDIUM,MEDIUM-59
MEDIUM,MEDIUM-60
MEDIUM,MEDIUM-61
MEDIUM,MEDIUM-62
MEDIUM,MEDIUM-63
MEDIUM,MEDIUM-64
MEDIUM,MEDIUM-65
MEDIUM,MEDIUM-66
MEDIUM,MEDIUM-67
MEDIUM,MEDIUM-68
MEDIUM,MEDIUM-69
MEDIUM,MEDIUM-70
MEDIUM,MEDIUM-71
MEDIUM,MEDIUM-72
MEDIUM,MEDIUM-73
MEDIUM,MEDIUM-74
MEDIUM,MEDIUM-75
MEDIUM,MEDIUM-76
MEDIUM,MEDIUM-77
MEDIUM,MEDIUM-78
MEDIUM,MEDIUM-79
MEDIUM,MEDIUM-80
MEDIUM,MEDIUM-81
MEDIUM,MEDIUM-82
MEDIUM,MEDIUM-83
MEDIUM,MEDIUM-84
MEDIUM,MEDIUM-85
MEDIUM,MEDIUM-86
MEDIUM,MEDIUM-87
MEDIUM,MEDIUM-88
MEDIUM,MEDIUM-89
MEDIUM,MEDIUM-90
MEDIUM,MEDIUM-91
MEDIUM,MEDIUM-92
MEDIUM,MEDIUM-93
MEDIUM,MEDIUM-94
MEDIUM,MEDIUM-95
MEDIUM,MEDIUM-96
MEDIUM,MEDIUM-97
MEDIUM,MEDIUM-98
MEDIUM,MEDIUM-99
MEDIUM,MEDIUM-100
MEDIUM,MEDIUM-101
MEDIUM,MEDIUM-102
MEDIUM,MEDIUM-103
MEDIUM,MEDIUM-104
MEDIUM,MEDIUM-105
MEDIUM,MEDIUM-106
MEDIUM,MEDIUM-107
MEDIUM,MEDIUM-108
MEDIUM,MEDIUM-109
MEDIUM,MEDIUM-110
MEDIUM,MEDIUM-111
MEDIUM,MEDIUM-112
MEDIUM,MEDIUM-113
MEDIUM,MEDIUM-114
MEDIUM,MEDIUM-115
MEDIUM,MEDIUM-116
MEDIUM,MEDIUM-117
MEDIUM,MEDIUM-118
MEDIUM,MEDIUM-119
MEDIUM,MEDIUM-120
MEDIUM,MEDIUM-121
MEDIUM,MEDIUM-122
MEDIUM,MEDIUM-123
MEDIUM,MEDIUM-124
MEDIUM,MEDIUM-125
MEDIUM,MEDIUM-126
MEDIUM,MEDIUM-127
MEDIUM,MEDIUM-128
MEDIUM,MEDIUM-129
MEDIUM,MEDIUM-130
MEDIUM,MEDIUM-131
MEDIUM,MEDIUM-132
MEDIUM,MEDIUM-133
MEDIUM,MEDIUM-134
MEDIUM,MEDIUM-135
MEDIUM,MEDIUM-136
MEDIUM,MEDIUM-137
MEDIUM,MEDIUM-138
MEDIUM,MEDIUM-139
MEDIUM,MEDIUM-140
MEDIUM,MEDIUM-141
MEDIUM,MEDIUM-142
MEDIUM,MEDIUM-143
MEDIUM,MEDIUM-144
MEDIUM,MEDIUM-145
MEDIUM,MEDIUM-146
MEDIUM,MEDIUM-147
MEDIUM,MEDIUM-148
MEDIUM,MEDIUM-149
MEDIUM,MEDIUM-150
MEDIUM,MEDIUM-151
MEDIUM,MEDIUM-152
MEDIUM,MEDIUM-153
MEDIUM,MEDIUM-154
MEDIUM,MEDIUM-155
MEDIUM,MEDIUM-156
MEDIUM,MEDIUM-157
MEDIUM,MEDIUM-158
MEDIUM,MEDIUM-159
MEDIUM,MEDIUM-160
MEDIUM,MEDIUM-161
MEDIUM,MEDIUM-162
MEDIUM,MEDIUM-163
MEDIUM,MEDIUM-164
MEDIUM,MEDIUM-165
MEDIUM,MEDIUM-166
MEDIUM,MEDIUM-167
MEDIUM,MEDIUM-168
MEDIUM,MEDIUM-169
MEDIUM,MEDIUM-170
MEDIUM,MEDIUM-171
MEDIUM,MEDIUM-172
MEDIUM,MEDIUM-173
MEDIUM,MEDIUM-174
MEDIUM,MEDIUM-175
MEDIUM,MEDIUM-176
MEDIUM,MEDIUM-177
MEDIUM,MEDIUM-178
MEDIUM,MEDIUM-179
MEDIUM,MEDIUM-180
MEDIUM,MEDIUM-181
MEDIUM,MEDIUM-182
MEDIUM,MEDIUM-183
MEDIUM,MEDIUM-184
MEDIUM,MEDIUM-185
MEDIUM,MEDIUM-186
MEDIUM,MEDIUM-187
MEDIUM,MEDIUM-188
MEDIUM,MEDIUM-189
MEDIUM,MEDIUM-190
MEDIUM,MEDIUM-191
MEDIUM,MEDIUM-192
MEDIUM,MEDIUM-193
MEDIUM,MEDIUM-194
MEDIUM,MEDIUM-195
MEDIUM,MEDIUM-196
MEDIUM,MEDIUM-197
MEDIUM,MEDIUM-198
MEDIUM,MEDIUM-199
MEDIUM,MEDIUM-200
MEDIUM,MEDIUM-201
MEDIUM,MEDIUM-202
MEDIUM,MEDIUM-203
MEDIUM,MEDIUM-204
MEDIUM,MEDIUM-205
MEDIUM,MEDIUM-206
MEDIUM,MEDIUM-207
MEDIUM,MEDIUM-208
MEDIUM,MEDIUM-209
MEDIUM,MEDIUM-210
MEDIUM,MEDIUM-211
MEDIUM,MEDIUM-212
MEDIUM,MEDIUM-213
MEDIUM,MEDIUM-214
MEDIUM,MEDIUM-215
MEDIUM,MEDIUM-216
MEDIUM,MEDIUM-217
MEDIUM,MEDIUM-218
MEDIUM,MEDIUM-219
MEDIUM,MEDIUM-220
MEDIUM,MEDIUM-221
MEDIUM,MEDIUM-222
MEDIUM,MEDIUM-223
MEDIUM,MEDIUM-224
MEDIUM,MEDIUM-225
MEDIUM,MEDIUM-226
MEDIUM,MEDIUM-227
MEDIUM,MEDIUM-228
MEDIUM,MEDIUM-229
MEDIUM,MEDIUM-230
MEDIUM,MEDIUM-231
MEDIUM,MEDIUM-232
MEDIUM,MEDIUM-233
MEDIUM,MEDIUM-234
MEDIUM,MEDIUM-235
MEDIUM,MEDIUM-236
MEDIUM,MEDIUM-237
MEDIUM,MEDIUM-238
MEDIUM,MEDIUM-239
