transaction_id,number_id,ATM_id,transaction_type,transaction_start,transaction_end,transaction_amount
28,c-NIGER-6,NIGER-4,2,2018-04-01 00:03:17,,
28,c-NIGER-6,NIGER-4,2,2018-04-01 00:03:17,2018-04-01 00:04:59,0.0
23,c-NIGER-5,NIGER-6,2,2018-04-01 00:17:59,,
23,c-NIGER-5,NIGER-6,2,2018-04-01 00:17:59,2018-04-01 00:24:59,0.0
38,c-NIGER-7,NIGER-3,2,2018-04-01 02:08:16,,
38,c-NIGER-7,NIGER-3,2,2018-04-01 02:08:16,2018-04-01 02:15:36,0.0
0,c-NIGER-0,NIGER-6,0,2018-04-01 02:28:14,,
0,c-NIGER-0,NIGER-6,0,2018-04-01 02:28:14,2018-04-01 02:35:10,38146.88
24,c-NIGER-5,NIGER-4,0,2018-04-01 04:13:26,,
24,c-NIGER-5,NIGER-4,0,2018-04-01 04:13:26,2018-04-01 04:16:25,19835.31
4,c-NIGER-1,NIGER-8,1,2018-04-01 06:00:30,,
4,c-NIGER-1,NIGER-8,1,2018-04-01 06:00:30,2018-04-01 06:04:40,11949.23
39,c-NIGER-7,NIGER-1,0,2018-04-01 06:27:10,,
39,c-NIGER-7,NIGER-1,0,2018-04-01 06:27:10,2018-04-01 06:32:58,71846.0
52,c-NIGER-11,EXT-2,1,2018-04-01 06:47:17,,
52,c-NIGER-11,EXT-2,1,2018-04-01 06:47:17,2018-04-01 06:54:08,853.87
29,c-NIGER-6,NIGER-7,3,2018-04-01 07:35:01,,
29,c-NIGER-6,NIGER-7,3,2018-04-01 07:35:01,2018-04-01 07:39:37,14647.32
9,c-NIGER-2,NIGER-5,0,2018-04-01 09:12:16,,
9,c-NIGER-2,NIGER-5,0,2018-04-01 09:12:16,2018-04-01 09:16:16,28227.89
21,c-NIGER-4,NIGER-9,3,2018-04-01 09:19:10,,
21,c-NIGER-4,NIGER-9,3,2018-04-01 09:19:10,2018-04-01 09:25:29,27378.59
5,c-NIGER-1,NIGER-8,0,2018-04-01 09:55:26,,
5,c-NIGER-1,NIGER-8,0,2018-04-01 09:55:26,2018-04-01 10:00:23,4714.62
6,c-NIGER-1,EXT-0,3,2018-04-01 14:19:09,,
6,c-NIGER-1,EXT-0,3,2018-04-01 14:19:09,2018-04-01 14:20:38,23116.9
30,c-NIGER-6,NIGER-6,2,2018-04-02 00:55:38,,
30,c-NIGER-6,NIGER-6,2,2018-04-02 00:55:38,2018-04-02 01:02:30,0.0
14,c-NIGER-3,NIGER-1,3,2018-04-02 04:02:40,,
14,c-NIGER-3,NIGER-1,3,2018-04-02 04:02:40,2018-04-02 04:06:49,54444.64
