transaction_id,number_id,ATM_id,transaction_type,transaction_start,transaction_end,transaction_amount
38,c-NIGER-11,NIGER-8,1,2018-04-01 03:16:36,,
38,c-NIGER-11,NIGER-8,1,2018-04-01 03:16:36,2018-04-01 03:23:03,9199.48
25,c-NIGER-6,NIGER-6,0,2018-04-01 08:11:47,,
25,c-NIGER-6,NIGER-6,0,2018-04-01 08:11:47,2018-04-01 08:17:49,15880.57
39,c-NIGER-11,EXT-2,2,2018-04-01 10:31:05,,
39,c-NIGER-11,EXT-2,2,2018-04-01 10:31:05,2018-04-01 10:34:34,0.0
28,c-NIGER-7,NIGER-1,0,2018-04-01 12:49:30,,
28,c-NIGER-7,NIGER-1,0,2018-04-01 12:49:30,2018-04-01 12:54:10,34142.79
16,c-NIGER-4,NIGER-9,0,2018-04-01 16:29:37,,
16,c-NIGER-4,NIGER-9,0,2018-04-01 16:29:37,2018-04-01 16:36:05,18185.1
29,c-NIGER-7,NIGER-1,3,2018-04-01 21:53:18,,
29,c-NIGER-7,NIGER-1,3,2018-04-01 21:53:18,2018-04-01 22:02:37,35803.83
0,c-NIGER-0,NIGER-7,0,2018-04-01 23:36:59,,
0,c-NIGER-0,NIGER-7,0,2018-04-01 23:36:59,2018-04-01 23:44:52,7826.58
17,c-NIGER-4,NIGER-9,0,2018-04-02 02:24:19,,
17,c-NIGER-4,NIGER-9,0,2018-04-02 02:24:19,2018-04-02 02:28:41,17697.66
33,c-NIGER-10,NIGER-5,0,2018-04-02 04:30:42,,
33,c-NIGER-10,NIGER-5,0,2018-04-02 04:30:42,2018-04-02 04:38:02,23532.14
40,c-NIGER-11,EXT-0,1,2018-04-02 05:22:55,,
40,c-NIGER-11,EXT-0,1,2018-04-02 05:22:55,2018-04-02 05:30:10,12304.52
20,c-NIGER-5,NIGER-4,0,2018-04-02 07:17:55,,
20,c-NIGER-5,NIGER-4,0,2018-04-02 07:17:55,2018-04-02 07:24:04,2511.94
41,c-NIGER-11,EXT-0,2,2018-04-02 08:38:40,,
41,c-NIGER-11,EXT-0,2,2018-04-02 08:38:40,2018-04-02 08:42:14,0.0
31,c-NIGER-8,NIGER-5,0,2018-04-02 12:35:46,,
31,c-NIGER-8,NIGER-5,0,2018-04-02 12:35:46,2018-04-02 12:42:35,58510.72
9,c-NIGER-3,NIGER-5,0,2018-04-02 16:19:25,,
9,c-NIGER-3,NIGER-5,0,2018-04-02 16:19:25,2018-04-02 16:25:06,25844.41
34,c-NIGER-10,NIGER-1,3,2018-04-02 23:10:45,,
34,c-NIGER-10,NIGER-1,3,2018-04-02 23:10:45,2018-04-02 23:15:43,12838.48
42,c-NIGER-11,EXT-2,0,2018-04-03 00:24:24,,
42,c-NIGER-11,EXT-2,0,2018-04-03 00:24:24,2018-04-03 00:28:36,18572.29
30,c-NIGER-7,NIGER-3,2,2018-04-03 02:12:25,,
30,c-NIGER-7,NIGER-3,2,2018-04-03 02:12:25,2018-04-03 02:16:29,0.0
18,c-NIGER-4,NIGER-9,0,2018-04-03 04:07:36,,
18,c-NIGER-4,NIGER-9,0,2018-04-03 04:07:36,2018-04-03 04:11:11,36083.96
10,c-NIGER-3,NIGER-5,0,2018-04-03 05:10:49,,
10,c-NIGER-3,NIGER-5,0,2018-04-03 05:10:49,2018-04-03 05:11:42,71627.91
43,c-NIGER-11,NIGER-8,0,2018-04-03 08:13:41,,
43,c-NIGER-11,NIGER-8,0,2018-04-03 08:13:41,2018-04-03 08:19:07,6976.96
21,c-NIGER-5,NIGER-7,0,2018-04-03 12:53:35,,
21,c-NIGER-5,NIGER-7,0,2018-04-03 12:53:35,2018-04-03 12:55:59,20462.57
26,c-NIGER-6,NIGER-7,3,2018-04-03 14:32:03,,
26,c-NIGER-6,NIGER-7,3,2018-04-03 14:32:03,2018-04-03 14:36:17,47889.89
35,c-NIGER-10,NIGER-1,0,2018-04-03 16:09:08,,
35,c-NIGER-10,NIGER-1,0,2018-04-03 16:09:08,2018-04-03 16:11:28,69903.55
44,c-NIGER-11,NIGER-8,0,2018-04-03 18:17:16,,
44,c-NIGER-11,NIGER-8,0,2018-04-03 18:17:16,2018-04-03 18:23:43,29471.75
36,c-NIGER-10,EXT-1,0,2018-04-03 20:36:25,,
36,c-NIGER-10,EXT-1,0,2018-04-03 20:36:25,2018-04-03 20:41:46,9563.53
11,c-NIGER-3,NIGER-5,0,2018-04-03 22:28:26,,
11,c-NIGER-3,NIGER-5,0,2018-04-03 22:28:26,2018-04-03 22:32:49,34971.48
45,c-NIGER-11,EXT-2,3,2018-04-04 00:54:27,,
45,c-NIGER-11,EXT-2,3,2018-04-04 00:54:27,2018-04-04 01:01:33,13800.6
1,c-NIGER-0,NIGER-4,3,2018-04-04 03:17:16,,
1,c-NIGER-0,NIGER-4,3,2018-04-04 03:17:16,2018-04-04 03:23:18,31720.04
37,c-NIGER-10,NIGER-5,0,2018-04-04 05:25:33,,
37,c-NIGER-10,NIGER-5,0,2018-04-04 05:25:33,2018-04-04 05:32:44,15797.01
46,c-NIGER-11,NIGER-8,1,2018-04-04 06:02:55,,
32,c-NIGER-9,EXT-0,0,2018-04-04 06:07:30,,
46,c-NIGER-11,NIGER-8,1,2018-04-04 06:02:55,2018-04-04 06:09:29,10612.91
32,c-NIGER-9,EXT-0,0,2018-04-04 06:07:30,2018-04-04 06:12:48,13436.45
