transaction_id,number_id,ATM_id,transaction_type,transaction_start,transaction_end,transaction_amount
39,c-NIGER-6,NIGER-0,3,2018-04-02 16:13:04,,
39,c-NIGER-6,NIGER-0,3,2018-04-02 16:13:04,2018-04-02 16:13:09,38443.82
21,c-NIGER-3,NIGER-4,1,2018-04-03 06:58:03,,
21,c-NIGER-3,NIGER-4,1,2018-04-03 06:58:03,2018-04-03 06:58:08,80771.86
29,c-NIGER-5,EXT-2,3,2018-04-04 04:35:10,,
29,c-NIGER-5,EXT-2,3,2018-04-04 04:35:10,2018-04-04 04:35:15,32599.2
6,c-NIGER-0,NIGER-8,0,2018-04-04 23:38:57,,
6,c-NIGER-0,NIGER-8,0,2018-04-04 23:38:57,2018-04-04 23:39:02,27692.4
56,c-NIGER-11,EXT-3,3,2018-04-05 11:14:03,,
56,c-NIGER-11,EXT-3,3,2018-04-05 11:14:03,2018-04-05 11:14:08,38334.2
