transaction_id,number_id,ATM_id,transaction_type,transaction_start,transaction_end,transaction_amount
50,c-NIGER-11,EXT-0,3,2018-04-01 02:59:35,,
50,c-NIGER-11,EXT-0,3,2018-04-01 02:59:35,2018-04-01 03:03:33,57034.67
46,c-NIGER-9,EXT-0,0,2018-04-01 03:57:05,,
46,c-NIGER-9,EXT-0,0,2018-04-01 03:57:05,2018-04-01 04:03:35,29459.71
51,c-NIGER-11,NIGER-8,0,2018-04-01 08:20:38,,
51,c-NIGER-11,NIGER-8,0,2018-04-01 08:20:38,2018-04-01 08:27:15,18875.57
52,c-NIGER-11,EXT-0,0,2018-04-01 09:29:48,,
52,c-NIGER-11,EXT-0,0,2018-04-01 09:29:48,2018-04-01 09:34:48,24016.8
7,c-NIGER-1,EXT-2,2,2018-04-01 12:38:09,,
7,c-NIGER-1,EXT-2,2,2018-04-01 12:38:09,2018-04-01 12:43:39,0.0
15,c-NIGER-3,NIGER-5,0,2018-04-01 14:37:05,,
15,c-NIGER-3,NIGER-5,0,2018-04-01 14:37:05,2018-04-01 14:43:13,4444.13
23,c-NIGER-5,NIGER-4,0,2018-04-01 19:57:18,,
23,c-NIGER-5,NIGER-4,0,2018-04-01 19:57:18,2018-04-01 20:04:57,19261.87
30,c-NIGER-6,NIGER-7,0,2018-04-01 21:38:04,,
30,c-NIGER-6,NIGER-7,0,2018-04-01 21:38:04,2018-04-01 21:42:31,20419.27
0,c-NIGER-0,NIGER-7,0,2018-04-01 23:36:59,,
0,c-NIGER-0,NIGER-7,0,2018-04-01 23:36:59,2018-04-01 23:44:52,7826.58
10,c-NIGER-2,NIGER-3,1,2018-04-02 00:33:34,,
10,c-NIGER-2,NIGER-3,1,2018-04-02 00:33:34,2018-04-02 00:38:46,2077.41
16,c-NIGER-3,NIGER-3,0,2018-04-02 02:24:19,,
16,c-NIGER-3,NIGER-3,0,2018-04-02 02:24:19,2018-04-02 02:27:11,19769.88
24,c-NIGER-5,NIGER-6,0,2018-04-02 04:18:06,,
24,c-NIGER-5,NIGER-6,0,2018-04-02 04:18:06,2018-04-02 04:22:04,65078.97
31,c-NIGER-6,NIGER-4,0,2018-04-02 05:26:27,,
31,c-NIGER-6,NIGER-4,0,2018-04-02 05:26:27,2018-04-02 05:27:28,11060.2
32,c-NIGER-6,NIGER-4,1,2018-04-02 15:36:31,,
32,c-NIGER-6,NIGER-4,1,2018-04-02 15:36:31,2018-04-02 15:38:43,19221.91
33,c-NIGER-6,NIGER-6,2,2018-04-02 18:59:37,,
33,c-NIGER-6,NIGER-6,2,2018-04-02 18:59:37,2018-04-02 19:07:12,0.0
43,c-NIGER-8,NIGER-1,0,2018-04-02 19:51:08,,
43,c-NIGER-8,NIGER-1,0,2018-04-02 19:51:08,2018-04-02 19:56:11,42545.16
34,c-NIGER-6,NIGER-7,0,2018-04-02 21:36:44,,
34,c-NIGER-6,NIGER-7,0,2018-04-02 21:36:44,2018-04-02 21:44:22,7593.73
47,c-NIGER-9,EXT-2,0,2018-04-02 22:08:30,,
47,c-NIGER-9,EXT-2,0,2018-04-02 22:08:30,2018-04-02 22:12:51,50537.31
35,c-NIGER-6,NIGER-6,0,2018-04-03 01:06:18,,
35,c-NIGER-6,NIGER-6,0,2018-04-03 01:06:18,2018-04-03 01:14:34,26984.37
11,c-NIGER-2,NIGER-3,0,2018-04-03 02:13:57,,
11,c-NIGER-2,NIGER-3,0,2018-04-03 02:13:57,2018-04-03 02:16:47,36294.66
36,c-NIGER-6,NIGER-6,0,2018-04-03 02:54:39,,
36,c-NIGER-6,NIGER-6,0,2018-04-03 02:54:39,2018-04-03 02:59:10,11724.67
40,c-NIGER-7,NIGER-3,3,2018-04-03 04:18:08,,
53,c-NIGER-11,EXT-0,3,2018-04-03 04:20:53,,
40,c-NIGER-7,NIGER-3,3,2018-04-03 04:18:08,2018-04-03 04:24:31,26501.61
53,c-NIGER-11,EXT-0,3,2018-04-03 04:20:53,2018-04-03 04:28:22,46260.52
17,c-NIGER-3,NIGER-1,3,2018-04-03 06:44:49,,
17,c-NIGER-3,NIGER-1,3,2018-04-03 06:44:49,2018-04-03 06:47:32,40385.93
22,c-NIGER-4,NIGER-9,2,2018-04-03 07:55:08,,
22,c-NIGER-4,NIGER-9,2,2018-04-03 07:55:08,2018-04-03 07:59:43,0.0
44,c-NIGER-8,NIGER-5,3,2018-04-03 11:38:54,,
44,c-NIGER-8,NIGER-5,3,2018-04-03 11:38:54,2018-04-03 11:45:35,30019.73
41,c-NIGER-7,NIGER-3,3,2018-04-03 14:05:24,,
41,c-NIGER-7,NIGER-3,3,2018-04-03 14:05:24,2018-04-03 14:10:35,9568.53
