transaction_id,number_id,ATM_id,transaction_type,transaction_start,transaction_end,transaction_amount
52,c-NIGER-1001,NIGER-37,3,2018-04-29 18:16:01,2018-04-29 18:16:06,15647.5
83,c-NIGER-1002,NIGER-37,0,2018-04-21 18:59:09,2018-04-21 18:59:14,55634.98
127,c-NIGER-1004,NIGER-10,3,2018-04-25 18:38:05,2018-04-25 18:38:10,28246.6
190,c-NIGER-1007,NIGER-4,1,2018-04-19 01:13:15,2018-04-19 01:13:20,4636.54
237,c-NIGER-1009,EXT-1,2,2018-04-14 10:20:57,2018-04-14 10:21:02,90514.82
274,c-NIGER-1010,NIGER-5,0,2018-04-27 11:16:13,2018-04-27 11:16:18,15883.1
342,c-NIGER-1013,NIGER-19,3,2018-04-27 05:27:56,2018-04-27 05:28:01,61838.34
411,c-NIGER-1017,NIGER-19,1,2018-04-04 08:43:56,2018-04-04 08:44:01,49592.7
524,c-NIGER-1023,NIGER-10,1,2018-04-29 22:12:46,2018-04-29 22:12:51,49834.7
689,c-NIGER-1033,NIGER-9,1,2018-04-24 23:11:30,2018-04-24 23:11:35,49095.0
742,c-NIGER-1036,NIGER-30,2,2018-04-13 01:40:01,2018-04-13 01:40:06,60339.8
781,c-NIGER-1037,NIGER-37,0,2018-04-27 15:38:28,2018-04-27 15:38:33,37812.94
868,c-NIGER-1042,NIGER-22,2,2018-04-24 11:14:55,2018-04-24 11:15:00,0.0
999,c-NIGER-1047,EXT-4,1,2018-04-15 03:38:06,2018-04-15 03:38:11,25491.58
1056,c-NIGER-1049,EXT-3,0,2018-04-24 15:11:23,2018-04-24 15:11:28,130169.34
1117,c-NIGER-1052,NIGER-14,3,2018-04-17 01:03:14,2018-04-17 01:03:19,39930.1
1208,c-NIGER-1057,NIGER-9,1,2018-04-17 08:45:09,2018-04-17 08:45:14,39347.86
1326,c-NIGER-1063,NIGER-44,0,2018-04-17 11:13:42,2018-04-17 11:13:47,24014.32
1537,c-NIGER-1075,NIGER-19,0,2018-04-21 19:56:00,2018-04-21 19:56:05,0.0
1594,c-NIGER-1077,NIGER-25,2,2018-04-13 13:14:47,2018-04-13 13:14:52,1767.74
1743,c-NIGER-1087,NIGER-26,1,2018-04-18 00:55:28,2018-04-18 00:55:33,55110.6
1938,c-NIGER-1097,NIGER-23,3,2018-04-11 19:57:07,2018-04-11 19:57:12,56153.54
1968,c-NIGER-1098,NIGER-31,0,2018-04-21 19:55:48,2018-04-21 19:55:53,8906.98
2097,c-NIGER-1104,NIGER-20,2,2018-04-05 13:14:48,2018-04-05 13:14:53,15532.68
2187,c-NIGER-1109,NIGER-16,3,2018-04-07 07:08:08,2018-04-07 07:08:13,18305.26
2250,c-NIGER-1110,NIGER-26,3,2018-04-11 18:01:18,2018-04-11 18:01:23,36213.18
2473,c-NIGER-1123,NIGER-3,2,2018-04-28 12:17:52,2018-04-28 12:17:57,34046.1
2657,c-NIGER-1132,NIGER-33,0,2018-04-15 06:54:01,2018-04-15 06:54:06,47940.34
2690,c-NIGER-1133,NIGER-34,0,2018-04-26 07:47:40,2018-04-26 07:47:45,9224.94
2763,c-NIGER-1137,NIGER-19,0,2018-04-13 19:57:39,2018-04-13 19:57:44,108780.86
2801,c-NIGER-1138,EXT-3,2,2018-04-02 01:48:00,2018-04-02 01:48:05,0.0
2870,c-NIGER-1141,NIGER-39,0,2018-04-01 21:26:11,2018-04-01 21:26:16,52220.72
2897,c-NIGER-1142,NIGER-6,0,2018-04-05 18:13:20,2018-04-05 18:13:25,0.0
2995,c-NIGER-1147,EXT-2,1,2018-04-20 17:07:43,2018-04-20 17:07:48,18934.7
3028,c-NIGER-1148,NIGER-5,2,2018-04-17 19:12:41,2018-04-17 19:12:46,31107.58
3102,c-NIGER-1151,NIGER-33,1,2018-04-24 02:04:11,2018-04-24 02:04:16,0.0
3435,c-NIGER-1171,NIGER-28,0,2018-04-04 07:18:10,2018-04-04 07:18:15,52828.52
3536,c-NIGER-1175,NIGER-11,3,2018-04-07 01:57:04,2018-04-07 01:57:09,2518.68
3565,c-NIGER-1176,NIGER-5,2,2018-04-07 09:47:25,2018-04-07 09:47:30,21564.74
3617,c-NIGER-1178,NIGER-38,1,2018-04-28 02:20:11,2018-04-28 02:20:16,73431.84
3836,c-NIGER-1188,NIGER-22,0,2018-04-17 20:07:40,2018-04-17 20:07:45,14294.66
3894,c-NIGER-1190,NIGER-25,1,2018-04-01 04:41:04,2018-04-01 04:41:09,69907.2
3972,c-NIGER-1193,NIGER-37,1,2018-04-10 15:13:28,2018-04-10 15:13:33,81243.56
4026,c-NIGER-1195,NIGER-13,3,2018-04-25 08:50:56,2018-04-25 08:51:01,20331.96
4122,c-NIGER-1201,NIGER-30,3,2018-04-12 13:20:13,2018-04-12 13:20:18,13973.7
4174,c-NIGER-1204,NIGER-19,2,2018-04-15 08:17:01,2018-04-15 08:17:06,108898.42
4343,c-NIGER-1214,NIGER-31,3,2018-04-23 23:38:20,2018-04-23 23:38:25,88724.22
4382,c-NIGER-1215,NIGER-30,3,2018-04-01 05:10:49,2018-04-01 05:10:54,74236.92
4414,c-NIGER-1216,EXT-1,0,2018-04-15 15:41:12,2018-04-15 15:41:17,19634.88
4665,c-NIGER-1231,NIGER-41,3,2018-04-10 14:46:53,2018-04-10 14:46:58,59869.18
4823,c-NIGER-1240,NIGER-22,1,2018-04-01 15:53:52,2018-04-01 15:53:57,37268.84
4897,c-NIGER-1243,NIGER-13,2,2018-04-19 20:32:36,2018-04-19 20:32:41,27108.1
5004,c-NIGER-1249,NIGER-15,1,2018-04-20 10:26:18,2018-04-20 10:26:23,49760.38
5237,c-NIGER-1263,NIGER-18,0,2018-04-01 04:30:42,2018-04-01 04:30:47,112806.6
5389,c-NIGER-1273,NIGER-0,1,2018-04-19 00:14:58,2018-04-19 00:15:03,1971.5
5439,c-NIGER-1275,NIGER-16,0,2018-04-15 11:38:23,2018-04-15 11:38:28,2309.46
5515,c-NIGER-1278,NIGER-33,2,2018-04-11 23:47:14,2018-04-11 23:47:19,43613.84
5647,c-NIGER-1284,NIGER-16,2,2018-04-17 07:17:43,2018-04-17 07:17:48,64932.04
5680,c-NIGER-1285,NIGER-10,0,2018-04-21 08:47:09,2018-04-21 08:47:14,32351.06
5716,c-NIGER-1286,NIGER-31,2,2018-04-17 20:29:02,2018-04-17 20:29:07,70433.74
5744,c-NIGER-1287,NIGER-29,3,2018-04-05 18:54:23,2018-04-05 18:54:28,0.0
5784,c-NIGER-1288,NIGER-27,0,2018-04-24 12:32:58,2018-04-24 12:33:03,1668.04
5921,c-NIGER-1296,NIGER-16,1,2018-04-22 17:01:28,2018-04-22 17:01:33,83117.02
5952,c-NIGER-1297,NIGER-28,3,2018-04-27 21:15:05,2018-04-27 21:15:10,105366.86
6025,c-NIGER-1300,NIGER-6,2,2018-04-26 10:39:40,2018-04-26 10:39:45,20533.24
6069,c-NIGER-1302,NIGER-35,0,2018-04-01 22:03:33,2018-04-01 22:03:38,8667.74
6190,c-NIGER-1309,NIGER-10,2,2018-04-06 00:29:30,2018-04-06 00:29:35,54895.24
6232,c-NIGER-1310,NIGER-19,0,2018-04-03 23:52:48,2018-04-03 23:52:53,0.0
6320,c-NIGER-1314,NIGER-13,3,2018-04-14 12:58:51,2018-04-14 12:58:56,131968.54
6372,c-NIGER-1315,EXT-3,3,2018-04-10 13:51:02,2018-04-10 13:51:07,16832.22
6400,c-NIGER-1316,NIGER-18,1,2018-04-11 06:00:53,2018-04-11 06:00:58,7842.74
6523,c-NIGER-1322,EXT-3,0,2018-04-14 03:13:17,2018-04-14 03:13:22,83176.36
6593,c-NIGER-1325,NIGER-15,3,2018-04-16 18:07:56,2018-04-16 18:08:01,51313.22
6735,c-NIGER-1333,NIGER-33,0,2018-04-20 15:46:58,2018-04-20 15:47:03,37281.54
6763,c-NIGER-1334,NIGER-19,3,2018-04-04 19:10:10,2018-04-04 19:10:15,92126.08
6837,c-NIGER-1338,NIGER-33,3,2018-04-13 15:06:35,2018-04-13 15:06:40,0.0
6886,c-NIGER-1340,NIGER-39,2,2018-04-18 05:07:51,2018-04-18 05:07:56,4587.92
6942,c-NIGER-1342,NIGER-36,3,2018-04-18 08:47:29,2018-04-18 08:47:34,61751.08
7009,c-NIGER-1345,NIGER-6,1,2018-04-29 08:49:50,2018-04-29 08:49:55,49173.92
7042,c-NIGER-1346,NIGER-23,0,2018-04-22 21:57:30,2018-04-22 21:57:35,22209.24
7079,c-NIGER-1348,NIGER-39,3,2018-04-16 12:07:52,2018-04-16 12:07:57,38836.66
7164,c-NIGER-1353,NIGER-3,1,2018-04-20 02:09:50,2018-04-20 02:09:55,66876.3
7193,c-NIGER-1354,EXT-3,0,2018-04-02 21:13:03,2018-04-02 21:13:08,22167.6
7267,c-NIGER-1358,EXT-1,1,2018-04-24 01:00:05,2018-04-24 01:00:10,48853.92
7410,c-NIGER-1366,NIGER-27,1,2018-04-06 15:01:39,2018-04-06 15:01:44,23779.8
7500,c-NIGER-1369,NIGER-5,1,2018-04-22 07:12:55,2018-04-22 07:13:00,77547.4
7630,c-NIGER-1374,NIGER-3,0,2018-04-01 03:17:45,2018-04-01 03:17:50,133532.24
