transaction_id,number_id,ATM_id,transaction_type,transaction_start,transaction_end,transaction_amount
0,c-NIGER-500,NIGER-20,3,2018-04-01 13:46:43,2018-04-01 13:53:52,20313.81
1,c-NIGER-500,NIGER-36,0,2018-04-02 04:52:04,2018-04-02 04:58:00,17012.08
2,c-NIGER-500,NIGER-35,3,2018-04-04 02:28:30,2018-04-04 02:31:46,15135.05
3,c-NIGER-500,NIGER-17,1,2018-04-05 02:57:48,2018-04-05 03:02:27,15644.12
4,c-NIGER-500,EXT-4,2,2018-04-06 04:30:41,2018-04-06 04:37:27,0.0
5,c-NIGER-500,NIGER-39,3,2018-04-06 18:48:44,2018-04-06 18:57:24,11515.93
6,c-NIGER-500,NIGER-20,0,2018-04-07 14:26:00,2018-04-07 14:30:22,20065.54
7,c-NIGER-500,NIGER-20,0,2018-04-08 08:23:43,2018-04-08 08:30:42,33542.15
8,c-NIGER-500,NIGER-38,1,2018-04-08 19:47:36,2018-04-08 19:54:08,25310.59
9,c-NIGER-500,NIGER-17,3,2018-04-10 01:41:18,2018-04-10 01:49:03,33932.98
10,c-NIGER-500,EXT-2,0,2018-04-10 22:34:22,2018-04-10 22:39:22,34664.02
11,c-NIGER-500,EXT-4,0,2018-04-10 23:44:41,2018-04-10 23:47:02,4489.83
12,c-NIGER-500,EXT-4,1,2018-04-13 05:56:09,2018-04-13 06:02:37,19621.26
13,c-NIGER-500,NIGER-39,0,2018-04-13 13:39:54,2018-04-13 13:44:31,10315.06
14,c-NIGER-500,NIGER-35,0,2018-04-14 00:45:38,2018-04-14 00:49:13,33981.44
15,c-NIGER-500,NIGER-38,3,2018-04-14 22:47:49,2018-04-14 22:53:51,38996.16
16,c-NIGER-500,NIGER-36,0,2018-04-15 03:07:17,2018-04-15 03:11:20,42337.39
17,c-NIGER-500,NIGER-36,1,2018-04-17 01:29:14,2018-04-17 01:33:21,10047.82
18,c-NIGER-500,NIGER-15,3,2018-04-17 10:15:24,2018-04-17 10:19:59,7378.65
19,c-NIGER-500,EXT-2,3,2018-04-17 12:38:12,2018-04-17 12:40:09,11145.27
20,c-NIGER-500,EXT-4,3,2018-04-18 04:49:52,2018-04-18 04:52:18,1900.83
21,c-NIGER-500,NIGER-15,0,2018-04-18 14:50:41,2018-04-18 14:55:48,18917.97
22,c-NIGER-500,NIGER-20,3,2018-04-18 20:49:08,2018-04-18 20:51:46,66498.88
23,c-NIGER-500,NIGER-22,0,2018-04-19 07:39:18,2018-04-19 07:40:05,44128.13
24,c-NIGER-500,NIGER-15,0,2018-04-19 21:20:06,2018-04-19 21:24:18,17897.37
25,c-NIGER-500,NIGER-39,0,2018-04-20 22:34:11,2018-04-20 22:38:40,16256.24
26,c-NIGER-500,NIGER-35,3,2018-04-21 05:42:53,2018-04-21 05:48:52,350.63
27,c-NIGER-500,EXT-2,2,2018-04-21 11:20:12,2018-04-21 11:25:12,0.0
28,c-NIGER-500,EXT-2,0,2018-04-21 12:38:27,2018-04-21 12:45:57,22552.33
29,c-NIGER-500,EXT-2,3,2018-04-21 17:20:28,2018-04-21 17:27:12,39140.87
30,c-NIGER-500,NIGER-36,0,2018-04-22 03:33:48,2018-04-22 03:41:08,27899.69
31,c-NIGER-500,NIGER-36,0,2018-04-22 21:38:01,2018-04-22 21:40:42,18377.86
