transaction_id,number_id,ATM_id,transaction_type,transaction_start,transaction_end,transaction_amount
2716,c-NIGER-636,NIGER-39,0,2018-04-01 00:00:47,,
2716,c-NIGER-636,NIGER-39,0,2018-04-01 00:00:47,2018-04-01 00:01:56,46970.16
17758,c-NIGER-1388,EXT-0,2,2018-04-01 00:06:06,,
45,c-NIGER-501,NIGER-22,0,2018-04-01 00:06:48,,
13716,c-NIGER-1189,NIGER-2,0,2018-04-01 00:07:25,,
16261,c-NIGER-1318,NIGER-2,0,2018-04-01 00:07:51,,
2830,c-NIGER-642,NIGER-39,1,2018-04-01 00:08:16,,
7858,c-NIGER-889,NIGER-39,0,2018-04-01 00:10:07,,
45,c-NIGER-501,NIGER-22,0,2018-04-01 00:06:48,2018-04-01 00:10:18,22445.05
13716,c-NIGER-1189,NIGER-2,0,2018-04-01 00:07:25,2018-04-01 00:10:22,41721.24
17758,c-NIGER-1388,EXT-0,2,2018-04-01 00:06:06,2018-04-01 00:11:09,0.0
72,c-NIGER-503,NIGER-35,0,2018-04-01 00:12:15,,
10002,c-NIGER-1003,NIGER-2,1,2018-04-01 00:12:15,,
5008,c-NIGER-757,NIGER-35,3,2018-04-01 00:12:20,,
2830,c-NIGER-642,NIGER-39,1,2018-04-01 00:08:16,2018-04-01 00:12:31,14873.13
72,c-NIGER-503,NIGER-35,0,2018-04-01 00:12:15,2018-04-01 00:14:42,343.88
10002,c-NIGER-1003,NIGER-2,1,2018-04-01 00:12:15,2018-04-01 00:14:42,16041.52
16261,c-NIGER-1318,NIGER-2,0,2018-04-01 00:07:51,2018-04-01 00:15:12,27813.58
7858,c-NIGER-889,NIGER-39,0,2018-04-01 00:10:07,2018-04-01 00:16:19,29002.48
5008,c-NIGER-757,NIGER-35,3,2018-04-01 00:12:20,2018-04-01 00:16:25,77617.48
4514,c-NIGER-733,NIGER-36,2,2018-04-01 00:19:24,,
14724,c-NIGER-1243,NIGER-40,0,2018-04-01 00:19:24,,
7088,c-NIGER-850,EXT-2,0,2018-04-01 00:21:16,,
5097,c-NIGER-760,NIGER-22,0,2018-04-01 00:24:02,,
6634,c-NIGER-830,NIGER-35,3,2018-04-01 00:24:42,,
14724,c-NIGER-1243,NIGER-40,0,2018-04-01 00:19:24,2018-04-01 00:26:50,13287.79
4514,c-NIGER-733,NIGER-36,2,2018-04-01 00:19:24,2018-04-01 00:26:50,0.0
8435,c-NIGER-916,NIGER-15,0,2018-04-01 00:28:11,,
