transaction_id,number_id,ATM_id,transaction_type,transaction_start,transaction_end,transaction_amount,transaction_start_scaled,transaction_end_scaled
42,c-NIGER-11,EXT-2,2,2018-04-01 03:57:05,,,2018-04-01 03:57:05,
42,c-NIGER-11,EXT-2,2,2018-04-01 03:57:05,2018-04-01 03:58:29,0.0,2018-04-01 03:57:05,2018-04-01 03:57:25
10,c-NIGER-2,NIGER-5,2,2018-04-01 04:45:22,,,2018-04-01 04:08:35,
10,c-NIGER-2,NIGER-5,2,2018-04-01 04:45:22,2018-04-01 04:49:37,0.0,2018-04-01 04:08:35,2018-04-01 04:09:35
29,c-NIGER-7,NIGER-3,0,2018-04-01 05:39:23,,,2018-04-01 04:21:27,
29,c-NIGER-7,NIGER-3,0,2018-04-01 05:39:23,2018-04-01 05:46:40,46953.33,2018-04-01 04:21:27,2018-04-01 04:23:11
24,c-NIGER-6,NIGER-4,1,2018-04-01 06:10:30,,,2018-04-01 04:28:51,
24,c-NIGER-6,NIGER-4,1,2018-04-01 06:10:30,2018-04-01 06:18:07,19275.44,2018-04-01 04:28:51,2018-04-01 04:30:40
43,c-NIGER-11,EXT-0,1,2018-04-01 10:54:38,,,2018-04-01 05:36:33,
43,c-NIGER-11,EXT-0,1,2018-04-01 10:54:38,2018-04-01 11:03:16,7654.3,2018-04-01 05:36:33,2018-04-01 05:38:36
7,c-NIGER-1,EXT-2,3,2018-04-01 12:38:09,,,2018-04-01 06:01:12,
7,c-NIGER-1,EXT-2,3,2018-04-01 12:38:09,2018-04-01 12:43:39,40028.33,2018-04-01 06:01:12,2018-04-01 06:02:31
15,c-NIGER-3,NIGER-5,0,2018-04-01 12:56:54,,,2018-04-01 06:05:40,
15,c-NIGER-3,NIGER-5,0,2018-04-01 12:56:54,2018-04-01 13:00:48,41987.59,2018-04-01 06:05:40,2018-04-01 06:06:36
25,c-NIGER-6,NIGER-6,0,2018-04-01 17:14:08,,,2018-04-01 07:06:57,
25,c-NIGER-6,NIGER-6,0,2018-04-01 17:14:08,2018-04-01 17:20:14,28546.6,2018-04-01 07:06:57,2018-04-01 07:08:24
18,c-NIGER-4,NIGER-9,3,2018-04-01 20:45:06,,,2018-04-01 07:57:13,
18,c-NIGER-4,NIGER-9,3,2018-04-01 20:45:06,2018-04-01 20:51:57,24793.64,2018-04-01 07:57:13,2018-04-01 07:58:51
0,c-NIGER-0,NIGER-7,0,2018-04-01 23:36:59,,,2018-04-01 08:38:09,
0,c-NIGER-0,NIGER-7,0,2018-04-01 23:36:59,2018-04-01 23:44:52,7826.58,2018-04-01 08:38:09,2018-04-01 08:40:02
44,c-NIGER-11,EXT-0,0,2018-04-02 16:02:28,,,2018-04-01 12:32:55,
44,c-NIGER-11,EXT-0,0,2018-04-02 16:02:28,2018-04-02 16:06:56,31158.52,2018-04-01 12:32:55,2018-04-01 12:33:59
11,c-NIGER-2,NIGER-3,0,2018-04-02 16:19:25,,,2018-04-01 12:36:58,
11,c-NIGER-2,NIGER-3,0,2018-04-02 16:19:25,2018-04-02 16:25:06,50789.21,2018-04-01 12:36:58,2018-04-01 12:38:19
16,c-NIGER-3,NIGER-1,0,2018-04-02 18:34:38,,,2018-04-01 13:09:10,
16,c-NIGER-3,NIGER-1,0,2018-04-02 18:34:38,2018-04-02 18:42:04,69755.93,2018-04-01 13:09:10,2018-04-01 13:10:57
33,c-NIGER-8,NIGER-1,3,2018-04-02 18:59:37,,,2018-04-01 13:15:08,
33,c-NIGER-8,NIGER-1,3,2018-04-02 18:59:37,2018-04-02 19:03:01,38921.18,2018-04-01 13:15:08,2018-04-01 13:15:56
34,c-NIGER-8,NIGER-3,1,2018-04-02 22:09:00,,,2018-04-01 14:00:15,
34,c-NIGER-8,NIGER-3,1,2018-04-02 22:09:00,2018-04-02 22:12:36,1998.01,2018-04-01 14:00:15,2018-04-01 14:01:06
45,c-NIGER-11,NIGER-8,0,2018-04-02 22:57:51,,,2018-04-01 14:11:53,
45,c-NIGER-11,NIGER-8,0,2018-04-02 22:57:51,2018-04-02 22:59:14,35441.71,2018-04-01 14:11:53,2018-04-01 14:12:13
30,c-NIGER-7,NIGER-1,3,2018-04-03 01:06:18,,,2018-04-01 14:42:29,
30,c-NIGER-7,NIGER-1,3,2018-04-03 01:06:18,2018-04-03 01:14:34,15293.52,2018-04-01 14:42:29,2018-04-01 14:44:27
39,c-NIGER-10,EXT-1,0,2018-04-03 03:00:26,,,2018-04-01 15:09:40,
39,c-NIGER-10,EXT-1,0,2018-04-03 03:00:26,2018-04-03 03:02:29,53015.58,2018-04-01 15:09:40,2018-04-01 15:10:09
17,c-NIGER-3,NIGER-5,0,2018-04-03 10:31:14,,,2018-04-01 16:57:04,
17,c-NIGER-3,NIGER-5,0,2018-04-03 10:31:14,2018-04-03 10:36:09,71686.34,2018-04-01 16:57:04,2018-04-01 16:58:14
40,c-NIGER-10,NIGER-1,0,2018-04-03 14:05:24,,,2018-04-01 17:48:05,
40,c-NIGER-10,NIGER-1,0,2018-04-03 14:05:24,2018-04-03 14:07:36,4905.32,2018-04-01 17:48:05,2018-04-01 17:48:36
8,c-NIGER-1,NIGER-8,0,2018-04-03 18:39:56,,,2018-04-01 18:53:29,
8,c-NIGER-1,NIGER-8,0,2018-04-03 18:39:56,2018-04-03 18:42:58,33963.87,2018-04-01 18:53:29,2018-04-01 18:54:12
12,c-NIGER-2,NIGER-5,0,2018-04-03 23:42:08,,,2018-04-01 20:05:28,
12,c-NIGER-2,NIGER-5,0,2018-04-03 23:42:08,2018-04-03 23:43:39,33252.26,2018-04-01 20:05:28,2018-04-01 20:05:50
31,c-NIGER-7,EXT-3,0,2018-04-04 01:54:48,,,2018-04-01 20:37:05,
31,c-NIGER-7,EXT-3,0,2018-04-04 01:54:48,2018-04-04 02:03:22,15784.28,2018-04-01 20:37:05,2018-04-01 20:39:07
1,c-NIGER-0,NIGER-4,3,2018-04-04 03:17:16,,,2018-04-01 20:56:43,
1,c-NIGER-0,NIGER-4,3,2018-04-04 03:17:16,2018-04-04 03:23:18,31720.04,2018-04-01 20:56:43,2018-04-01 20:58:10
26,c-NIGER-6,NIGER-4,2,2018-04-04 10:18:54,,,2018-04-01 22:37:10,
26,c-NIGER-6,NIGER-4,2,2018-04-04 10:18:54,2018-04-04 10:20:47,0.0,2018-04-01 22:37:10,2018-04-01 22:37:37
19,c-NIGER-4,NIGER-9,0,2018-04-04 10:47:34,,,2018-04-01 22:44:00,
13,c-NIGER-2,NIGER-1,1,2018-04-04 10:53:24,,,2018-04-01 22:45:23,
19,c-NIGER-4,NIGER-9,0,2018-04-04 10:47:34,2018-04-04 10:53:31,32525.77,2018-04-01 22:44:00,2018-04-01 22:45:25
