transaction_id,number_id,ATM_id,transaction_start,transaction_end,transaction_amount
0,0,1,2018-04-02 19:46:51,2018-04-02 19:47:18,57449.11
1,0,1,2018-04-03 01:25:27,2018-04-03 01:32:58,8106.64
7,1,1,2018-04-04 10:49:45,2018-04-04 10:54:06,22715.41
11,2,1,2018-04-04 22:22:44,2018-04-04 22:25:14,1810.21
2,0,1,2018-04-06 09:44:45,2018-04-06 09:50:43,37212.21
8,1,1,2018-04-06 10:49:00,2018-04-06 10:53:36,28305.5
9,1,1,2018-04-06 20:01:24,2018-04-06 20:06:07,23921.33
12,2,0,2018-04-07 06:02:23,2018-04-07 06:10:00,28406.82
3,0,0,2018-04-07 08:40:31,2018-04-07 08:44:46,29058.96
4,0,0,2018-04-07 20:51:34,2018-04-07 20:54:38,31787.83
5,0,1,2018-04-07 22:35:53,2018-04-07 22:40:57,39932.98
6,0,0,2018-04-10 03:41:27,2018-04-10 03:45:47,22947.33
10,1,1,2018-04-10 18:51:20,2018-04-10 18:53:43,5126.78
