transaction_id,number_id,ATM_id,transaction_start,transaction_end,transaction_amount
18,c-KANO-1,LAGO-2,2018-04-01 08:33:50,2018-04-01 08:39:59,40306.99
11,c-LAGO-2,ABYA-1,2018-04-01 08:53:14,2018-04-01 08:57:26,38133.11
0,c-LAGO-0,ABYA-4,2018-04-01 16:02:09,2018-04-01 16:07:50,28895.92
4,c-LAGO-1,LAGO-1,2018-04-01 22:50:14,2018-04-01 22:52:35,18741.38
5,c-LAGO-1,LAGO-1,2018-04-02 06:58:51,2018-04-02 07:06:17,1682.09
6,c-LAGO-1,LAGO-1,2018-04-02 14:11:42,2018-04-02 14:17:38,48101.07
19,c-KANO-1,ABYA-4,2018-04-02 19:10:46,2018-04-02 19:15:33,18876.93
12,c-LAGO-2,ABYA-1,2018-04-02 22:33:50,2018-04-02 22:40:05,22270.0
13,c-LAGO-2,KANO-0,2018-04-03 02:01:35,2018-04-03 02:07:24,17499.61
14,c-LAGO-2,ABYA-1,2018-04-03 12:02:03,2018-04-03 12:07:27,8949.17
15,c-LAGO-2,LAGO-2,2018-04-03 14:37:08,2018-04-03 14:45:08,15868.87
7,c-LAGO-1,LAGO-2,2018-04-04 10:38:47,2018-04-04 10:43:45,17511.28
21,c-ABYA-0,LAGO-2,2018-04-04 17:15:16,2018-04-04 17:19:07,35513.33
8,c-LAGO-1,LAGO-1,2018-04-07 02:39:36,2018-04-07 02:43:00,65136.33
9,c-LAGO-1,ABYA-1,2018-04-07 07:07:53,2018-04-07 07:13:00,29954.39
10,c-LAGO-1,ABYA-1,2018-04-07 08:46:23,2018-04-07 08:51:30,30077.82
1,c-LAGO-0,LAGO-2,2018-04-07 21:46:09,2018-04-07 21:52:11,21777.04
2,c-LAGO-0,LAGO-1,2018-04-08 01:24:07,2018-04-08 01:32:00,68817.17
16,c-LAGO-2,KANO-0,2018-04-08 02:09:10,2018-04-08 02:13:44,12761.22
17,c-LAGO-2,LAGO-2,2018-04-08 13:43:43,2018-04-08 13:46:35,31609.36
22,c-ABYA-0,ABYA-4,2018-04-09 16:25:55,2018-04-09 16:34:14,25480.7
3,c-LAGO-0,ABYA-4,2018-04-10 10:30:27,2018-04-10 10:37:47,10781.64
23,c-ABYA-0,LAGO-2,2018-04-10 15:17:55,2018-04-10 15:25:34,20420.66
20,c-KANO-1,LAGO-2,2018-04-10 17:04:39,2018-04-10 17:11:54,27664.64
