test,approach,tfft,totaltime,mrt,comp
30-0.02-16c,16c-1000f,0.08,16.21,8822903423,462
30-0.02-16c,16c-1000f,0.05,16.67,9121275339,462
30-0.02-16c,16c-1000f,0.06,16.26,8961736793,462
30-0.02-16c,16c-1000f,0.06,16.29,9067563157,462
30-0.02-16c,16c-1000f,0.04,16.19,8893053292,462
30-0.02-16c,16c-1000f,0.04,16.47,8896472125,462
30-0.02-16c,16c-1000f,0.06,16.21,8842866983,462
30-0.02-16c,16c-1000f,0.05,16.35,8922052429,462
30-0.02-16c,16c-1000f,0.06,17.05,9382272265,462
30-0.02-16c,16c-1000f,0.05,17.12,9472765019,462
