test,approach,answer,time,responseTime
30-0.02-16c,16c-10f,1,0.02,8459256.1
30-0.02-16c,16c-10f,2,0.03,6897187.8
30-0.02-16c,16c-10f,3,0.03,15491801.78
30-0.02-16c,16c-10f,4,0.04,29111695.22
30-0.02-16c,16c-10f,5,0.05,34580245.0
30-0.02-16c,16c-10f,6,0.05,25425243.78
30-0.02-16c,16c-10f,7,0.05,31018566.11
30-0.02-16c,16c-10f,8,0.06,31313907.78
30-0.02-16c,16c-10f,9,0.06,36847838.44
30-0.02-16c,16c-10f,10,0.07,47836086.11
30-0.02-16c,16c-10f,11,0.08,58275608.11
30-0.02-16c,16c-10f,12,0.08,66535415.22
30-0.02-16c,16c-10f,13,0.09,72687893.33
30-0.02-16c,16c-10f,14,0.1,85624290.22
30-0.02-16c,16c-10f,15,0.11,92813598.0
30-0.02-16c,16c-10f,16,0.25,238140184.44
30-0.02-16c,16c-10f,17,0.5,470969090.33
30-0.02-16c,16c-10f,18,0.53,504047729.22
30-0.02-16c,16c-10f,19,0.56,531962819.89
30-0.02-16c,16c-10f,20,0.58,547872337.11
30-0.02-16c,16c-10f,21,0.62,579706924.22
30-0.02-16c,16c-10f,22,0.72,665700215.33
30-0.02-16c,16c-10f,23,0.74,677475927.67
30-0.02-16c,16c-10f,24,0.76,707720388.44
30-0.02-16c,16c-10f,25,0.79,729946724.89
30-0.02-16c,16c-10f,26,0.81,761675905.33
30-0.02-16c,16c-10f,27,0.89,831041636.33
30-0.02-16c,16c-10f,28,0.94,889038950.67
30-0.02-16c,16c-10f,29,0.97,919843189.22
30-0.02-16c,16c-10f,30,1.02,971385351.22
30-0.02-16c,16c-10f,31,1.05,1008881589.0
30-0.02-16c,16c-10f,32,1.06,1020085344.67
30-0.02-16c,16c-10f,33,1.07,1034343153.11
30-0.02-16c,16c-10f,34,1.1,1055193290.44
30-0.02-16c,16c-10f,35,1.14,1100399392.67
30-0.02-16c,16c-10f,36,1.18,1130268908.78
30-0.02-16c,16c-10f,37,1.21,1166427752.78
30-0.02-16c,16c-10f,38,1.27,1216640641.56
30-0.02-16c,16c-10f,39,1.29,1233199141.78
30-0.02-16c,16c-10f,40,1.35,1279515011.56
30-0.02-16c,16c-10f,41,1.39,1322067386.78
30-0.02-16c,16c-10f,42,1.41,1329304136.56
30-0.02-16c,16c-10f,43,1.44,1382149710.78
30-0.02-16c,16c-10f,44,1.47,1421999963.0
30-0.02-16c,16c-10f,45,1.52,1467756503.22
30-0.02-16c,16c-10f,46,1.58,1519818714.44
30-0.02-16c,16c-10f,47,1.62,1565530624.78
30-0.02-16c,16c-10f,48,1.69,1616002007.11
30-0.02-16c,16c-10f,49,1.76,1672070309.33
30-0.02-16c,16c-10f,50,1.9,1806890437.89
30-0.02-16c,16c-10f,51,2.01,1914023083.22
30-0.02-16c,16c-10f,52,2.09,2009411137.0
30-0.02-16c,16c-10f,53,2.2,2103066059.67
30-0.02-16c,16c-10f,54,2.39,2266971213.22
30-0.02-16c,16c-10f,55,2.48,2375385613.89
30-0.02-16c,16c-10f,56,2.53,2422745202.11
30-0.02-16c,16c-10f,57,2.59,2491345407.22
30-0.02-16c,16c-10f,58,2.62,2492836645.44
30-0.02-16c,16c-10f,59,2.65,2559306763.11
30-0.02-16c,16c-10f,60,2.67,2551039891.89
30-0.02-16c,16c-10f,61,2.7,2596842783.44
30-0.02-16c,16c-10f,62,2.72,2625871065.0
30-0.02-16c,16c-10f,63,2.75,2649476364.44
30-0.02-16c,16c-10f,64,2.78,2663072841.11
30-0.02-16c,16c-10f,65,2.8,2686849853.11
30-0.02-16c,16c-10f,66,2.82,2709110208.0
30-0.02-16c,16c-10f,67,2.84,2730062103.44
30-0.02-16c,16c-10f,68,2.85,2756408467.56
30-0.02-16c,16c-10f,69,2.88,2780917050.22
30-0.02-16c,16c-10f,70,2.9,2786413100.0
30-0.02-16c,16c-10f,71,2.92,2824558521.67
30-0.02-16c,16c-10f,72,2.96,2870603283.67
30-0.02-16c,16c-10f,73,2.98,2894832574.33
30-0.02-16c,16c-10f,74,3.03,2927237503.67
30-0.02-16c,16c-10f,75,3.15,3064650636.11
30-0.02-16c,16c-10f,76,3.22,3110041513.11
30-0.02-16c,16c-10f,77,3.29,3177861417.11
30-0.02-16c,16c-10f,78,3.32,3173471611.44
30-0.02-16c,16c-10f,79,3.4,3223904258.44
30-0.02-16c,16c-10f,80,3.51,3379980023.56
30-0.02-16c,16c-10f,81,3.57,3472020756.78
30-0.02-16c,16c-10f,82,3.62,3528805140.33
30-0.02-16c,16c-10f,83,3.67,3562277866.67
30-0.02-16c,16c-10f,84,3.77,3646010687.67
30-0.02-16c,16c-10f,85,3.82,3697307124.78
30-0.02-16c,16c-10f,86,3.88,3753902502.67
30-0.02-16c,16c-10f,87,3.94,3808500598.0
30-0.02-16c,16c-10f,88,4.03,3875384204.22
30-0.02-16c,16c-10f,89,4.13,3958868770.33
30-0.02-16c,16c-10f,90,4.15,3996399582.22
30-0.02-16c,16c-10f,91,4.2,4026083918.33
30-0.02-16c,16c-10f,92,4.27,4096535735.22
30-0.02-16c,16c-10f,93,4.31,4129533860.0
30-0.02-16c,16c-10f,94,4.51,4337854888.89
30-0.02-16c,16c-10f,95,4.7,4524611060.33
30-0.02-16c,16c-10f,96,4.77,4649020715.78
30-0.02-16c,16c-10f,97,4.83,4678349026.33
30-0.02-16c,16c-10f,98,4.87,4683254409.0
30-0.02-16c,16c-10f,99,4.97,4817559441.44
30-0.02-16c,16c-10f,100,5.06,4866646488.33
30-0.02-16c,16c-10f,101,5.12,4926640946.44
30-0.02-16c,16c-10f,102,5.19,5009622586.0
30-0.02-16c,16c-10f,103,5.25,5058316815.44
30-0.02-16c,16c-10f,104,5.31,5144741370.11
30-0.02-16c,16c-10f,105,5.38,5204776317.11
30-0.02-16c,16c-10f,106,5.52,5328570147.67
30-0.02-16c,16c-10f,107,5.64,5441102454.33
30-0.02-16c,16c-10f,108,5.73,5560682251.56
30-0.02-16c,16c-10f,109,5.8,5619958755.33
30-0.02-16c,16c-10f,110,5.82,5632078777.89
30-0.02-16c,16c-10f,111,5.86,5641156914.11
30-0.02-16c,16c-10f,112,5.9,5720511886.0
30-0.02-16c,16c-10f,113,5.96,5765888759.0
30-0.02-16c,16c-10f,114,6.0,5815400828.22
30-0.02-16c,16c-10f,115,6.05,5852076827.22
30-0.02-16c,16c-10f,116,6.08,5892996717.22
30-0.02-16c,16c-10f,117,6.13,5940579455.0
30-0.02-16c,16c-10f,118,6.21,6033515145.44
30-0.02-16c,16c-10f,119,6.26,6062517325.44
30-0.02-16c,16c-10f,120,6.31,6086814999.78
30-0.02-16c,16c-10f,121,6.39,6198192893.78
30-0.02-16c,16c-10f,122,6.43,6213689289.33
30-0.02-16c,16c-10f,123,6.48,6232076854.56
30-0.02-16c,16c-10f,124,6.57,6336607237.22
30-0.02-16c,16c-10f,125,6.63,6392001792.11
30-0.02-16c,16c-10f,126,6.67,6435626621.56
30-0.02-16c,16c-10f,127,6.71,6380267363.44
30-0.02-16c,16c-10f,128,6.73,6497502363.11
30-0.02-16c,16c-10f,129,6.83,6594754516.78
30-0.02-16c,16c-10f,130,6.89,6669283696.67
30-0.02-16c,16c-10f,131,6.96,6742488138.33
30-0.02-16c,16c-10f,132,7.05,6850823001.44
30-0.02-16c,16c-10f,133,7.09,6873204565.89
30-0.02-16c,16c-10f,134,7.12,6880152414.33
30-0.02-16c,16c-10f,135,7.16,6973302858.56
30-0.02-16c,16c-10f,136,7.24,7030284265.33
30-0.02-16c,16c-10f,137,7.3,7053157639.67
30-0.02-16c,16c-10f,138,7.38,7154776244.22
30-0.02-16c,16c-10f,139,7.44,7199764881.56
30-0.02-16c,16c-10f,140,7.49,7254790143.0
30-0.02-16c,16c-10f,141,7.57,7356467211.67
30-0.02-16c,16c-10f,142,7.62,7382846782.56
30-0.02-16c,16c-10f,143,7.68,7429047047.33
30-0.02-16c,16c-10f,144,7.82,7590579740.67
30-0.02-16c,16c-10f,145,7.9,7655584699.78
30-0.02-16c,16c-10f,146,7.95,7722791181.67
30-0.02-16c,16c-10f,147,8.05,7808841639.44
30-0.02-16c,16c-10f,148,8.1,7869523176.67
30-0.02-16c,16c-10f,149,8.16,7919462506.56
30-0.02-16c,16c-10f,150,8.23,7983186960.44
30-0.02-16c,16c-10f,151,8.28,8029696372.22
30-0.02-16c,16c-10f,152,8.35,8108736690.89
30-0.02-16c,16c-10f,153,8.4,8158862407.44
30-0.02-16c,16c-10f,154,8.44,8192675582.78
30-0.02-16c,16c-10f,155,8.5,8244717094.44
30-0.02-16c,16c-10f,156,8.54,8281920334.11
30-0.02-16c,16c-10f,157,8.59,8343502220.89
30-0.02-16c,16c-10f,158,8.63,8384722231.22
30-0.02-16c,16c-10f,159,8.66,8387008605.0
30-0.02-16c,16c-10f,160,8.7,8443063755.22
30-0.02-16c,16c-10f,161,8.75,8489476997.0
30-0.02-16c,16c-10f,162,8.8,8526398594.33
30-0.02-16c,16c-10f,163,8.86,8580282759.67
30-0.02-16c,16c-10f,164,8.9,8629476232.33
30-0.02-16c,16c-10f,165,8.92,8683303141.78
30-0.02-16c,16c-10f,166,8.94,8661764170.67
30-0.02-16c,16c-10f,167,8.98,8721892068.56
30-0.02-16c,16c-10f,168,9.0,8754013191.0
30-0.02-16c,16c-10f,169,9.04,8777070366.22
30-0.02-16c,16c-10f,170,9.06,8822362684.56
30-0.02-16c,16c-10f,171,9.11,8840271456.78
30-0.02-16c,16c-10f,172,9.13,8843122441.0
30-0.02-16c,16c-10f,173,9.16,8896658158.0
30-0.02-16c,16c-10f,174,9.2,8931602763.89
30-0.02-16c,16c-10f,175,9.26,9002564707.33
