test,approach,answer,time,responseTime
30-0.02-16c,16c-10f,1,0.02,8979266.00
30-0.02-16c,16c-10f,2,0.03,7019461.00
30-0.02-16c,16c-10f,3,0.03,13567654.00
30-0.02-16c,16c-10f,4,0.04,36598981.00
30-0.02-16c,16c-10f,5,0.05,40226399.00
30-0.02-16c,16c-10f,6,0.05,22793384.00
30-0.02-16c,16c-10f,7,0.05,48035101.00
30-0.02-16c,16c-10f,8,0.06,16416983.00
30-0.02-16c,16c-10f,9,0.06,30255982.00
30-0.02-16c,16c-10f,10,0.07,46734732.00
30-0.02-16c,16c-10f,11,0.08,48541468.00
30-0.02-16c,16c-10f,12,0.08,68146571.00
30-0.02-16c,16c-10f,13,0.09,80344500.00
30-0.02-16c,16c-10f,14,0.11,93168718.00
30-0.02-16c,16c-10f,15,0.12,92421193.00
30-0.02-16c,16c-10f,16,0.29,279163286.00
30-0.02-16c,16c-10f,17,0.49,463296804.00
30-0.02-16c,16c-10f,18,0.53,509404165.00
30-0.02-16c,16c-10f,19,0.56,539084537.00
30-0.02-16c,16c-10f,20,0.59,555407830.00
30-0.02-16c,16c-10f,21,0.61,566595418.00
30-0.02-16c,16c-10f,22,0.72,670991806.00
30-0.02-16c,16c-10f,23,0.73,696946003.00
30-0.02-16c,16c-10f,24,0.75,701382232.00
30-0.02-16c,16c-10f,25,0.78,726699196.00
30-0.02-16c,16c-10f,26,0.80,723812569.00
30-0.02-16c,16c-10f,27,0.94,905470492.00
30-0.02-16c,16c-10f,28,0.95,867552243.00
30-0.02-16c,16c-10f,29,0.98,927299282.00
30-0.02-16c,16c-10f,30,1.01,959440799.00
30-0.02-16c,16c-10f,31,1.02,983288463.00
30-0.02-16c,16c-10f,32,1.02,987154241.00
30-0.02-16c,16c-10f,33,1.04,999370082.00
30-0.02-16c,16c-10f,34,1.07,1016896878.00
30-0.02-16c,16c-10f,35,1.17,1133005800.00
30-0.02-16c,16c-10f,36,1.21,1168229982.00
30-0.02-16c,16c-10f,37,1.25,1210909891.00
30-0.02-16c,16c-10f,38,1.26,1208842885.00
30-0.02-16c,16c-10f,39,1.29,1250407083.00
30-0.02-16c,16c-10f,40,1.31,1242082991.00
30-0.02-16c,16c-10f,41,1.44,1383505928.00
30-0.02-16c,16c-10f,42,1.48,1390813861.00
30-0.02-16c,16c-10f,43,1.50,1451834444.00
30-0.02-16c,16c-10f,44,1.51,1420090396.00
30-0.02-16c,16c-10f,45,1.56,1496840144.00
30-0.02-16c,16c-10f,46,1.60,1558004904.00
30-0.02-16c,16c-10f,47,1.60,1550583421.00
30-0.02-16c,16c-10f,48,1.66,1608917437.00
30-0.02-16c,16c-10f,49,1.88,1773275484.00
30-0.02-16c,16c-10f,50,1.91,1799777614.00
30-0.02-16c,16c-10f,51,2.00,1906707903.00
30-0.02-16c,16c-10f,52,2.17,2100801230.00
30-0.02-16c,16c-10f,53,2.20,2097851217.00
30-0.02-16c,16c-10f,54,2.51,2438639973.00
30-0.02-16c,16c-10f,55,2.51,2352016559.00
30-0.02-16c,16c-10f,56,2.62,2526497849.00
30-0.02-16c,16c-10f,57,2.68,2573305396.00
30-0.02-16c,16c-10f,58,2.69,2597273087.00
30-0.02-16c,16c-10f,59,2.70,2617131929.00
30-0.02-16c,16c-10f,60,2.70,2589677108.00
30-0.02-16c,16c-10f,61,2.73,2584031871.00
30-0.02-16c,16c-10f,62,2.73,2655206394.00
30-0.02-16c,16c-10f,63,2.77,2687704276.00
30-0.02-16c,16c-10f,64,2.79,2540276399.00
30-0.02-16c,16c-10f,65,2.79,2714912502.00
30-0.02-16c,16c-10f,66,2.81,2710282478.00
30-0.02-16c,16c-10f,67,2.83,2750710206.00
30-0.02-16c,16c-10f,68,2.84,2777324119.00
30-0.02-16c,16c-10f,69,2.90,2796313033.00
30-0.02-16c,16c-10f,70,2.90,2797454616.00
30-0.02-16c,16c-10f,71,2.91,2809542894.00
30-0.02-16c,16c-10f,72,2.99,2900578990.00
30-0.02-16c,16c-10f,73,2.99,2886669636.00
30-0.02-16c,16c-10f,74,3.00,2851472130.00
30-0.02-16c,16c-10f,75,3.17,3085886217.00
30-0.02-16c,16c-10f,76,3.25,3166835027.00
30-0.02-16c,16c-10f,77,3.30,3030525457.00
30-0.02-16c,16c-10f,78,3.31,3204060317.00
30-0.02-16c,16c-10f,79,3.42,3286586625.00
30-0.02-16c,16c-10f,80,3.53,3435000614.00
