test,approach,answer,time,responseTime
30-0.02-16c,16c-2f,1,0.04,37485050.5
30-0.02-16c,16c-2f,2,0.05,35888647.4
30-0.02-16c,16c-2f,3,0.05,32221618.2
30-0.02-16c,16c-2f,4,0.06,44740229.1
30-0.02-16c,16c-2f,5,0.06,37255951.6
30-0.02-16c,16c-2f,6,0.07,42034027.2
30-0.02-16c,16c-2f,7,0.09,77922121.2
30-0.02-16c,16c-2f,8,0.3,257552832.7
30-0.02-16c,16c-2f,9,0.31,294646116.7
30-0.02-16c,16c-2f,10,0.39,376563487.9
30-0.02-16c,16c-2f,11,0.62,604029496.5
30-0.02-16c,16c-2f,12,0.7,676897158.8
30-0.02-16c,16c-2f,13,0.94,918047552.8
30-0.02-16c,16c-2f,14,0.98,927075590.2
30-0.02-16c,16c-2f,15,1.04,987516385.7
30-0.02-16c,16c-2f,16,1.07,1022248593.5
30-0.02-16c,16c-2f,17,1.3,1282840728.8
30-0.02-16c,16c-2f,18,1.44,1415104560.3
30-0.02-16c,16c-2f,19,1.84,1818577284.2
30-0.02-16c,16c-2f,20,2.0,1971248454.3
30-0.02-16c,16c-2f,21,2.12,2092368762.5
30-0.02-16c,16c-2f,22,2.37,2302362438.1
30-0.02-16c,16c-2f,23,2.42,2363912722.7
30-0.02-16c,16c-2f,24,2.47,2433739615.5
30-0.02-16c,16c-2f,25,3.11,3083209697.1
30-0.02-16c,16c-2f,26,3.24,3160564908.3
30-0.02-16c,16c-2f,27,3.78,3746774516.8
30-0.02-16c,16c-2f,28,4.01,3970344616.8
30-0.02-16c,16c-2f,29,4.19,4156607039.8
30-0.02-16c,16c-2f,30,4.24,4201895500.9
30-0.02-16c,16c-2f,31,4.29,4256531059.4
30-0.02-16c,16c-2f,32,4.32,4282869106.5
30-0.02-16c,16c-2f,33,4.47,4387189183.5
30-0.02-16c,16c-2f,34,4.56,4492827755.9
30-0.02-16c,16c-2f,35,4.6,4530419115.3
30-0.02-16c,16c-2f,36,4.66,4599321518.7
30-0.02-16c,16c-2f,37,4.7,4650597349.4
