test,approach,answer,time,responseTime
30-0.02-8c,8c-10f,1,0.01,5474391.00
30-0.02-8c,8c-10f,2,0.02,7815143.00
30-0.02-8c,8c-10f,3,0.02,10959850.00
30-0.02-8c,8c-10f,4,0.02,19738156.00
30-0.02-8c,8c-10f,5,0.02,21514324.00
30-0.02-8c,8c-10f,6,0.03,25470539.00
30-0.02-8c,8c-10f,7,0.03,12487202.00
30-0.02-8c,8c-10f,8,0.03,2704754.00
30-0.02-8c,8c-10f,9,0.03,22029155.00
30-0.02-8c,8c-10f,10,0.03,16467442.00
30-0.02-8c,8c-10f,11,0.04,21691142.00
30-0.02-8c,8c-10f,12,0.04,36433289.00
30-0.02-8c,8c-10f,13,0.04,36381860.00
30-0.02-8c,8c-10f,14,0.06,49991123.00
30-0.02-8c,8c-10f,15,0.06,41513878.00
30-0.02-8c,8c-10f,16,0.12,109492947.00
30-0.02-8c,8c-10f,17,0.31,296882365.00
30-0.02-8c,8c-10f,18,0.33,316188294.00
30-0.02-8c,8c-10f,19,0.33,304248656.00
30-0.02-8c,8c-10f,20,0.34,326604176.00
30-0.02-8c,8c-10f,21,0.35,327987598.00
30-0.02-8c,8c-10f,22,0.39,358706176.00
30-0.02-8c,8c-10f,23,0.40,369257201.00
30-0.02-8c,8c-10f,24,0.41,392879099.00
30-0.02-8c,8c-10f,25,0.41,376952176.00
30-0.02-8c,8c-10f,26,0.42,369822663.00
30-0.02-8c,8c-10f,27,0.46,410779853.00
30-0.02-8c,8c-10f,28,0.47,436501283.00
30-0.02-8c,8c-10f,29,0.48,461731823.00
30-0.02-8c,8c-10f,30,0.49,453947660.00
30-0.02-8c,8c-10f,31,0.50,464793353.00
30-0.02-8c,8c-10f,32,0.50,480024027.00
30-0.02-8c,8c-10f,33,0.51,484351140.00
30-0.02-8c,8c-10f,34,0.52,491960159.00
30-0.02-8c,8c-10f,35,0.57,536221949.00
30-0.02-8c,8c-10f,36,0.58,551899829.00
30-0.02-8c,8c-10f,37,0.58,557503699.00
30-0.02-8c,8c-10f,38,0.60,573966679.00
30-0.02-8c,8c-10f,39,0.62,569294627.00
30-0.02-8c,8c-10f,40,0.64,613424076.00
30-0.02-8c,8c-10f,41,0.68,652058641.00
30-0.02-8c,8c-10f,42,0.68,615329160.00
30-0.02-8c,8c-10f,43,0.68,622532902.00
30-0.02-8c,8c-10f,44,0.69,650160215.00
30-0.02-8c,8c-10f,45,0.70,667843892.00
30-0.02-8c,8c-10f,46,0.73,690107564.00
30-0.02-8c,8c-10f,47,0.77,741006100.00
30-0.02-8c,8c-10f,48,0.80,767005242.00
30-0.02-8c,8c-10f,49,0.84,769333779.00
30-0.02-8c,8c-10f,50,0.94,865378434.00
30-0.02-8c,8c-10f,51,0.95,892912000.00
30-0.02-8c,8c-10f,52,0.99,945596132.00
30-0.02-8c,8c-10f,53,1.04,977910929.00
30-0.02-8c,8c-10f,54,1.09,994384346.00
30-0.02-8c,8c-10f,55,1.16,1111405813.00
30-0.02-8c,8c-10f,56,1.21,1153172755.00
30-0.02-8c,8c-10f,57,1.21,1149290877.00
30-0.02-8c,8c-10f,58,1.22,1133993195.00
30-0.02-8c,8c-10f,59,1.23,1175717739.00
30-0.02-8c,8c-10f,60,1.23,1155274126.00
30-0.02-8c,8c-10f,61,1.24,1164827978.00
30-0.02-8c,8c-10f,62,1.24,1174209838.00
30-0.02-8c,8c-10f,63,1.25,1212050228.00
30-0.02-8c,8c-10f,64,1.28,1225570135.00
30-0.02-8c,8c-10f,65,1.28,1127591913.00
30-0.02-8c,8c-10f,66,1.29,1218821395.00
30-0.02-8c,8c-10f,67,1.30,1247468247.00
30-0.02-8c,8c-10f,68,1.31,1254476103.00
30-0.02-8c,8c-10f,69,1.33,1269336830.00
30-0.02-8c,8c-10f,70,1.33,1256810211.00
30-0.02-8c,8c-10f,71,1.33,1261580958.00
30-0.02-8c,8c-10f,72,1.33,1258992480.00
30-0.02-8c,8c-10f,73,1.34,1246072877.00
30-0.02-8c,8c-10f,74,1.36,1292057714.00
30-0.02-8c,8c-10f,75,1.43,1369697256.00
30-0.02-8c,8c-10f,76,1.46,1404035540.00
30-0.02-8c,8c-10f,77,1.50,1430088727.00
30-0.02-8c,8c-10f,78,1.51,1328017275.00
30-0.02-8c,8c-10f,79,1.56,1478256155.00
