test,approach,tfft,totaltime,mrt,comp
30-0.02-8c,8c-1f,0.02,19.82,2358957786,462
30-0.02-8c,8c-2f,0.01,15.09,2084005238,462
30-0.02-8c,8c-5f,0.01,10.22,2424132991,462
30-0.02-8c,8c-10f,0.01,8.37,3341011068,462
30-0.02-8c,8c-20f,0.01,7.44,3786149462,462
30-0.02-8c,8c-40f,0.02,7.04,3533549459,462
30-0.02-8c,8c-100f,0.02,7.02,3360411629,462
30-0.02-8c,8c-200f,0.02,7.63,3696564215,462
30-0.02-8c,8c-500f,0.04,10.77,5436159320,462
30-0.02-8c,8c-1000f,0.1,9.12,5123978039,462
30-0.02-8c,8c-2000f,0.08,8.82,5183005124,462
