test,approach,answer,time
30-0.02-2c,2c-5f,1,0.04
30-0.02-2c,2c-5f,2,0.07
30-0.02-2c,2c-5f,3,0.08
30-0.02-2c,2c-5f,4,0.09
30-0.02-2c,2c-5f,5,0.1
30-0.02-2c,2c-5f,6,0.12
30-0.02-2c,2c-5f,7,0.14
30-0.02-2c,2c-5f,8,0.15
30-0.02-2c,2c-5f,9,0.17
30-0.02-2c,2c-5f,10,0.27
30-0.02-2c,2c-5f,11,0.3
30-0.02-2c,2c-5f,12,0.35
30-0.02-2c,2c-5f,13,0.36
30-0.02-2c,2c-5f,14,0.49
30-0.02-2c,2c-5f,15,0.52
30-0.02-2c,2c-5f,16,0.72
30-0.02-2c,2c-5f,17,0.72
30-0.02-2c,2c-5f,18,0.78
30-0.02-2c,2c-5f,19,0.79
30-0.02-2c,2c-5f,20,0.83
30-0.02-2c,2c-5f,21,1.15
30-0.02-2c,2c-5f,22,1.27
30-0.02-2c,2c-5f,23,1.38
30-0.02-2c,2c-5f,24,1.45
30-0.02-2c,2c-5f,25,1.46
30-0.02-2c,2c-5f,26,1.52
30-0.02-2c,2c-5f,27,1.53
30-0.02-2c,2c-5f,28,1.54
30-0.02-2c,2c-5f,29,1.57
30-0.02-2c,2c-5f,30,1.59
30-0.02-2c,2c-5f,31,1.63
30-0.02-2c,2c-5f,32,1.66
30-0.02-2c,2c-5f,33,1.71
30-0.02-2c,2c-5f,34,1.74
30-0.02-2c,2c-5f,35,1.8
30-0.02-2c,2c-5f,36,1.94
30-0.02-2c,2c-5f,37,2.25
30-0.02-2c,2c-5f,38,2.27
30-0.02-2c,2c-5f,39,2.35
30-0.02-2c,2c-5f,40,2.37
30-0.02-2c,2c-5f,41,2.39
30-0.02-2c,2c-5f,42,2.41
30-0.02-2c,2c-5f,43,2.49
30-0.02-2c,2c-5f,44,2.61
30-0.02-2c,2c-5f,45,2.72
30-0.02-2c,2c-5f,46,2.92
30-0.02-2c,2c-5f,47,2.94
30-0.02-2c,2c-5f,48,2.99
30-0.02-2c,2c-5f,49,3.16
30-0.02-2c,2c-5f,50,3.24
30-0.02-2c,2c-5f,51,3.4
30-0.02-2c,2c-5f,52,3.57
30-0.02-2c,2c-5f,53,3.83
30-0.02-2c,2c-5f,54,3.92
30-0.02-2c,2c-5f,55,4.04
30-0.02-2c,2c-5f,56,4.06
30-0.02-2c,2c-5f,57,4.07
30-0.02-2c,2c-5f,58,4.09
30-0.02-2c,2c-5f,59,4.11
30-0.02-2c,2c-5f,60,4.12
30-0.02-2c,2c-5f,61,4.14
30-0.02-2c,2c-5f,62,4.25
30-0.02-2c,2c-5f,63,4.28
30-0.02-2c,2c-5f,64,4.37
30-0.02-2c,2c-5f,65,4.38
30-0.02-2c,2c-5f,66,4.52
30-0.02-2c,2c-5f,67,4.58
30-0.02-2c,2c-5f,68,4.66
30-0.02-2c,2c-5f,69,4.69
30-0.02-2c,2c-5f,70,4.84
30-0.02-2c,2c-5f,71,4.86
30-0.02-2c,2c-5f,72,4.88
30-0.02-2c,2c-5f,73,4.92
30-0.02-2c,2c-5f,74,5.11
30-0.02-2c,2c-5f,75,5.19
30-0.02-2c,2c-5f,76,5.23
30-0.02-2c,2c-5f,77,5.27
30-0.02-2c,2c-5f,78,5.54
30-0.02-2c,2c-5f,79,6.02
30-0.02-2c,2c-5f,80,6.07
30-0.02-2c,2c-5f,81,6.09
30-0.02-2c,2c-5f,82,6.14
30-0.02-2c,2c-5f,83,6.2
30-0.02-2c,2c-5f,84,6.41
30-0.02-2c,2c-5f,85,6.67
30-0.02-2c,2c-5f,86,6.78
30-0.02-2c,2c-5f,87,6.81
30-0.02-2c,2c-5f,88,6.87
30-0.02-2c,2c-5f,89,6.92
30-0.02-2c,2c-5f,90,6.94
30-0.02-2c,2c-5f,91,7.01
30-0.02-2c,2c-5f,92,7.04
30-0.02-2c,2c-5f,93,7.05
30-0.02-2c,2c-5f,94,7.08
30-0.02-2c,2c-5f,95,7.15
30-0.02-2c,2c-5f,96,7.21
30-0.02-2c,2c-5f,97,7.38
30-0.02-2c,2c-5f,98,7.4
30-0.02-2c,2c-5f,99,7.7
30-0.02-2c,2c-5f,100,7.72
30-0.02-2c,2c-5f,101,7.85
30-0.02-2c,2c-5f,102,8.15
30-0.02-2c,2c-5f,103,8.34
30-0.02-2c,2c-5f,104,8.61
30-0.02-2c,2c-5f,105,8.64
30-0.02-2c,2c-5f,106,8.66
30-0.02-2c,2c-5f,107,9.06
30-0.02-2c,2c-5f,108,9.09
30-0.02-2c,2c-5f,109,9.18
30-0.02-2c,2c-5f,110,9.27
30-0.02-2c,2c-5f,111,9.29
30-0.02-2c,2c-5f,112,9.3
30-0.02-2c,2c-5f,113,9.33
30-0.02-2c,2c-5f,114,9.51
30-0.02-2c,2c-5f,115,9.53
30-0.02-2c,2c-5f,116,9.66
30-0.02-2c,2c-5f,117,9.84
30-0.02-2c,2c-5f,118,9.88
30-0.02-2c,2c-5f,119,10.03
30-0.02-2c,2c-5f,120,10.04
30-0.02-2c,2c-5f,121,10.07
30-0.02-2c,2c-5f,122,10.11
30-0.02-2c,2c-5f,123,10.12
30-0.02-2c,2c-5f,124,10.5
30-0.02-2c,2c-5f,125,10.64
30-0.02-2c,2c-5f,126,10.68
30-0.02-2c,2c-5f,127,10.73
30-0.02-2c,2c-5f,128,10.96
30-0.02-2c,2c-5f,129,11.04
