test,approach,answer,time
30-0.02-4c,4c-20f,1,0.03
30-0.02-4c,4c-20f,2,0.06
30-0.02-4c,4c-20f,3,0.06
30-0.02-4c,4c-20f,4,0.06
30-0.02-4c,4c-20f,5,0.06
30-0.02-4c,4c-20f,6,0.06
30-0.02-4c,4c-20f,7,0.06
30-0.02-4c,4c-20f,8,0.06
30-0.02-4c,4c-20f,9,0.06
30-0.02-4c,4c-20f,10,0.07
30-0.02-4c,4c-20f,11,0.11
30-0.02-4c,4c-20f,12,0.12
30-0.02-4c,4c-20f,13,0.13
30-0.02-4c,4c-20f,14,0.15
30-0.02-4c,4c-20f,15,0.17
30-0.02-4c,4c-20f,16,0.22
30-0.02-4c,4c-20f,17,0.52
30-0.02-4c,4c-20f,18,0.55
30-0.02-4c,4c-20f,19,0.66
30-0.02-4c,4c-20f,20,0.70
30-0.02-4c,4c-20f,21,0.73
30-0.02-4c,4c-20f,22,0.75
30-0.02-4c,4c-20f,23,0.79
30-0.02-4c,4c-20f,24,0.93
30-0.02-4c,4c-20f,25,0.93
30-0.02-4c,4c-20f,26,0.95
30-0.02-4c,4c-20f,27,0.95
30-0.02-4c,4c-20f,28,0.98
30-0.02-4c,4c-20f,29,0.99
30-0.02-4c,4c-20f,30,1.00
30-0.02-4c,4c-20f,31,1.02
30-0.02-4c,4c-20f,32,1.03
30-0.02-4c,4c-20f,33,1.06
30-0.02-4c,4c-20f,34,1.06
30-0.02-4c,4c-20f,35,1.07
30-0.02-4c,4c-20f,36,1.08
30-0.02-4c,4c-20f,37,1.11
30-0.02-4c,4c-20f,38,1.12
30-0.02-4c,4c-20f,39,1.17
30-0.02-4c,4c-20f,40,1.20
30-0.02-4c,4c-20f,41,1.20
30-0.02-4c,4c-20f,42,1.24
30-0.02-4c,4c-20f,43,1.35
30-0.02-4c,4c-20f,44,1.40
30-0.02-4c,4c-20f,45,1.45
30-0.02-4c,4c-20f,46,1.46
30-0.02-4c,4c-20f,47,1.49
30-0.02-4c,4c-20f,48,1.53
30-0.02-4c,4c-20f,49,1.66
30-0.02-4c,4c-20f,50,1.78
30-0.02-4c,4c-20f,51,1.79
30-0.02-4c,4c-20f,52,1.83
30-0.02-4c,4c-20f,53,1.99
30-0.02-4c,4c-20f,54,2.03
30-0.02-4c,4c-20f,55,2.05
30-0.02-4c,4c-20f,56,2.08
30-0.02-4c,4c-20f,57,2.14
30-0.02-4c,4c-20f,58,2.18
30-0.02-4c,4c-20f,59,2.19
30-0.02-4c,4c-20f,60,2.21
30-0.02-4c,4c-20f,61,2.29
30-0.02-4c,4c-20f,62,2.30
30-0.02-4c,4c-20f,63,2.33
30-0.02-4c,4c-20f,64,2.38
30-0.02-4c,4c-20f,65,2.40
30-0.02-4c,4c-20f,66,2.46
30-0.02-4c,4c-20f,67,2.49
30-0.02-4c,4c-20f,68,2.53
30-0.02-4c,4c-20f,69,2.55
30-0.02-4c,4c-20f,70,2.56
30-0.02-4c,4c-20f,71,2.56
30-0.02-4c,4c-20f,72,2.63
30-0.02-4c,4c-20f,73,2.71
30-0.02-4c,4c-20f,74,2.72
30-0.02-4c,4c-20f,75,2.72
30-0.02-4c,4c-20f,76,2.81
30-0.02-4c,4c-20f,77,2.86
30-0.02-4c,4c-20f,78,2.88
30-0.02-4c,4c-20f,79,3.05
30-0.02-4c,4c-20f,80,3.13
30-0.02-4c,4c-20f,81,3.14
30-0.02-4c,4c-20f,82,3.20
30-0.02-4c,4c-20f,83,3.26
30-0.02-4c,4c-20f,84,3.27
30-0.02-4c,4c-20f,85,3.28
30-0.02-4c,4c-20f,86,3.32
30-0.02-4c,4c-20f,87,3.56
30-0.02-4c,4c-20f,88,3.58
30-0.02-4c,4c-20f,89,3.61
