test,approach,answer,time
30-0.02-16c,16c-1000f,1,0.06
30-0.02-16c,16c-1000f,2,0.08
30-0.02-16c,16c-1000f,3,0.08
30-0.02-16c,16c-1000f,4,0.11
30-0.02-16c,16c-1000f,5,0.31
30-0.02-16c,16c-1000f,6,0.32
30-0.02-16c,16c-1000f,7,0.32
30-0.02-16c,16c-1000f,8,0.35
30-0.02-16c,16c-1000f,9,0.39
30-0.02-16c,16c-1000f,10,0.40
30-0.02-16c,16c-1000f,11,0.42
30-0.02-16c,16c-1000f,12,0.42
30-0.02-16c,16c-1000f,13,0.45
30-0.02-16c,16c-1000f,14,0.49
30-0.02-16c,16c-1000f,15,0.49
30-0.02-16c,16c-1000f,16,0.55
30-0.02-16c,16c-1000f,17,0.64
30-0.02-16c,16c-1000f,18,0.74
30-0.02-16c,16c-1000f,19,0.78
30-0.02-16c,16c-1000f,20,0.80
30-0.02-16c,16c-1000f,21,0.81
30-0.02-16c,16c-1000f,22,0.88
30-0.02-16c,16c-1000f,23,0.90
30-0.02-16c,16c-1000f,24,0.94
30-0.02-16c,16c-1000f,25,1.03
30-0.02-16c,16c-1000f,26,1.04
30-0.02-16c,16c-1000f,27,1.04
30-0.02-16c,16c-1000f,28,1.06
30-0.02-16c,16c-1000f,29,1.09
30-0.02-16c,16c-1000f,30,1.09
30-0.02-16c,16c-1000f,31,1.11
30-0.02-16c,16c-1000f,32,1.21
30-0.02-16c,16c-1000f,33,1.23
30-0.02-16c,16c-1000f,34,1.25
30-0.02-16c,16c-1000f,35,1.25
30-0.02-16c,16c-1000f,36,1.27
30-0.02-16c,16c-1000f,37,1.28
30-0.02-16c,16c-1000f,38,1.29
30-0.02-16c,16c-1000f,39,1.35
30-0.02-16c,16c-1000f,40,1.53
30-0.02-16c,16c-1000f,41,1.53
30-0.02-16c,16c-1000f,42,1.54
30-0.02-16c,16c-1000f,43,1.58
30-0.02-16c,16c-1000f,44,1.60
30-0.02-16c,16c-1000f,45,1.65
30-0.02-16c,16c-1000f,46,1.67
30-0.02-16c,16c-1000f,47,1.73
30-0.02-16c,16c-1000f,48,1.73
30-0.02-16c,16c-1000f,49,1.74
30-0.02-16c,16c-1000f,50,1.74
30-0.02-16c,16c-1000f,51,1.76
30-0.02-16c,16c-1000f,52,1.77
30-0.02-16c,16c-1000f,53,1.77
30-0.02-16c,16c-1000f,54,1.81
30-0.02-16c,16c-1000f,55,1.85
30-0.02-16c,16c-1000f,56,1.94
30-0.02-16c,16c-1000f,57,2.07
30-0.02-16c,16c-1000f,58,2.14
30-0.02-16c,16c-1000f,59,2.24
30-0.02-16c,16c-1000f,60,2.25
30-0.02-16c,16c-1000f,61,2.36
30-0.02-16c,16c-1000f,62,2.47
30-0.02-16c,16c-1000f,63,2.47
30-0.02-16c,16c-1000f,64,2.54
30-0.02-16c,16c-1000f,65,2.66
30-0.02-16c,16c-1000f,66,2.69
30-0.02-16c,16c-1000f,67,2.71
30-0.02-16c,16c-1000f,68,2.75
30-0.02-16c,16c-1000f,69,2.78
30-0.02-16c,16c-1000f,70,2.85
30-0.02-16c,16c-1000f,71,3.06
30-0.02-16c,16c-1000f,72,3.10
30-0.02-16c,16c-1000f,73,3.27
30-0.02-16c,16c-1000f,74,3.30
30-0.02-16c,16c-1000f,75,3.34
