test,approach,answer,time
30-0.02-2c,2c-1000f,1,1.14
30-0.02-2c,2c-1000f,2,1.24
30-0.02-2c,2c-1000f,3,1.24
30-0.02-2c,2c-1000f,4,1.43
30-0.02-2c,2c-1000f,5,3.07
30-0.02-2c,2c-1000f,6,3.63
30-0.02-2c,2c-1000f,7,4.09
30-0.02-2c,2c-1000f,8,4.68
30-0.02-2c,2c-1000f,9,4.68
30-0.02-2c,2c-1000f,10,4.76
30-0.02-2c,2c-1000f,11,4.92
30-0.02-2c,2c-1000f,12,5.02
30-0.02-2c,2c-1000f,13,5.04
30-0.02-2c,2c-1000f,14,5.08
30-0.02-2c,2c-1000f,15,5.08
30-0.02-2c,2c-1000f,16,5.11
30-0.02-2c,2c-1000f,17,5.13
30-0.02-2c,2c-1000f,18,5.16
30-0.02-2c,2c-1000f,19,5.17
30-0.02-2c,2c-1000f,20,5.19
30-0.02-2c,2c-1000f,21,5.24
30-0.02-2c,2c-1000f,22,5.25
30-0.02-2c,2c-1000f,23,5.26
30-0.02-2c,2c-1000f,24,5.31
30-0.02-2c,2c-1000f,25,5.41
30-0.02-2c,2c-1000f,26,5.48
30-0.02-2c,2c-1000f,27,5.48
30-0.02-2c,2c-1000f,28,5.49
30-0.02-2c,2c-1000f,29,5.50
30-0.02-2c,2c-1000f,30,5.54
30-0.02-2c,2c-1000f,31,5.59
30-0.02-2c,2c-1000f,32,5.59
30-0.02-2c,2c-1000f,33,5.60
30-0.02-2c,2c-1000f,34,5.60
30-0.02-2c,2c-1000f,35,5.61
30-0.02-2c,2c-1000f,36,5.62
30-0.02-2c,2c-1000f,37,5.68
30-0.02-2c,2c-1000f,38,5.73
30-0.02-2c,2c-1000f,39,5.76
30-0.02-2c,2c-1000f,40,5.78
30-0.02-2c,2c-1000f,41,5.82
30-0.02-2c,2c-1000f,42,5.92
30-0.02-2c,2c-1000f,43,6.00
30-0.02-2c,2c-1000f,44,6.05
30-0.02-2c,2c-1000f,45,6.06
30-0.02-2c,2c-1000f,46,6.13
30-0.02-2c,2c-1000f,47,6.14
30-0.02-2c,2c-1000f,48,6.15
30-0.02-2c,2c-1000f,49,6.15
30-0.02-2c,2c-1000f,50,6.21
30-0.02-2c,2c-1000f,51,6.23
30-0.02-2c,2c-1000f,52,6.23
30-0.02-2c,2c-1000f,53,6.50
30-0.02-2c,2c-1000f,54,6.66
30-0.02-2c,2c-1000f,55,6.66
30-0.02-2c,2c-1000f,56,6.68
30-0.02-2c,2c-1000f,57,6.70
30-0.02-2c,2c-1000f,58,6.75
