test,approach,answer,time,responseTime
30-0.02-1c,1c-40f,1,3.47,7118716.00
30-0.02-1c,1c-40f,2,3.50,7108304.00
30-0.02-1c,1c-40f,3,3.68,7000756.00
30-0.02-1c,1c-40f,4,4.32,7203316.00
30-0.02-1c,1c-40f,5,8.68,4568294.00
30-0.02-1c,1c-40f,6,9.48,4149118.00
30-0.02-1c,1c-40f,7,11.84,5044840.00
30-0.02-1c,1c-40f,8,12.28,4866429.00
30-0.02-1c,1c-40f,9,14.56,4275689.00
30-0.02-1c,1c-40f,10,17.24,6278981.00
30-0.02-1c,1c-40f,11,18.27,6606900.00
30-0.02-1c,1c-40f,12,20.82,5881379.00
30-0.02-1c,1c-40f,13,21.69,5782527.00
30-0.02-1c,1c-40f,14,22.53,7049701.00
30-0.02-1c,1c-40f,15,24.34,6025140.00
30-0.02-1c,1c-40f,16,26.38,7045985.00
30-0.02-1c,1c-40f,17,27.26,6449581.00
30-0.02-1c,1c-40f,18,27.47,5312625.00
30-0.02-1c,1c-40f,19,27.73,6301517.00
30-0.02-1c,1c-40f,20,31.19,6824714.00
30-0.02-1c,1c-40f,21,32.34,6474604.00
30-0.02-1c,1c-40f,22,33.34,7285420.00
30-0.02-1c,1c-40f,23,33.55,4476539.00
30-0.02-1c,1c-40f,24,33.94,5945874.00
30-0.02-1c,1c-40f,25,34.28,6897198.00
30-0.02-1c,1c-40f,26,35.59,5121702.00
30-0.02-1c,1c-40f,27,35.98,7363231.00
30-0.02-1c,1c-40f,28,36.36,4995897.00
30-0.02-1c,1c-40f,29,37.17,7092133.00
30-0.02-1c,1c-40f,30,37.51,6494647.00
30-0.02-1c,1c-40f,31,39.30,7389449.00
30-0.02-1c,1c-40f,32,44.00,7457044.00
30-0.02-1c,1c-40f,33,44.06,4304557.00
30-0.02-1c,1c-40f,34,46.43,5750393.00
30-0.02-1c,1c-40f,35,46.81,6962891.00
30-0.02-1c,1c-40f,36,47.49,6888809.00
30-0.02-1c,1c-40f,37,48.35,6624219.00
30-0.02-1c,1c-40f,38,49.24,7934279.00
30-0.02-1c,1c-40f,39,49.60,5860710.00
30-0.02-1c,1c-40f,40,49.98,4339295.00
30-0.02-1c,1c-40f,41,52.42,6855311.00
30-0.02-1c,1c-40f,42,55.76,5240752.00
30-0.02-1c,1c-40f,43,58.08,5403018.00
