test,approach,answer,time,responseTime
30-0.02-1c,1c-40f,1,3.47,7297358.00
30-0.02-1c,1c-40f,2,3.50,7295828.00
30-0.02-1c,1c-40f,3,3.68,7638053.00
30-0.02-1c,1c-40f,4,4.32,7577654.00
30-0.02-1c,1c-40f,5,8.68,4869155.00
30-0.02-1c,1c-40f,6,9.48,4965879.00
30-0.02-1c,1c-40f,7,11.84,6862631.00
30-0.02-1c,1c-40f,8,12.27,6961974.00
30-0.02-1c,1c-40f,9,14.56,6102087.00
30-0.02-1c,1c-40f,10,17.23,6389994.00
30-0.02-1c,1c-40f,11,18.26,6016974.00
30-0.02-1c,1c-40f,12,20.82,7384340.00
30-0.02-1c,1c-40f,13,21.69,5693454.00
30-0.02-1c,1c-40f,14,22.52,5483765.00
30-0.02-1c,1c-40f,15,24.33,5380912.00
30-0.02-1c,1c-40f,16,26.39,6891768.00
30-0.02-1c,1c-40f,17,27.26,4966515.00
30-0.02-1c,1c-40f,18,27.48,5322430.00
30-0.02-1c,1c-40f,19,27.73,6211038.00
30-0.02-1c,1c-40f,20,31.19,7115592.00
30-0.02-1c,1c-40f,21,32.35,7482965.00
30-0.02-1c,1c-40f,22,33.35,7177656.00
30-0.02-1c,1c-40f,23,33.56,5239871.00
30-0.02-1c,1c-40f,24,33.95,6099109.00
30-0.02-1c,1c-40f,25,34.29,6032721.00
30-0.02-1c,1c-40f,26,35.60,6959786.00
30-0.02-1c,1c-40f,27,36.00,6883546.00
30-0.02-1c,1c-40f,28,36.38,6393308.00
30-0.02-1c,1c-40f,29,37.18,6806256.00
30-0.02-1c,1c-40f,30,37.52,6303104.00
30-0.02-1c,1c-40f,31,39.31,8030199.00
30-0.02-1c,1c-40f,32,44.00,6830598.00
30-0.02-1c,1c-40f,33,44.07,5048885.00
30-0.02-1c,1c-40f,34,46.43,6938054.00
30-0.02-1c,1c-40f,35,46.81,5718136.00
30-0.02-1c,1c-40f,36,47.49,6536399.00
30-0.02-1c,1c-40f,37,48.34,5458546.00
30-0.02-1c,1c-40f,38,49.24,6401591.00
30-0.02-1c,1c-40f,39,49.60,4956726.00
30-0.02-1c,1c-40f,40,49.98,6962764.00
30-0.02-1c,1c-40f,41,52.41,6496918.00
30-0.02-1c,1c-40f,42,55.77,6252231.00
30-0.02-1c,1c-40f,43,58.08,4949891.00
30-0.02-1c,1c-40f,44,62.16,4619390.00
30-0.02-1c,1c-40f,45,62.85,6800849.00
30-0.02-1c,1c-40f,46,65.13,4435777.00
30-0.02-1c,1c-40f,47,66.97,5393556.00
30-0.02-1c,1c-40f,48,67.79,4148401.00
30-0.02-1c,1c-40f,49,73.44,7370063.00
30-0.02-1c,1c-40f,50,73.98,7371323.00
30-0.02-1c,1c-40f,51,74.34,6797177.00
30-0.02-1c,1c-40f,52,74.63,6272693.00
30-0.02-1c,1c-40f,53,75.42,6388461.00
30-0.02-1c,1c-40f,54,76.98,7700253.00
30-0.02-1c,1c-40f,55,80.93,5148594.00
30-0.02-1c,1c-40f,56,81.08,4633655.00
30-0.02-1c,1c-40f,57,82.58,7224632.00
30-0.02-1c,1c-40f,58,88.70,6100070.00
30-0.02-1c,1c-40f,59,88.86,6098697.00
30-0.02-1c,1c-40f,60,89.50,6922576.00
30-0.02-1c,1c-40f,61,89.72,7280736.00
30-0.02-1c,1c-40f,62,90.07,6620073.00
30-0.02-1c,1c-40f,63,90.40,6719524.00
30-0.02-1c,1c-40f,64,90.49,6254650.00
30-0.02-1c,1c-40f,65,92.97,4602707.00
30-0.02-1c,1c-40f,66,93.54,7716866.00
30-0.02-1c,1c-40f,67,93.66,6565470.00
30-0.02-1c,1c-40f,68,95.52,5045422.00
30-0.02-1c,1c-40f,69,96.18,4886160.00
30-0.02-1c,1c-40f,70,97.79,6446273.00
30-0.02-1c,1c-40f,71,98.35,5852322.00
30-0.02-1c,1c-40f,72,101.43,7663498.00
30-0.02-1c,1c-40f,73,102.75,5631713.00
30-0.02-1c,1c-40f,74,104.06,7328728.00
30-0.02-1c,1c-40f,75,105.39,5484536.00
30-0.02-1c,1c-40f,76,105.91,7254137.00
30-0.02-1c,1c-40f,77,106.75,5194781.00
30-0.02-1c,1c-40f,78,107.26,7140339.00
30-0.02-1c,1c-40f,79,108.66,6749252.00
30-0.02-1c,1c-40f,80,111.73,7142067.00
30-0.02-1c,1c-40f,81,118.80,5678807.00
30-0.02-1c,1c-40f,82,119.48,6764455.00
30-0.02-1c,1c-40f,83,121.56,7089310.00
30-0.02-1c,1c-40f,84,123.92,4192259.00
30-0.02-1c,1c-40f,85,123.99,4826028.00
30-0.02-1c,1c-40f,86,125.77,6908795.00
30-0.02-1c,1c-40f,87,127.14,7188758.00
30-0.02-1c,1c-40f,88,130.20,9651617.00
30-0.02-1c,1c-40f,89,131.62,7457891.00
30-0.02-1c,1c-40f,90,137.27,6571073.00
30-0.02-1c,1c-40f,91,137.60,5463499.00
30-0.02-1c,1c-40f,92,138.34,7359348.00
30-0.02-1c,1c-40f,93,139.80,6883949.00
30-0.02-1c,1c-40f,94,140.79,4164776.00
30-0.02-1c,1c-40f,95,143.82,5863963.00
30-0.02-1c,1c-40f,96,146.74,7293279.00
30-0.02-1c,1c-40f,97,149.81,4790575.00
30-0.02-1c,1c-40f,98,150.24,5020835.00
30-0.02-1c,1c-40f,99,150.41,7374199.00
30-0.02-1c,1c-40f,100,150.44,5886544.00
30-0.02-1c,1c-40f,101,151.95,5140586.00
30-0.02-1c,1c-40f,102,152.20,4405659.00
30-0.02-1c,1c-40f,103,153.18,5291731.00
30-0.02-1c,1c-40f,104,155.05,4159082.00
30-0.02-1c,1c-40f,105,157.75,6284646.00
30-0.02-1c,1c-40f,106,160.07,6909753.00
30-0.02-1c,1c-40f,107,161.46,6508448.00
30-0.02-1c,1c-40f,108,167.39,7492580.00
30-0.02-1c,1c-40f,109,170.15,6224559.00
30-0.02-1c,1c-40f,110,171.25,6853778.00
30-0.02-1c,1c-40f,111,171.93,6544158.00
30-0.02-1c,1c-40f,112,176.27,7272310.00
30-0.02-1c,1c-40f,113,178.03,6813462.00
30-0.02-1c,1c-40f,114,178.32,7507854.00
30-0.02-1c,1c-40f,115,180.05,4582031.00
30-0.02-1c,1c-40f,116,180.90,7611986.00
30-0.02-1c,1c-40f,117,181.25,7454032.00
30-0.02-1c,1c-40f,118,186.28,7240475.00
30-0.02-1c,1c-40f,119,186.64,6342909.00
30-0.02-1c,1c-40f,120,189.47,5350806.00
30-0.02-1c,1c-40f,121,190.67,6779904.00
30-0.02-1c,1c-40f,122,191.16,6916394.00
30-0.02-1c,1c-40f,123,191.27,6305919.00
30-0.02-1c,1c-40f,124,192.72,7066114.00
30-0.02-1c,1c-40f,125,194.03,6608092.00
30-0.02-1c,1c-40f,126,194.16,5080414.00
30-0.02-1c,1c-40f,127,194.85,6791319.00
30-0.02-1c,1c-40f,128,196.51,6727244.00
30-0.02-1c,1c-40f,129,196.90,4575615.00
30-0.02-1c,1c-40f,130,198.48,6582609.00
30-0.02-1c,1c-40f,131,199.00,5913725.00
30-0.02-1c,1c-40f,132,200.06,6340841.00
30-0.02-1c,1c-40f,133,203.13,7222202.00
30-0.02-1c,1c-40f,134,206.56,6297962.00
30-0.02-1c,1c-40f,135,206.74,4174203.00
30-0.02-1c,1c-40f,136,207.14,5781795.00
30-0.02-1c,1c-40f,137,208.50,4008631.00
30-0.02-1c,1c-40f,138,208.97,4636592.00
30-0.02-1c,1c-40f,139,211.68,5848241.00
30-0.02-1c,1c-40f,140,215.43,5401038.00
30-0.02-1c,1c-40f,141,215.93,6155048.00
30-0.02-1c,1c-40f,142,217.15,7435354.00
30-0.02-1c,1c-40f,143,217.78,6692836.00
30-0.02-1c,1c-40f,144,217.87,6738841.00
30-0.02-1c,1c-40f,145,221.14,7392566.00
30-0.02-1c,1c-40f,146,223.25,6683382.00
30-0.02-1c,1c-40f,147,226.64,5225342.00
30-0.02-1c,1c-40f,148,226.79,5087632.00
30-0.02-1c,1c-40f,149,227.14,6990651.00
30-0.02-1c,1c-40f,150,227.82,4716421.00
30-0.02-1c,1c-40f,151,228.33,4929908.00
30-0.02-1c,1c-40f,152,228.96,5735658.00
30-0.02-1c,1c-40f,153,229.56,5065185.00
30-0.02-1c,1c-40f,154,229.85,7466425.00
30-0.02-1c,1c-40f,155,233.23,5331625.00
30-0.02-1c,1c-40f,156,236.30,5458451.00
30-0.02-1c,1c-40f,157,237.21,7274316.00
30-0.02-1c,1c-40f,158,237.71,6764562.00
30-0.02-1c,1c-40f,159,238.18,4761524.00
30-0.02-1c,1c-40f,160,241.21,5407841.00
30-0.02-1c,1c-40f,161,243.70,5459388.00
30-0.02-1c,1c-40f,162,244.82,6898900.00
30-0.02-1c,1c-40f,163,245.56,5137291.00
30-0.02-1c,1c-40f,164,246.80,5588846.00
30-0.02-1c,1c-40f,165,247.85,8256186.00
30-0.02-1c,1c-40f,166,248.52,5040904.00
30-0.02-1c,1c-40f,167,248.58,5719201.00
30-0.02-1c,1c-40f,168,249.66,8161639.00
30-0.02-1c,1c-40f,169,249.67,6594208.00
30-0.02-1c,1c-40f,170,250.17,5350661.00
30-0.02-1c,1c-40f,171,250.20,5450915.00
30-0.02-1c,1c-40f,172,251.78,7400826.00
30-0.02-1c,1c-40f,173,252.78,7635720.00
30-0.02-1c,1c-40f,174,253.22,6772121.00
30-0.02-1c,1c-40f,175,254.95,7051773.00
30-0.02-1c,1c-40f,176,255.53,7507780.00
30-0.02-1c,1c-40f,177,256.37,5578592.00
30-0.02-1c,1c-40f,178,258.60,5253497.00
30-0.02-1c,1c-40f,179,260.39,4949854.00
30-0.02-1c,1c-40f,180,262.06,4820356.00
30-0.02-1c,1c-40f,181,264.17,7575067.00
30-0.02-1c,1c-40f,182,264.69,7459082.00
30-0.02-1c,1c-40f,183,267.00,4841647.00
30-0.02-1c,1c-40f,184,267.98,4053727.00
30-0.02-1c,1c-40f,185,269.03,5586888.00
30-0.02-1c,1c-40f,186,269.77,4666241.00
30-0.02-1c,1c-40f,187,270.22,5764170.00
30-0.02-1c,1c-40f,188,270.92,6388821.00
30-0.02-1c,1c-40f,189,271.24,6646960.00
30-0.02-1c,1c-40f,190,272.28,5814811.00
30-0.02-1c,1c-40f,191,273.07,7062613.00
30-0.02-1c,1c-40f,192,273.26,7189361.00
30-0.02-1c,1c-40f,193,274.64,4965220.00
30-0.02-1c,1c-40f,194,276.40,5256136.00
30-0.02-1c,1c-40f,195,277.21,5417307.00
30-0.02-1c,1c-40f,196,279.17,5980485.00
30-0.02-1c,1c-40f,197,279.70,5267849.00
30-0.02-1c,1c-40f,198,279.80,7253413.00
30-0.02-1c,1c-40f,199,279.88,7355231.00
30-0.02-1c,1c-40f,200,280.45,5081965.00
30-0.02-1c,1c-40f,201,280.88,6854598.00
30-0.02-1c,1c-40f,202,281.42,5795064.00
30-0.02-1c,1c-40f,203,281.64,6957285.00
30-0.02-1c,1c-40f,204,281.93,6521148.00
30-0.02-1c,1c-40f,205,282.47,6814009.00
30-0.02-1c,1c-40f,206,282.91,5481003.00
30-0.02-1c,1c-40f,207,284.46,4755079.00
30-0.02-1c,1c-40f,208,295.22,6930403.00
30-0.02-1c,1c-40f,209,296.33,6603248.00
30-0.02-1c,1c-40f,210,298.55,7295534.00
30-0.02-1c,1c-40f,211,298.69,6471943.00
30-0.02-1c,1c-40f,212,299.35,4909058.00
30-0.02-1c,1c-40f,213,301.25,7151791.00
30-0.02-1c,1c-40f,214,306.09,5810192.00
30-0.02-1c,1c-40f,215,306.26,5817822.00
30-0.02-1c,1c-40f,216,308.56,4972401.00
30-0.02-1c,1c-40f,217,310.31,6481757.00
30-0.02-1c,1c-40f,218,310.94,4266345.00
30-0.02-1c,1c-40f,219,311.21,6109432.00
30-0.02-1c,1c-40f,220,312.08,7422295.00
30-0.02-1c,1c-40f,221,316.54,7380372.00
30-0.02-1c,1c-40f,222,317.21,5856777.00
30-0.02-1c,1c-40f,223,317.49,6866244.00
30-0.02-1c,1c-40f,224,318.23,5343004.00
30-0.02-1c,1c-40f,225,318.26,5746287.00
30-0.02-1c,1c-40f,226,318.29,5745856.00
30-0.02-1c,1c-40f,227,318.71,7418657.00
30-0.02-1c,1c-40f,228,321.12,6860863.00
30-0.02-1c,1c-40f,229,321.77,7005773.00
30-0.02-1c,1c-40f,230,324.35,6717761.00
30-0.02-1c,1c-40f,231,324.52,6799087.00
30-0.02-1c,1c-40f,232,325.10,5454536.00
30-0.02-1c,1c-40f,233,327.21,6331686.00
30-0.02-1c,1c-40f,234,327.80,5153804.00
30-0.02-1c,1c-40f,235,330.49,5089052.00
30-0.02-1c,1c-40f,236,330.85,6318764.00
30-0.02-1c,1c-40f,237,332.00,6284802.00
30-0.02-1c,1c-40f,238,333.74,7423111.00
30-0.02-1c,1c-40f,239,334.61,4687526.00
30-0.02-1c,1c-40f,240,334.90,6348296.00
30-0.02-1c,1c-40f,241,335.14,7011897.00
30-0.02-1c,1c-40f,242,335.18,4982270.00
30-0.02-1c,1c-40f,243,335.68,6857891.00
30-0.02-1c,1c-40f,244,336.27,4845085.00
30-0.02-1c,1c-40f,245,336.72,6586265.00
30-0.02-1c,1c-40f,246,337.05,5857226.00
30-0.02-1c,1c-40f,247,339.51,4979445.00
30-0.02-1c,1c-40f,248,339.54,5240137.00
30-0.02-1c,1c-40f,249,339.79,5083045.00
30-0.02-1c,1c-40f,250,341.11,4394882.00
30-0.02-1c,1c-40f,251,341.41,4402902.00
30-0.02-1c,1c-40f,252,341.78,6453846.00
30-0.02-1c,1c-40f,253,342.02,5745600.00
30-0.02-1c,1c-40f,254,344.27,5591564.00
30-0.02-1c,1c-40f,255,346.77,4863136.00
30-0.02-1c,1c-40f,256,347.46,5903801.00
30-0.02-1c,1c-40f,257,347.55,5675553.00
30-0.02-1c,1c-40f,258,347.59,6696771.00
30-0.02-1c,1c-40f,259,347.71,6738346.00
30-0.02-1c,1c-40f,260,348.80,5869951.00
30-0.02-1c,1c-40f,261,348.81,4790843.00
30-0.02-1c,1c-40f,262,349.28,6613105.00
30-0.02-1c,1c-40f,263,351.16,5572481.00
30-0.02-1c,1c-40f,264,351.74,5670414.00
30-0.02-1c,1c-40f,265,354.68,9376155.00
30-0.02-1c,1c-40f,266,356.60,5781559.00
30-0.02-1c,1c-40f,267,357.08,5722182.00
30-0.02-1c,1c-40f,268,357.46,6273249.00
30-0.02-1c,1c-40f,269,358.83,5703067.00
30-0.02-1c,1c-40f,270,359.83,6889450.00
30-0.02-1c,1c-40f,271,362.04,6966126.00
30-0.02-1c,1c-40f,272,363.67,5463918.00
30-0.02-1c,1c-40f,273,366.68,5938170.00
30-0.02-1c,1c-40f,274,367.05,6299791.00
30-0.02-1c,1c-40f,275,367.07,6126521.00
30-0.02-1c,1c-40f,276,367.94,6780544.00
30-0.02-1c,1c-40f,277,368.74,7716149.00
30-0.02-1c,1c-40f,278,371.36,6983453.00
30-0.02-1c,1c-40f,279,371.79,5891788.00
30-0.02-1c,1c-40f,280,375.44,5917171.00
30-0.02-1c,1c-40f,281,375.88,6990319.00
30-0.02-1c,1c-40f,282,376.78,7241617.00
30-0.02-1c,1c-40f,283,377.26,6569570.00
30-0.02-1c,1c-40f,284,377.31,7701798.00
30-0.02-1c,1c-40f,285,379.30,6658833.00
30-0.02-1c,1c-40f,286,381.78,5889262.00
30-0.02-1c,1c-40f,287,382.18,6796137.00
30-0.02-1c,1c-40f,288,385.35,6642240.00
30-0.02-1c,1c-40f,289,385.85,5417290.00
30-0.02-1c,1c-40f,290,387.75,5684402.00
30-0.02-1c,1c-40f,291,388.34,5136603.00
30-0.02-1c,1c-40f,292,390.41,5446358.00
30-0.02-1c,1c-40f,293,390.73,7810193.00
30-0.02-1c,1c-40f,294,391.09,7616781.00
30-0.02-1c,1c-40f,295,391.47,5512222.00
30-0.02-1c,1c-40f,296,391.52,6045312.00
30-0.02-1c,1c-40f,297,392.84,4772305.00
30-0.02-1c,1c-40f,298,395.43,5994359.00
30-0.02-1c,1c-40f,299,398.02,6448165.00
30-0.02-1c,1c-40f,300,398.05,6719276.00
30-0.02-1c,1c-40f,301,398.46,10905676.00
