test,approach,answer,time,responseTime
30-0.02-4c,4c-1f,1,3.48,6583380.00
30-0.02-4c,4c-1f,2,3.51,7340979.00
30-0.02-4c,4c-1f,3,3.69,6981574.00
30-0.02-4c,4c-1f,4,4.34,6978659.00
30-0.02-4c,4c-1f,5,8.73,5189858.00
30-0.02-4c,4c-1f,6,9.54,5519167.00
30-0.02-4c,4c-1f,7,11.91,4893942.00
30-0.02-4c,4c-1f,8,12.34,4598757.00
30-0.02-4c,4c-1f,9,14.64,10665529.00
30-0.02-4c,4c-1f,10,17.33,6493940.00
30-0.02-4c,4c-1f,11,18.36,7188435.00
30-0.02-4c,4c-1f,12,20.92,5064469.00
30-0.02-4c,4c-1f,13,21.80,9168827.00
30-0.02-4c,4c-1f,14,22.64,7316828.00
30-0.02-4c,4c-1f,15,24.46,6813702.00
30-0.02-4c,4c-1f,16,26.52,6561432.00
30-0.02-4c,4c-1f,17,27.40,7043639.00
30-0.02-4c,4c-1f,18,27.63,13188647.00
30-0.02-4c,4c-1f,19,27.88,7428067.00
30-0.02-4c,4c-1f,20,31.36,5721839.00
30-0.02-4c,4c-1f,21,32.51,7227751.00
30-0.02-4c,4c-1f,22,33.52,7303611.00
30-0.02-4c,4c-1f,23,33.74,6759444.00
30-0.02-4c,4c-1f,24,34.13,15940155.00
30-0.02-4c,4c-1f,25,34.47,7200044.00
30-0.02-4c,4c-1f,26,35.79,5023070.00
30-0.02-4c,4c-1f,27,36.19,5124901.00
30-0.02-4c,4c-1f,28,36.57,6918104.00
30-0.02-4c,4c-1f,29,37.38,5169528.00
30-0.02-4c,4c-1f,30,37.73,7264170.00
30-0.02-4c,4c-1f,31,39.53,5556958.00
30-0.02-4c,4c-1f,32,44.24,5131363.00
30-0.02-4c,4c-1f,33,44.32,9274824.00
30-0.02-4c,4c-1f,34,46.69,8755821.00
30-0.02-4c,4c-1f,35,47.06,5616014.00
30-0.02-4c,4c-1f,36,47.75,6065664.00
30-0.02-4c,4c-1f,37,48.61,5914914.00
30-0.02-4c,4c-1f,38,49.51,5811057.00
30-0.02-4c,4c-1f,39,49.87,14535857.00
30-0.02-4c,4c-1f,40,50.25,4957417.00
30-0.02-4c,4c-1f,41,52.69,5301150.00
30-0.02-4c,4c-1f,42,56.06,4786402.00
30-0.02-4c,4c-1f,43,58.39,6166254.00
30-0.02-4c,4c-1f,44,62.51,19972646.00
30-0.02-4c,4c-1f,45,63.20,13423894.00
30-0.02-4c,4c-1f,46,65.49,6650822.00
30-0.02-4c,4c-1f,47,67.33,8379998.00
30-0.02-4c,4c-1f,48,68.15,4569409.00
30-0.02-4c,4c-1f,49,73.83,7241649.00
30-0.02-4c,4c-1f,50,74.39,6289874.00
30-0.02-4c,4c-1f,51,74.75,5108100.00
30-0.02-4c,4c-1f,52,75.05,7907202.00
30-0.02-4c,4c-1f,53,75.85,9808692.00
30-0.02-4c,4c-1f,54,77.42,7154767.00
30-0.02-4c,4c-1f,55,81.39,12323232.00
30-0.02-4c,4c-1f,56,81.54,7010294.00
30-0.02-4c,4c-1f,57,83.04,5493372.00
30-0.02-4c,4c-1f,58,89.19,6977252.00
30-0.02-4c,4c-1f,59,89.35,7130365.00
30-0.02-4c,4c-1f,60,90.00,6158040.00
30-0.02-4c,4c-1f,61,90.21,5379398.00
30-0.02-4c,4c-1f,62,90.57,10831136.00
30-0.02-4c,4c-1f,63,90.89,5114255.00
30-0.02-4c,4c-1f,64,90.99,8299242.00
30-0.02-4c,4c-1f,65,93.49,7326041.00
30-0.02-4c,4c-1f,66,94.06,5480760.00
30-0.02-4c,4c-1f,67,94.18,5889665.00
30-0.02-4c,4c-1f,68,96.01,7907386.00
30-0.02-4c,4c-1f,69,96.67,4817921.00
30-0.02-4c,4c-1f,70,98.29,6286377.00
30-0.02-4c,4c-1f,71,98.85,7548492.00
30-0.02-4c,4c-1f,72,101.93,4845103.00
30-0.02-4c,4c-1f,73,103.26,7510625.00
30-0.02-4c,4c-1f,74,104.56,6938285.00
30-0.02-4c,4c-1f,75,105.91,7851026.00
30-0.02-4c,4c-1f,76,106.43,6134234.00
30-0.02-4c,4c-1f,77,107.28,6834576.00
30-0.02-4c,4c-1f,78,107.80,6208030.00
30-0.02-4c,4c-1f,79,109.21,7787748.00
30-0.02-4c,4c-1f,80,112.29,6728791.00
30-0.02-4c,4c-1f,81,119.39,11398667.00
