test,approach,tfft,totaltime,mrt,comp
30-0.02-16c,16c-1f,0.09,197.92,23195447321,462
30-0.02-16c,16c-1f,0.05,208.18,24497758296,462
30-0.02-16c,16c-1f,0.05,197.67,23207077099,462
30-0.02-16c,16c-1f,0.05,201.5,23772012111,462
30-0.02-16c,16c-1f,0.05,202.15,23690411939,462
30-0.02-16c,16c-1f,0.05,215.24,25438837124,462
30-0.02-16c,16c-1f,0.04,206.82,24446752975,462
30-0.02-16c,16c-1f,0.04,202.67,23850157640,462
30-0.02-16c,16c-1f,0.05,190.17,22319235809,462
30-0.02-16c,16c-1f,0.05,201.56,23717323736,462
