test,approach,answer,time,responseTime
30-0.02-4c,4c-5f,1,0.02,10707689.00
30-0.02-4c,4c-5f,2,0.03,7077080.00
30-0.02-4c,4c-5f,3,0.04,32486993.00
30-0.02-4c,4c-5f,4,0.04,36563058.00
30-0.02-4c,4c-5f,5,0.05,8768774.00
30-0.02-4c,4c-5f,6,0.05,45929939.00
30-0.02-4c,4c-5f,7,0.07,53528674.00
30-0.02-4c,4c-5f,8,0.07,67209800.00
30-0.02-4c,4c-5f,9,0.08,56248326.00
30-0.02-4c,4c-5f,10,0.14,115540484.00
30-0.02-4c,4c-5f,11,0.16,146149109.00
30-0.02-4c,4c-5f,12,0.18,150218210.00
30-0.02-4c,4c-5f,13,0.19,161809807.00
30-0.02-4c,4c-5f,14,0.26,243645743.00
30-0.02-4c,4c-5f,15,0.30,289367087.00
30-0.02-4c,4c-5f,16,0.46,440757245.00
30-0.02-4c,4c-5f,17,0.49,471910562.00
30-0.02-4c,4c-5f,18,0.51,487145125.00
30-0.02-4c,4c-5f,19,0.53,499250722.00
30-0.02-4c,4c-5f,20,0.55,528347276.00
30-0.02-4c,4c-5f,21,0.84,808061569.00
30-0.02-4c,4c-5f,22,0.93,873673794.00
30-0.02-4c,4c-5f,23,1.03,1003216781.00
30-0.02-4c,4c-5f,24,1.10,1071663720.00
30-0.02-4c,4c-5f,25,1.11,1069147819.00
30-0.02-4c,4c-5f,26,1.17,1123187974.00
30-0.02-4c,4c-5f,27,1.17,1136254389.00
30-0.02-4c,4c-5f,28,1.18,1149212730.00
30-0.02-4c,4c-5f,29,1.21,1177410823.00
30-0.02-4c,4c-5f,30,1.24,1192394848.00
30-0.02-4c,4c-5f,31,1.28,1228263623.00
30-0.02-4c,4c-5f,32,1.30,1254359446.00
30-0.02-4c,4c-5f,33,1.32,1251387750.00
30-0.02-4c,4c-5f,34,1.36,1324341183.00
30-0.02-4c,4c-5f,35,1.43,1376780301.00
30-0.02-4c,4c-5f,36,1.52,1479140629.00
30-0.02-4c,4c-5f,37,1.79,1746346720.00
30-0.02-4c,4c-5f,38,1.81,1772272676.00
30-0.02-4c,4c-5f,39,1.84,1758942319.00
30-0.02-4c,4c-5f,40,1.87,1785730345.00
30-0.02-4c,4c-5f,41,1.90,1863182596.00
30-0.02-4c,4c-5f,42,1.90,1853118326.00
30-0.02-4c,4c-5f,43,1.98,1947024476.00
30-0.02-4c,4c-5f,44,2.06,2002425271.00
30-0.02-4c,4c-5f,45,2.10,1956840162.00
30-0.02-4c,4c-5f,46,2.30,2207687988.00
30-0.02-4c,4c-5f,47,2.33,2290161285.00
30-0.02-4c,4c-5f,48,2.35,2302316483.00
30-0.02-4c,4c-5f,49,2.49,2437664113.00
30-0.02-4c,4c-5f,50,2.58,2529627205.00
30-0.02-4c,4c-5f,51,2.67,2571691724.00
30-0.02-4c,4c-5f,52,2.82,2761478018.00
30-0.02-4c,4c-5f,53,3.09,3011875392.00
30-0.02-4c,4c-5f,54,3.17,3093577595.00
30-0.02-4c,4c-5f,55,3.28,3209819826.00
30-0.02-4c,4c-5f,56,3.31,3249195393.00
30-0.02-4c,4c-5f,57,3.32,3238173993.00
30-0.02-4c,4c-5f,58,3.32,3255219332.00
30-0.02-4c,4c-5f,59,3.33,3274220979.00
30-0.02-4c,4c-5f,60,3.34,3271028097.00
30-0.02-4c,4c-5f,61,3.37,3290381826.00
30-0.02-4c,4c-5f,62,3.45,3324158779.00
30-0.02-4c,4c-5f,63,3.48,3391145034.00
30-0.02-4c,4c-5f,64,3.58,3491515065.00
30-0.02-4c,4c-5f,65,3.59,3499952088.00
30-0.02-4c,4c-5f,66,3.71,3616482119.00
30-0.02-4c,4c-5f,67,3.74,3668322768.00
30-0.02-4c,4c-5f,68,3.80,3662063507.00
30-0.02-4c,4c-5f,69,3.84,3769253609.00
30-0.02-4c,4c-5f,70,4.02,3926180169.00
30-0.02-4c,4c-5f,71,4.04,3949677634.00
30-0.02-4c,4c-5f,72,4.04,3976438636.00
30-0.02-4c,4c-5f,73,4.10,4032368217.00
30-0.02-4c,4c-5f,74,4.20,4123701041.00
30-0.02-4c,4c-5f,75,4.26,4181158908.00
30-0.02-4c,4c-5f,76,4.29,4212645532.00
30-0.02-4c,4c-5f,77,4.36,4287306561.00
30-0.02-4c,4c-5f,78,4.54,4454832766.00
30-0.02-4c,4c-5f,79,4.91,3866189610.00
30-0.02-4c,4c-5f,80,4.97,4881163763.00
30-0.02-4c,4c-5f,81,5.00,4880204355.00
30-0.02-4c,4c-5f,82,5.08,4997498551.00
30-0.02-4c,4c-5f,83,5.10,4975534175.00
30-0.02-4c,4c-5f,84,5.21,3540262360.00
30-0.02-4c,4c-5f,85,5.44,5268558811.00
30-0.02-4c,4c-5f,86,5.54,5365164247.00
30-0.02-4c,4c-5f,87,5.58,5445224577.00
30-0.02-4c,4c-5f,88,5.61,5437213052.00
30-0.02-4c,4c-5f,89,5.65,3322070092.00
30-0.02-4c,4c-5f,90,5.66,5548023804.00
30-0.02-4c,4c-5f,91,5.71,3293377516.00
30-0.02-4c,4c-5f,92,5.77,5652370183.00
30-0.02-4c,4c-5f,93,5.82,5723504962.00
30-0.02-4c,4c-5f,94,5.84,5742571483.00
30-0.02-4c,4c-5f,95,5.89,5765610604.00
30-0.02-4c,4c-5f,96,5.91,5816615706.00
30-0.02-4c,4c-5f,97,6.06,5919710451.00
30-0.02-4c,4c-5f,98,6.08,5931232476.00
30-0.02-4c,4c-5f,99,6.30,6172854872.00
30-0.02-4c,4c-5f,100,6.34,6189138958.00
30-0.02-4c,4c-5f,101,6.49,6374939991.00
30-0.02-4c,4c-5f,102,6.66,6461588287.00
30-0.02-4c,4c-5f,103,6.89,6765322117.00
30-0.02-4c,4c-5f,104,7.05,6908199905.00
30-0.02-4c,4c-5f,105,7.07,6706688900.00
30-0.02-4c,4c-5f,106,7.11,6948669188.00
30-0.02-4c,4c-5f,107,7.46,7286747802.00
30-0.02-4c,4c-5f,108,7.49,7361120716.00
30-0.02-4c,4c-5f,109,7.49,6561280860.00
30-0.02-4c,4c-5f,110,7.60,7444158972.00
30-0.02-4c,4c-5f,111,7.64,7465037462.00
30-0.02-4c,4c-5f,112,7.65,7513142970.00
30-0.02-4c,4c-5f,113,7.69,7550942130.00
30-0.02-4c,4c-5f,114,7.81,6466401846.00
30-0.02-4c,4c-5f,115,7.84,7700868007.00
30-0.02-4c,4c-5f,116,7.93,7746813286.00
30-0.02-4c,4c-5f,117,8.08,7897526045.00
30-0.02-4c,4c-5f,118,8.15,8001358848.00
30-0.02-4c,4c-5f,119,8.25,8086337511.00
30-0.02-4c,4c-5f,120,8.29,6226808678.00
30-0.02-4c,4c-5f,121,8.29,8142852879.00
30-0.02-4c,4c-5f,122,8.30,8148726691.00
30-0.02-4c,4c-5f,123,8.35,8203901485.00
30-0.02-4c,4c-5f,124,8.61,6152068320.00
30-0.02-4c,4c-5f,125,8.76,8566231397.00
30-0.02-4c,4c-5f,126,8.77,8616560988.00
30-0.02-4c,4c-5f,127,8.84,8686418508.00
30-0.02-4c,4c-5f,128,8.99,6120759641.00
30-0.02-4c,4c-5f,129,9.05,8873927129.00
30-0.02-4c,4c-5f,130,9.06,8863833568.00
30-0.02-4c,4c-5f,131,9.21,9046558000.00
30-0.02-4c,4c-5f,132,9.27,5937567817.00
30-0.02-4c,4c-5f,133,9.41,9247825059.00
30-0.02-4c,4c-5f,134,9.49,9298608535.00
30-0.02-4c,4c-5f,135,9.50,9312514692.00
30-0.02-4c,4c-5f,136,9.53,5831621712.00
30-0.02-4c,4c-5f,137,9.65,9457286343.00
30-0.02-4c,4c-5f,138,9.73,9147246241.00
30-0.02-4c,4c-5f,139,9.91,5675206768.00
30-0.02-4c,4c-5f,140,9.92,9749344321.00
30-0.02-4c,4c-5f,141,9.97,5694988768.00
30-0.02-4c,4c-5f,142,10.22,10023845702.00
30-0.02-4c,4c-5f,143,10.45,10272087981.00
30-0.02-4c,4c-5f,144,10.59,10410520482.00
30-0.02-4c,4c-5f,145,10.61,10422230079.00
30-0.02-4c,4c-5f,146,10.66,5541932038.00
30-0.02-4c,4c-5f,147,10.67,10411351985.00
30-0.02-4c,4c-5f,148,10.69,10504459873.00
30-0.02-4c,4c-5f,149,10.73,10456120625.00
30-0.02-4c,4c-5f,150,10.82,10635181428.00
30-0.02-4c,4c-5f,151,10.85,10442247345.00
30-0.02-4c,4c-5f,152,10.94,10748359126.00
30-0.02-4c,4c-5f,153,11.07,10877543848.00
30-0.02-4c,4c-5f,154,11.10,10909104617.00
30-0.02-4c,4c-5f,155,11.18,10984761041.00
30-0.02-4c,4c-5f,156,11.21,8972992359.00
30-0.02-4c,4c-5f,157,11.28,10378169397.00
30-0.02-4c,4c-5f,158,11.33,9032338337.00
30-0.02-4c,4c-5f,159,11.35,10398239753.00
30-0.02-4c,4c-5f,160,11.40,5274122453.00
30-0.02-4c,4c-5f,161,11.44,5273419188.00
30-0.02-4c,4c-5f,162,11.46,5244270101.00
30-0.02-4c,4c-5f,163,11.59,11390559031.00
30-0.02-4c,4c-5f,164,11.72,11522937128.00
30-0.02-4c,4c-5f,165,11.81,10277717074.00
30-0.02-4c,4c-5f,166,11.88,11682334027.00
30-0.02-4c,4c-5f,167,11.89,10272303581.00
30-0.02-4c,4c-5f,168,11.91,2328409219.00
30-0.02-4c,4c-5f,169,11.97,8876876468.00
30-0.02-4c,4c-5f,170,12.13,8868890421.00
30-0.02-4c,4c-5f,171,12.21,11797744669.00
30-0.02-4c,4c-5f,172,12.22,8802437148.00
30-0.02-4c,4c-5f,173,12.27,10172191475.00
30-0.02-4c,4c-5f,174,12.35,10162779201.00
30-0.02-4c,4c-5f,175,12.37,4775133527.00
30-0.02-4c,4c-5f,176,12.40,8767384008.00
30-0.02-4c,4c-5f,177,12.43,11720035308.00
30-0.02-4c,4c-5f,178,12.47,8743483732.00
30-0.02-4c,4c-5f,179,12.47,10170986815.00
30-0.02-4c,4c-5f,180,12.62,11709293134.00
30-0.02-4c,4c-5f,181,12.64,4715175195.00
30-0.02-4c,4c-5f,182,12.64,10153101913.00
30-0.02-4c,4c-5f,183,12.65,8667003520.00
30-0.02-4c,4c-5f,184,12.70,11717651722.00
30-0.02-4c,4c-5f,185,12.74,4678377593.00
30-0.02-4c,4c-5f,186,12.78,8670935968.00
30-0.02-4c,4c-5f,187,12.80,8671045638.00
30-0.02-4c,4c-5f,188,12.81,11731685510.00
30-0.02-4c,4c-5f,189,12.84,11716731061.00
