test,approach,answer,time
dp,1-core,1,8.67024278641
dp,1-core,2,9.87762498856
dp,1-core,3,10.87819385529
dp,1-core,4,12.12973284721
dp,1-core,5,12.73229584694
dp,1-core,6,13.13360595703
dp,1-core,7,14.13537597656
dp,1-core,8,15.13592100143
dp,1-core,9,15.36088681221
dp,1-core,10,15.69034981728
dp,1-core,11,15.69034981728
dp,1-core,12,16.69034981728
dp,1-core,13,17.69034981728
dp,1-core,14,18.49034981728
dp,1-core,15,18.69034981728
dp,1-core,16,19.69034981728
dp,1-core,17,20.69034981728
dp,1-core,18,21.69034981728
dp,1-core,19,21.99034981728
dp,1-core,20,22.69034981728
dp,2-core,1,3.27024278641
dp,2-core,2,3.37762498856
dp,2-core,3,3.57819385529
dp,2-core,4,4.22973284721
dp,2-core,5,4.16229584694
dp,2-core,6,5.13360595703
dp,2-core,7,6.13537597656
dp,2-core,8,6.13592100143
dp,2-core,9,6.36088681221
dp,2-core,10,6.69034981728
dp,2-core,11,7.29034981728
dp,2-core,12,7.39034981728
dp,2-core,13,7.49034981728
dp,2-core,14,7.69034981728
dp,2-core,15,8.29034981728
dp,2-core,16,8.39034981728
dp,2-core,17,8.79034981728
dp,2-core,18,9.29034981728
dp,2-core,19,9.49034981728
dp,2-core,20,9.99034981728
dp,4-core,1,3.67024278641
dp,4-core,2,3.87762498856
dp,4-core,3,3.87819385529
dp,4-core,4,4.12973284721
dp,4-core,5,4.13229584694
dp,4-core,6,4.13360595703
dp,4-core,7,4.13537597656
dp,4-core,8,4.13592100143
dp,4-core,9,4.36088681221
dp,4-core,10,4.69034981728
dp,4-core,11,4.89034981728
dp,4-core,12,4.99034981728
dp,4-core,13,5.29034981728
dp,4-core,14,5.59034981728
dp,4-core,15,5.69034981728
dp,4-core,16,5.79034981728
dp,4-core,17,6.19034981728
dp,4-core,18,6.29034981728
dp,4-core,19,6.39034981728
dp,4-core,20,6.49034981728
