test,approach,tfft,totaltime,mrt,comp
30-0.02-1c,1c-1f,96122604.3,207.91,25252252895,37959
30-0.02-1c,1c-2f,111247338.9,118.89,14099624474,37959
30-0.02-1c,1c-5f,140270556.8,40.41,7346632995,37959
30-0.02-1c,1c-10f,41618297.9,28.37,8109080994,37959
30-0.02-1c,1c-20f,51968798.3,22.12,9677760396,37959
30-0.02-1c,1c-40f,56401691.3,19.21,9009472166,37959
30-0.02-1c,1c-100f,100135708.3,18.49,8868488340,37959
30-0.02-1c,1c-200f,114596429.6,19.05,9183172522,37959
30-0.02-1c,1c-500f,156962502.9,20.54,9987625067,37959
30-0.02-1c,1c-1000f,188133857.6,22.83,11073647102,37959
30-0.02-1c,1c-2000f,188073557.8,27.98,13942892988,37959
