test,approach,tfft,totaltime,mrt,comp
30-0.02-8c,8c-1f,12022564.5,207.76,25253623948,37959
30-0.02-8c,8c-2f,11590183.9,121.23,14422566971,37959
30-0.02-8c,8c-5f,11179860.3,42.48,7642599862,37959
30-0.02-8c,8c-10f,11285467.4,24.89,7959213634,37959
30-0.02-8c,8c-20f,10763620.5,20.07,8710313161,37959
30-0.02-8c,8c-40f,11526206.3,17.88,7992172417,37959
30-0.02-8c,8c-100f,7557881.3,16.99,7915075224,37959
30-0.02-8c,8c-200f,9666610.2,16.53,7812575201,37959
30-0.02-8c,8c-500f,9315830.5,16.56,7867543817,37959
30-0.02-8c,8c-1000f,11304282.7,16.75,7972324064,37959
30-0.02-8c,8c-2000f,14681535.2,17.0,8236742524,37959
